검색 키워드,검색 범위,글제목,평점,분야,처리기관,현황및문제점,개선방안,기대효과,신청일,첨부파일
탈원전,내용,인주산업공단내 해변가 도로(갯벌등 활용)풍력발전기 설치,-,행정/자치/안전,아산시,"1. 현황 1). 산업단지내 인접 갯벌 및 공휴지이기에 민원등 제반걱정이 없을듯 함. 2. 문제점 가. 풍력발전기 설치관련 1). 앞으로 해안가 도로밖으로 개발이 안된다는 전제조건이어야 한다. (설치해 놓고 갯벌매립등 다른 정책이 선행될시 옮길수는 없으니) 2). 갯벌에서의 풍력발전기 설치가 기존 어민에게 주는 피해여부를 세부적으로 확인해봐야 한다.(제가 본건 거의 없을듯 하나....) 3). 한국지형은 풍력발전기 산업에 있어서 바람기복이 심하여 잘 맞지 않는다고 들었기에 자세한 연구 및 용역의뢰가 있어야 한다. 나. 전기생산 능력 1). 기존 원자력, 화력등 대비하여 큰 전력을 생산하지 못한다.","1. 친환경 재생에너지중에서 가장 비용대비 효율이 큰 풍력발전기 등에 대하여 설치를 함으로써 시는 친환경적인 이미지와 관광효과, 전기생산, 수익창출을 할 수가 있다.(크게 아산이라고 기둥에다가 세기는 방법?) 2. 소과제 가. 대규모 풍력발전기 설치가 어려울시 앞으로 추진하는 산업공단내에 기존 가로등 대신 태양광 및 풍력을 이용한 가로등을 설치하여 활용할 수가 있다.(학교 : 교육효과 및 주요 지역?도 포함) 나. 시가 보유하고 있는 임야등 국공유지에 태양광(비용대비 효율은 아직 미비하나 산업활성화 차원) 발전설비나 풍력발전소 설치방안.","1. 일본 후쿠시마 원전에서 발생한 사고로 인해 전세계적으로 탈원전 바람이 불고 있다고 해도 과언이 아닐 것이다. 우리 국민과 경제성장에 있어서 꼭 필요한 전기생산에 원자력 발전이 당장 사라지면 큰 불편을 초래할 것이기에, 일본의 교훈을 삼아 조금씩 친환경 에너지로 관심을 돌리고 정부와 지자체도 그에 따른 보조를 해줘야 된다고 생각함.(소비가 있으면 그에 따른 공급과 경쟁력, 제품개발등이 치열해 지기 때문이며, 결국 생산단가등도 낮춰짐)",2012-02-28,
탈원전,제목,"탈원전.석탄발전을 위한 ""ESS식 냉난방설비"" 도입활성화방안",-,산업/방송/통신/과학,산업통상자원부,"지난 2016년 2월 19일 한전-삼성전자-당사(엠투파워)의 기술협약으로 한전심야전기을(II)를 적용한 ""ESS식 냉난방설비""의 기술규격제정 및 2016년말 상용시범사업 (KT estate 4개빌딩 14 ESS설치)을 통해, 상용시범사업 결과(2017년 1~8월)를 마무리하고 10월13일 최종 기술규격을 마무리하고 10월말부터 공식적으로 공표하는 것으로 기다리고 있읍니다. 올해 7월7일 한전수요관리컨퍼런스 및 전시회에서 한전영업본부장이 올해 10월부터 시행한다고 발표(2017년 8월초 전자신문기사참조)하였습니다. 당사는 세계최초로 여름철,겨울철 피크의 주원인인 냉난방설비를 위해서 심야전기 시간대(00~08시)에 버리는 전기를 축전하여 한전이 요구하는 피크시간대 방전하여, 1차적으로 적용되는 시스템에어컨(EHP)의 약 8십만대의 피크전력(80만대 X 10KW/대당피크소비전력=8백만KW, 원자력발전소 8기 생산전력해당)을 대체할 수 있는 ""ESS식 냉난방설비""를 세계최초로 개발하고, 이를 정부의 조달시장에 공급하기 위해 해당기술특허도 포기하고 오픈한 상태로 많은 전기.에너지관련 중소.중견기업들이 참여할 수 있도록 했습니다.  세계 EHP(Electric Heat-Pump) 주요생산국(삼성,엘지전자)으로서 실제로 심야시간대(00-08시)에 예비전력율이 40~50%에서 버리는 전기를 저장하고 이를 냉난방피크 전력시간대 방전하므로 획기적으로 신규발전소 건설을 억제할 수 있는 세계최초 보조서비스제품으로 국제경쟁력을 키울 수 있는 한 분야로 봅니다. 실제 외교부에서 10월31일 주최한 한-미주 에너지세미나에서 미국 EPRI의 Mr. ROB가 실무미팅을 갖고 한전과 같이 도입할 ""ESS식 냉난방설비""는 흥미로운 Ancillary Service Product로 미국서부 지역에 도입을 검토하는 것으로 협의하고, 동일한 내용으로 칠레,멕시코,파나마,엘살바도로에도 협의 및 내용을 전달했습니다.  앞에서 말씀드리는 것은 세계최초로 개발하고 적용하는 본 사업이 전기 및 에너지 중소.중견기업들이 잘 할 수 있는 분야이고 해외수출경쟁력을 가질 수 있고, 특히 4차산업의 특성인 스마트에너지 역량인 IoT, M2M, Big-Data 같은 기술이 필요한 영역으로 향후 에너지관련 수용가의 데이터로 확정할 것으로 봅니다.  그렇지만 한전에서는 여러가지 사항 (기재부에서의 민수도입촉진을 위한 보조금도입 거부 등)으로 초기도입에만 의미를 두는 것 같아, 이를 활성화할 수 있는 것을 정책제안으로 해결하고자 합니다.  조만간 한전에서 ""심야전기 을(II)을 적용한 ESS식 냉난방설비 도입""발표를 할 것으로 봅니다. 그전에 반영가능하면 바램으로 이렇게 건의합니다.  국내에서 이의 도입을 활성화를 통해 신규 발전소건설을 억제할 수 있는 방안으로 가야한다고 봅니다. 그렇게 하기 위해서, 1) 민수보조금 책정 (한전에서 정책적으로 제시한 내용에 대한 기재부 재검토필요) 2) 기존 8십만대 설치된 EHP에 설치할 수 있도록 확대필요 ( 에너지효율1등급 EHP에 대상으로 제한, 설치의무화 이전에는 에너지2등급 등 에너지효율등급 제도이전 제품 등 다양함으로 이를 제한함으로 실제 적용대상이 5% 이하로 줄음) :신규설치되는 ""ESS식 냉난방설비""에는 에너지효율1등급 EHP설치의무화가 필요하지만, 내용년수가 거의 10년이상인 EHP를 4-5년전에 설치한 EHP제품에 대해서 제한을 두지않음이 필요합니다.","조만간 발표한 한전의 심야전기 을(II)을 적용한 ""ESS식 냉난방설비""의 기술적용규격의 보완 등에 대한 개선안  [ 기술규격 보완 ] 1. 기존 설치된 EHP는 에너지효율1등급에만 적용가능함 -> 에너지효율등급 제도도입 이후는 2등급까지, 에너지효율등급제도 도입이전에는 제한을 두지않음으로 변경하여 기존 설치된 약8십만의 EHP에도 대상으로 포함필요함.  [ 민수보조금 ] 2. 기재부의 승인사항으로 알고 있습니다만, 다시한번 한전의 민수보조금 도입(안)을 기재부에서 재검토 필요합니다.  [단계적인 범위확대로 명실상부한 한국의 전력수요관리의 정책으로 자리메김] 3. 이를 통해 EHP주요생산국인 우리나라의 대표 해외주력상품으로 육성하고, 더나아가 대형빌딩의 중앙공조 CHILLER기로 확대 예고하므로 냉난방피크수요를 분산할 수 있는 획기적인 대책으로 ESS식 냉난방설비를 한국 에너지.전기 중소.중견기업이 해외시장을 진출할 수 있도록 하고, 이를 통해 실제 피크수요를 위해서 신규 건설할 원자력발전소 및 석탄발전소를 억제할 수 있는 대안으로 설득이 필요합니다.  이는 한전에서도 동일하게 생각하고 있다고 봅니다만, 촉진책에 대해서 산자부에서 전향적인 검토가 필요합니다. 많은 에너지.전기 중소.중견기업들이 현재 본 시장에 대해서 참여의사를 가지고 지켜보고 있습니다.","본인이 2001년 삼성전자 시스템가전사업부 지원팀장시에 국내최초로 시스템에어컨을 도입하였던 사람으로 그동안 국내에 약 8십만대 설치되어 여름철, 겨울철 피크시간대 원자력발전소 8~9기의 생산전력인 8~9백만 KW를 소비하는 에너지기기 입니다.  1. 냉난방설비 피크전기 에너지 절감 : 원자력발전 8~9기 발전용량 줄임가능 => 이를 활성화하기 위해서 기존 설치된 대상범위 확대 및 민수보조금 지출(민간수용가의 ROI고려) => 현재 산자부의 ""공공기관의 에너지이용효율화에 관한 추진규정""이 본격적으로 적용가능함 2. 현재 신재생에너지(태양광발전)발전과 더불어 획기적 수용가의 분산수요관리를 위한 획기적 보조서비스제품으로서 해외시장개척 (ESS+EHP)으로 대기업(EHP제조사, 배터리제조사)와 중소.중견기업(전기.에너지솔루션)들이 동반 해외진출로 특히 여름철 피크발생 선진국에 공급할 수 있는 수출주력상품으로 육성가능 함. => 이번 10월31일 한-미주 에너지세미나에서 미국,칠레,파나마, 멕시코,엘살바도로 전력관련 기관공무원들과 협의를 통해서, 많은 관심을 가지고 있습니다. 3. 4차산업의 특성이 에너지분야에서 출발할 수 있다는 전문가의 의견과 같이, 현재까지 한전에서 계량기를 통해 수용가 전체의 전기수요를 15분단위 모니터링하고 있지만, 수용가의 주요전기사용 수요별로 모니터링하고 통제할 수 없는 것을 사물인터넷, M2M 기법을 통해 이를 관제하고 통제함으로 효율을 높이고 국가전력수요체계를 완성할 수 있는 우수전력분산체계를 바탕으로 해외선진시장에 진출이 가능함",2017-11-04,MTPOWER Introduction_Summary_201710.pdf
탈원전,제목,"탈원전의 시작은 고리5,6호기의 건설에서 시작된다",-,산업/방송/통신/과학,산업통상자원부,"저는 탈원전을 적극적으로 찬성하는 국민의 한사람입니다.우리나라의 현재 전력예비율이 충분하다고 하는데 그것은 아닌것 같습니다. 세계 제1의 국민성 때문에 착각을 하고 있는데 여름에 거의 대부분의 사람들은 에어컨을 켜지않고 생활했습니다. 자료는 한전의 전기요금을 납부한 것을 알아보면 될것입니다. 그리고 예비율이 충분하다면서 누진세, 문열어 놓고 에어컨을 켜면 단속하여 벌금을 부과한다는 자체는 예비율이 충분하지 않다는 것을 나타냅니다. 전력 예비율 보다 더욱 더 중요한 것은 안전인데 경주 지진을 겪은 지금 현재 지진,해일 등으로 부터 고리 3,4호기는 안전을 보장 할 수 없습니다.","지금 건설을 중단하고 있는 고리5,6호기는 내진구조는 설계부터 시공까지 고리3,4호기보다 훨씬 뛰어난 것으로 알고 있습니다. 그것을 폐기한다는 것은 안전을 무시하고 죽음으로 몰고 갈 수도 있다는 것을 강조 하고 싶습니다. 고리5,6호기를 더욱 더 튼튼하고 안전하게 건설하여 가동을 한 후에 5.6호기보다 내진구조가 뒤떨어지는 3,4호기를 폐기 하는 것이 진정한 탈원전의 시작이라고 봅니다.","이해 타산(문재인 대통령의 공약)이 아닌 진정으로 국민의 안전을 생각한다면 5,6호기의 건설을 과감하게 시행하십시요. 국민의 안전이 공약보다 우선하며 국민의 생명을 중요시하는 정부로 거듭나는 기대효과가 있을 것입니다. 진정한 탈원전의 시작은 고리5,6호기의 건설에서 시작됩니다.",2017-10-17,
탈원전,제목,탈원전,-,산업/방송/통신/과학,산업통상자원부,탈원전 해서 어떻게 하자는 겁니까?,"지금도 전기 없어 여름에는 전기 없다고 난리인데, 여기다가 전기차 나오면 어떻게 하실 겁니까? 전기 없다는 소리를 하지 말던지! 전기차를 도입하지 말던지, 전기 공급량을 늘리기 위해 원자력 발전소를 늘리지 않으면 아예 전기차 도입을 하지 말던지 하십시오!","공론화 위원회라고 위원회를 만들어 왜 권한을 떠 넘기십니까? 엉뚱한 결과(신고리 원자력 발전소 폐지)가 나올지 걱정 입니다. 문재인 대통령님 왜 핵 발전소, 전술핵을 반대하십니까? 이해가 안 됩니다. 저는",2017-10-16,
탈원전,제목,현 탈원전 정책 개선이 필요하다,-,산업/방송/통신/과학,산업통상자원부,붙임 참조,붙임 참조,붙임 참조,2017-08-25,"탈원전 21.hwp
탈원전 22.hwp
탈원전 23.hwp"
탈원전,제목,탈원전 정책의 일부 + 전기사용료에 대한 기업 누진세,-,산업/방송/통신/과학,산업통상자원부,1. 전기는 많이 쓰기때문에 발전소가 필요하다. 그 중 원전도 그 논리에 속한다. 발전소를 짓는 것 보다 전기를 아껴쓰는 것이 먼저 중요하다.  2. 전기를 아껴서 쓰자고 민간에 누진세를 만들었다. 기업은 1명이 야근해도 큰 건물에 엄청난 냉난방과 전기를 쓴다. 이런 상황에서 민간에만 누진세를 적용하는 것은 불공평하다.  3. 기업의 전기세에도 법률에 근거하여 누진세를 적용해야 한다. 특히 야근시 전기세에는 적극적으로 누진세를 검토해야 한다. 그 이유 중 하나는 기업의 전기값이 싸고 불이 켜져 있으면 투자자들이 좋아하니 밤에도 한 명이 야근해도 불을 켜놓는다. 이것만 줄여도 많이 줄 것 같다. 그러나 기업이 전기세 절약 절감안을 내놓는다면 감면혜택을 고려한다. (이 비용이 그냥 쓰는 것보다 싸면 안 할 것임)  마지막으로 도로의 가로등은 심야에는 건너건너 하나씩 켜지도록 한다. 대신 민간의 골목길에 치안을 위한 동네 가로등을 더 보완한다.,"특히 대기업의 직원 야근 시 전기사용에 대한 점검을 하여 전기세가 싸다고 효율성에 대한 제고를 하지 않은 채 사용할 시에는 규제를 한다.  심야에 거리에서 버려지는 전기를 저녁, 밤 시간대보다 조절하여 전기를 아낀다.  이를 통해서 전기총량을 확보한다. 발전소를 덜 짓는다. 원전도 지을 필요가 없다.",발전소 짓는 비용 절감 운영비용 절감 기업의 세수 확대 야근 등 간접적으로 무리한 근로환경을 개선하는 효과,2017-08-08,
탈원전,제목,미래에너지 프리에너지를 추천합니다. (탈원전가능),-,산업/방송/통신/과학,산업통상자원부,"1.한국은 에너지 대부분을 석유,석탄,가스,원자력에 기반한 수입을 통한 에너지를 사용하고 있음. 2.이웃국가의 전쟁이나 해적들에 의해 에너지 수급이 위험가능성존재 3.지진이 많이나는 일본을 옆에 두고서 원자력발전을 우선시 하고 있음 4.에너지 생산,소비로 인한 환경오염이 심각 5.에너지 자급률이 낮고 특히 여름에 심각 6.에너지원의 고갈과 그로인한 가격상승","1.미국의 과학자 테슬라가 발견한 프리에너지를 통해 지구나 우주에 퍼져있는 무한대의 전기를 수집하여 대한민국 전체에 전기를 저렴하고 안정적으로 무한대로 사용할수 있음. 2. 미국내에 프리에너지 과학자들이 많음으로 그들을 스카웃하여 개발한다 3.탈원전,탈석유,탈석탄이 가능하며 환경이 깨끗해진다 4.한전에서 독점개발,운영함으로써 세수감소를 불식시킨다 참고자료:유투브에서 테슬라 프리에너지로 검색","1.탈원전,탈석유.탈석탄가능 2.환경오염없음 3. 저렴한비용으로무한대의 전력생산가능 4.4차산업혁명가능(전기차 상용화화가능. 무선충전가능),iot의 전력문제 해결,대한민국 전체에 iot적용가능 5.에너지 자립화가 가능",2017-08-06,
탈원전,제목,탈원전대한 문제점 해결방안과 전기요금 절약방안,-,산업/방송/통신/과학,산업통상자원부,탈원전하면 전기공급 문제점과 전기요금이 오르기 때문에 기업 투자 감소등을 초래할수 있다,1)신축건물 태양광/태양열 설치의무화 확대 2)공기업/공공기관 led등으로 전면교체하여 전류를 줄여 전기요금을 줄인다(직관형형광등교체) 3)신축가로등 led태양광 센서등으로설치 기존설치된것은 점진적으로 교체실시 4)형광등 2020년 단종실시 led등 사용으로 효율이 좋아진다 5)에너지저장기술(축전지) 이용 심야전기를 저장하여 낮에 사용한다 6)구제역/조류독감으로인한 동물성기름 바이오폐기물발전을 사용한다 7)빌딩/아파트등 신축시 스마트그리드 방식만 인허가를 낸다 8)동해안 해수면높이와 서해안해수면높이를 이용한 조력발전 설치한다 9)고효율등급 절약형 전기기기를 사용할수 있게 개발한다,1)신재생에너지확보에따른 지구의 온난화를 예방하고 친환경적인 전력을 생산할수있다 2)원전의 가장 중요한 방사능에서 벗어날수가 있다 3)4차산업혁명의 선두국가로 신재생에너지의 산업이 발전될수 있다,2017-08-01,
탈원전,제목,탈원전대한 문제점 해결방안과 전기요금 절약방안,-,국토/교통/농림/해양,국토교통부,탈원전하면 전기공급 문제점과 전기요금이 오르기 때문에 기업 투자 감소등을 초래할수 있다,1)신축건물 태양광/태양열 설치의무화 확대 2)공기업/공공기관 led등으로 전면교체하여 전류를 줄여 전기요금을 줄인다(직관형형광등교체) 3)신축가로등 led태양광 센서등으로설치 기존설치된것은 점진적으로 교체실시 4)형광등 2020년 단종실시 led등 사용으로 효율이 좋아진다 5)에너지저장기술(축전지) 이용 심야전기를 저장하여 낮에 사용한다 6)구제역/조류독감으로인한 동물성기름 바이오폐기물발전을 사용한다 7)빌딩/아파트등 신축시 스마트그리드 방식만 인허가를 낸다 8)동해안 해수면높이와 서해안해수면높이를 이용한 조력발전 설치한다 9)고효율등급 절약형 전기기기를 사용할수 있게 개발한다,1)신재생에너지확보에따른 지구의 온난화를 예방하고 친환경적인 전력을 생산할수있다 2)원전의 가장 중요한 방사능에서 벗어날수가 있다 3)4차산업혁명의 선두국가로 신재생에너지의 산업이 발전될수 있다,2017-08-01,
탈원전,제목,탈원전을 위한 국유지 이용 친환경 신재생에너지 활성화 방안,-,산업/방송/통신/과학,산업통상자원부,"국내 전체 발전설비 용량 110GW의 8.5%를 차지하는 원전 24기의 생산량 22.5GW 및 해마다 느는 전력소비량을 대체하여야 탈원전이 가능하지만 현재 뚜렷한 대안이 없다. 또한, 전 국토면적의 24%를 차지하는 국유지가 관리되지 못하여 상당수가 무단 점유 및 방치하고 있는 실정으로 효율적인 관리방안이 필요하다. 그리고, 대도시에 있는 대부분의 아파트, 상가 등 공동 민간 시설 뿐만 아니라 관공서, 군부대 건물의 옥상 등이 이용되지 않고 방치되고 있는 것이 현실이다.","관공서, 군부대 건물의 옥상과 주차장, 고속도록 국도 주변에 태양광 발전을 의무 설치하고, 유휴 국유지, 군용지 등 23,891 제곱킬로미터에 태양광 발전, 풍력발전 등 친재생에너지 사업을 적극 추진한다. 태양광발전의 경우 대중화 되면 현재 나와있는 태양광 모듈의 발전효율이 15%내외 이지만, 기술력의 진화로 발전효율이 높아지고, 대중화로 인하여 초기설치비용이 저렴해지므로 민간 개인의 발전으로도 확산 될 것이다. 또한, 국유지의 65%를 차지하고 있는 임야를 이용하여 풍력발전소 건설도 적극 시도 해야 한다. 사례의 하나로 경상남도 고속도로 함안휴게소의 주차장에는 태양열 발전 지붕이 설치되어 있어 그늘을 형성해 주어 자동차 주차시 태양열로 인한 무더위를 피할 수 있어서 일석이조의 효과로 휴게소 방문자에게 매우 반응이 좋다.","원자력 발전의 경우 폐기 후 처리 및 영구관리비용까지 계산하면, 결코 싼 에너지가 아님을 정부에서 적극 알리며, 태양열 및 풍력 발전사업을 활성화 하여 대중화 시킴으로써 기술의 발전과 업체간 경쟁으로 생산 단가를 낮추어 대한민국의 후세들에게 원자력으로 부터 안전한 국토를 되돌려 주며 저렴하고 풍족하게 전기를 사용할 수 있는 복지국가 건설의 토대를 현정부가 만들도록 합시다.",2017-07-29,
