검색 키워드,검색 범위,글제목,등록일(제안),분야,처리기관(제안),현황및문제점(제안),개선방안(제안),기대효과(제안),첨부파일여부(제안),검토내용(결과),실시결과(결과),첨부파일여부(결과),처리기관(결과),등록일(결과)
원전,내용,통화연결음의 선한 영향력,2021-07-20,교육/문화/체육/관광,울산광역시교육청,"○ 코로나19로 인해 일선 학교, 교육청에 비대면 민원상담 전화 지속적 증가 ○ 민원 상대 교원, 직원들의 애환이 속출하며 이들에 대한 보호는 미비한 현황 ○ 민원상담 업무의 효율적 처리와 악성 민원전화(장난, 음해, 협박, 욕설 등)로 인한 언어폭력을 예방하기 위한 조치 필요",○ 상호 존중 음성 안내 컬러링 도입 - 민원 상대 직원 보호와 효과적인 상담 진행을 위해 행정 전화에 음성 안내 컬러링(통화연결음)을 도입 - 통화 전 사전 고지를 통해 상호 존중하는 상담문화에 대한 인식을 일깨울 수 있는 계기 마련 ○ 컬러링 안내 문구(예시) - 민원 청취 의지를 부드럽게 전달하며 직원 보호 조치를 강조하는 데 초점 - “여러분의 목소리를 정성껏 경청하겠습니다. 존중의 언어로 마음을 전달해주세요.” - 위와 같은 감성 멘트로 소통을 시작하여 민원인의 심리적 경계를 자극하는 울림 전달,○ 새로운 통화연결음 제작을 통해 서로를 배려하고 존중하는 문화 조성 ○ 민원응대 직원을 보호함과 동시에 업무 능률 향상을 기대 ○ 상호 존중으로 더욱 진정성 있는 민원서비스를 제공,,이 제안은 2021년 공무원 My Job Idea 제안 공모전에 접수된 제안으로 제안심사위원회에서 채택하여 각 학교에 제안의 아이디어 사례를 학교에 안내하고자 함.,"1. 관련: 정책관-7353(2021. 8. 23.) 「2021년 제안 아이디어 사례 안내」  2. 제안의 실시 범위, 수혜 대상 등을 고려하여 현장 사례 안내에 적합한 제안을 선정하여 부분 채택하였음  3. 교내 의견 수렴 및 다양한 수요를 반영하여 학교별 실정에 맞게 제안사항을 적용하고 제안의 점진적 확대 및 실시 유도",,울산광역시교육청,2021-07-20
원전,내용,용인시 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-09,행정/자치/안전,경기도 용인시,1.현재는 용인시 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.용인시를 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다  4.전체 사다리 조직도에서는 층수가 나와 있지만 민원인이 해당과를 검색하고 들어가면 해당과 위치를 알수 없습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본청 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다  4.국민들 입장에선 매우 고맙고 친절한 변화가 될것입니다,"
위치안내.jpg
위치안내2.jpg","○ 용인시 홈페이지에 대한 관심과 의견에 감사드립니다. ○ 현재 용인시 홈페이지는 조직도에서 부서명옆에 부서위치를 확인할 수 있으나, 민원인의 편의성 증진을 위하여 귀하께서 제안 하신 각 부서별 직원안내 페이지내에 해당 부서 위치(예: 본청 6층) 표시를 2월내에 조치하도록 하겠습니다. ○ 귀하께서 요청하신 사항과 같이 항상 시민의 편의성을 위하여 더나은 서비스가 이루어 질 수 있도록 꾸준히 노력하겠습니다. ○ 더 궁금하신 사항은 용인시 정보통신과(☎ 031-324-2084)로 연락주시면 자세하게 안내하여 드리겠습니다. 감사합니다.",용인시 홈페이지에 대한 관심과 의견에 감사드립니다. 귀하께서 제안하신 조직도 부서위치 표시를 홈페이지내에 2020년 2월 말에 반영 완료 하였습니다.,,경기도 용인시,2020-01-28
원전,내용,각 기관별 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-08,행정/자치/안전,소방청,1.현재는 각 기관별 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.각 기관을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본관 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다  4.국민들 입장에선 매우 고맙고 친절한 변화가 될것입니다,"
위치안내.jpg
위치안내2.jpg","1. 국민신문고 제안신청(신청번호 1AB-2001-001401) 내역의 검토결과에 따라 아래와 같이 조치하고자 합니다.  2. 제안자 및 제안내용 가. 제안자 : 김인환(인천시 서구 완정로 65, 109-1501)  나. 제안내용 : 소방청 홈페이지의 기관 및 부서소개란에 각 부서의 청사내 위치를 안내하여 민원인의 불편을 해소하여 주시기 바람  3. 조치계획 : 소방청 홈페이지 기관소개 메뉴의 부서명란에 각 부서의 청사내 위치(예시 : 정부세종2청사 17동 3층)를 명시하여 안내. 끝.","1. 국민신문고 제안신청(신청번호 1AB-2001-001401) 사항을 아래와 같이 조치하였기에 실시결과를 통지드립니다.  2. 제안자 및 제안내용 가. 제안자 : 김인환(인천시 서구 완정로 65, 109-1501)  나. 제안내용 : 소방청 홈페이지의 기관 및 부서소개란에 각 부서의 청사내 위치를 안내하여 민원인의 불편을 해소하여 주시기 바람  3. 조치결과 : 소방청 홈페이지 기관소개 메뉴의 부서명란에 각 부서의 청사내 위치(예시 : 17-3동 3층)를 명시하여 안내. 끝.",,소방청,2020-01-09
원전,내용,각 기관별 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-08,국토/교통/농림/해양,새만금개발청,1.현재는 각 기관별 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.각 기관을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본관 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다  4.국민들 입장에선 매우 고맙고 친절한 변화가 될것입니다,"
위치안내.jpg
위치안내2.jpg","1. 국민제안규정 및 신청번호 (1AB-2001-001399 관련입니다. 2. 위와 관련으로 제안된 '각 기관별 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안' 건에 대하여 아래와 같이 답변하고자 합니다.  가. 제안자 : 김인환(인천광역시 서구) 나. 제안일자 : 2020.1.8. 다. 제안요지 : 홈페이지 조직 및 업무안내 부분에 청사 위치 추가 라. 심사결과 : 채택(실시가능성, 효율성 및 효과성) 마. 답변내용 1) 안녕하십니까? 우리청 홈페이지 업무와 관련한 귀하의 제안 심사결과를 다음과 같이 알려드립니다. 2) 귀하께서 제안해주신 내용(담당자 업무안내 부분에 청사위치 추가)은 우리청 홈페이지 이용 편의를 높일 수 있는 의견으로 판단되어 금년도 홈페이지 개편시 반영(‘20.12월경)할 예정입니다. 3) 아울러 우리청 홈페이지 이용과 관련하여 추가 문의사항이 있으시면 정보민원담당관실 진기홍(063-733-1110, jins39@korea.kr)으로 연락주시면 성실하게 답변드리겠습니다. 감사합니다.  붙임 국민제안신청서 1부. 끝.",귀하께서 제한하신 내용이 실시되어 알려드립니다. 새만금개발청 홈페이지에 접속하시면 아래 경로를 통해 확인하실 수 있습니다. 감사합니다. - 새만금 및 기관소개>기관소개>조직 및 업무>사무실배치,,새만금개발청,2020-01-15
원전,내용,각 기관별 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-08,국토/교통/농림/해양,산림청,1.현재는 각 기관별 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.각 기관을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본관 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다  4.국민들 입장에선 매우 고맙고 친절한 변화가 될것입니다,"
위치안내.jpg
위치안내2.jpg","안녕하십니까? 산림의 가치를 극대화함으로써 사람과 숲이 상생하는 세계 인류 산림복지 국가를 만들어가는 산림청입니다.  1. 귀하께서 국민신문고에 제안하신 의견(접수번호 1AB-2001-001397)에 대하여 감사 드리며 다음과 같이 답변을 드립니다.  2. 귀하의 제안내용은 ""담당자 검색시 해당과 위치(00층)가 명시되는 기능"" 개선에 관한 것으로 이해됩니다.  3. 귀하의 제안사항에 대하여 검토한 의견은 다음과 같습니다. o 귀하께서 제안해주신 내용은 산림청 홈페이지 이용 편의를 높일 수 있는 기능으로써 ""수용"" 으로 채택함을 알려드립니다. o 제안하신 사항은 20년 산림청 홈페이지 개편 사업에 반영할 계획으로, 기능 개선 시간이 소요되는 점은 양지하여 주시기 바랍니다.  4. 위 사항과 관련하여 재심사가 필요한 경우 국민신문고 홈페이지(www.epeople.go.kr) 로그인 후 상단메뉴의 나의 이용내역 > 국민행복제안 > 해당제안 제목 클릭 후 하단 재심사 요청 탭에 재심사 요청 사유 작성 후 제출하시면 됩니다.  5. 본 제안과 관련한 문의사항은 산림청 정보통계담당관실(담당 전영진, 전화 042-481-1856, 팩스 042-471-1443, 이메일 zinggarotc@korea.kr)로 연락 주시기 바라며, 산림청 SNS를 통해 산림정책 및 관련 뉴스 등을 받아보실 수 있습니다. o (홈페이지) http://www.forest.go.kr, (트위터) http://twitter.com/forest_news o (페이스북) http://facebook.com/forestkorea, (블로그) http://blog.daum.net/kfs4079 o (유튜브) http://youtube.com/forestgokr '찾아가는 산림청', '도와주는 산림청', '정다운 산림청', '고마운 산림청'이 되도록 노력하겠습니다. 감사합니다.  붙임 국민제안신청서 1부. 끝.","안녕하십니가?  o 귀하께서 제안하신 내용은 아래와 같이 개선완료하였습니다. - ""직원찾기"" 메뉴에서 담당자 검색시 해당과 위치(00층)가 명시되어 검색이 가능하도록 개선  o 앞으로도 저희 산람청 대국민 포털 시스템에 대한 많은 관심 바랍니다. 감사합니다.",,산림청,2020-01-21
원전,내용,각 기관별 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-08,식품/보건/복지/가족,보건복지부,1.현재는 각 기관별 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.각 기관을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본관 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다  4.국민들 입장에선 매우 고맙고 친절한 변화가 될것입니다,"
위치안내.jpg
위치안내2.jpg","안녕하십니까? 귀하께서 국민신문고를 통해 제출해주신 제안(1AB-2001-001396)에 대해 안내드립니다. 귀하의 제안내용은 ""보건복지부 홈페이지 부서안내에 부서위치 추가""에 관한 것으로 이해되며 검토한 내용을 말씀드리겠습니다.  현재 우리 부 홈페이지 부서안내 메뉴에 직원정보로 이름, 부서, 전화번호, 직급, 담당업무를 공개하고 있습니다. 여기에 추가로 부서위치(층수) 정보를 넣는 제안에 대해 적극 반영하겠으며, 구체적인 방안에 대해서 검토하도록 하겠습니다.  귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 보건복지부 정보화담당관실 임동찬 주무관(☏044-202-2231, mruni@korea.kr)으로 연락주시면 친절히 안내해 드리도록 하겠습니다.  감사합니다.",보건복지부 홈페이지 소개>부서안내.직원찾기에 부서위치 정보 추가 완료,,보건복지부,2020-01-09
원전,내용,각 기관별 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-08,재정/금융/소비자,관세청,1.현재는 각 기관별 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.각 기관을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본관 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다  4.국민들 입장에선 매우 고맙고 친절한 변화가 될것입니다,"
위치안내.jpg
위치안내2.jpg","1. 안녕하십니까? 귀하께서 국민신문고를 통해 관세청 업무와 관련하여 질의하신 제안(1AB-2001-001376)에 대해 안내드립니다.  2. 귀하의 제안내용은 ‘관세청 홈페이지 개선 제안’으로 이해됩니다.  3. 귀하의 제안사항에 대해 검토의견은 다음과 같습니다. 가. 현재 관세청은 홈페이지 직원안내 메뉴 화면에서 소속기관, 부서, 직급, 성명, 주요업무, 전화번호 정보를 제공하고 있습니다. 또한, 대표 홈페이지와 일부 산하기관 홈페이지 기관소개 메뉴(찾아오시는 길)에서 부서위치(층별안내)를 제공하고 있으나, 다수의 산하기관 홈페이지는 부서위치를 제공하지 않고 있습니다.  나. 제안하신대로 부서위치 안내가 방문하는 민원인의 불편을 줄일 것으로 사료 됩니다. 산하기관과 협의를 통해 기관별 홈페이지에서 부서위치를 제공(층별 안내 별도화면)하도록 추진하겠습니다.  다. 귀하께서 제기하신 개선의견을 통해 부족한 점을 보완하고, 항상 민원인의 입장에서 생각하고 행동하는 관세청이 될 것을 약속드립니다.  4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 관세청 정보관리과 이혜성(☏042-481-1195, leehs84@korea.kr)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",본청 및 본부세관 부서위치 및 층간 안내 표시를 완료하였습니다.,,관세청,2020-01-30
원전,내용,교육청 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-07,교육/문화/체육/관광,충청북도교육청,1.현재는 교육청 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.교육청을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본청 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다,"
위치안내1.jpg
위치안내2.jpg","1. 종합 검토의견  안녕하십니까? 제안 참여에 감사드리며 귀하께서 제기하신 제안에 대해 다음과 같이 회신하여 드립니다. 김인환님께서는 ‘교육청 홈페이지에서 부서 및 담당자 업무공개 시 부서위치를 추가’하는 것에 대하여 제안해주셨습니다.  귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다. 1. 제안해주신 내용과 같이 우리교육청 홈페이지 교육청소개〉기구표〉전화번호 안내〉 담당자와 연락처로 구성된 메뉴에 해당과에 대한 장소(위치)를 추가 안내하여 사용자의 편의성을 제공하도록 하겠습니다. 2. 다만, 홈페이지 수정을 위해서는 다소 시간이 필요할 것으로 예상되어 메뉴가 수정되기 전까지는 각 부서의 위치를 그림을 통해 안내하고 있는 도교육청 홈페이지 청사안내도 메뉴를 활용하시거나, 3. 홈페이지를 참고하지 못하고 직접 방문하시는 분들을 위하여 교육청 각 건물에 안내판과 청사배치도를, 본관 1층에는 안내데스크를 운영하고 있으니 참고하여 주시기 바랍니다.  귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 미래인재과 이혜영(043-290-2725)에게 연락주시면 성심성의껏 답변해 드리겠습니다. 앞으로도 충청북도교육청에 많은 관심을 갖고 소중한 의견을 주시기 바랍니다. 감사합니다.","안녕하십니까? 제안 참여에 감사드리며 귀하께서 제기하신 제안에 대해 다음과 같이 회신하여 드립니다. 귀하께서는 ‘교육청 홈페이지에서 부서 및 담당자 업무공개 시 부서 위치를 추가’하는 것에 대하여 제안해주셨습니다.  1. 제안해주신 내용과 같이 우리 교육청 홈페이지 교육청 소개 〉기구표 〉전화번호안내 메뉴에 담당자와 연락처로 구성된 해당 과에 대한 장소(위치)를 추가 안내하여 사용자의 편의성을 제공하도록 개선하였습니다. 2. 또한 도교육청 홈페이지 청사안내도 메뉴를 통해 그림으로도 볼 수 있으며, 3. 직접 방문하시는 분들을 위하여 교육청 각 건물에 안내판과 청사 배치도를, 본관 1층에는 안내데스크를 운영하고 있으니 참고하여 주시기 바랍니다.  귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 미래인재과 박준엽주무관(043-290-2877)에게 연락주시면 성심성의껏 답변해 드리겠습니다. 앞으로도 충청북도교육청에 많은 관심을 갖고 소중한 의견을 주시기 바랍니다. 감사합니다.",,충청북도교육청,2020-01-23
원전,내용,교육청 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-07,교육/문화/체육/관광,부산광역시교육청,1.현재는 교육청 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.교육청을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본청 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다,"
위치안내1.jpg
위치안내2.jpg","○ 안녕하십니까? 부산교육 발전에 대해 관심과 애정을 가져주신 제안인께 감사드리며, 제안하신 내용(홈페이지 상 위치추가)에 대하여 다음과 같이 답변 드립니다. ○ 민원인께서는 “교육청 홈페이지 상 업무담당자의 위치(사무실) 표시 추가”를 제안해주셨습니다. 검토 결과, 제안해 주신 내용은 교육청 홈페이지 이용자 편의 개선 및 행정 효율성 향상에 도움이 될 것으로 사료됩니다. ○ 이에 우리 교육청 홈페이지 교육청 안내> 조직도(부서안내)> (해당과) 업무분장표 상단, 부서 명칭과 함께 사무실 위치를 표시하여 이용 편의를 개선토록 조치하겠습니다. ○ 기타 문의사항은 안전기획과 조직혁신팀 주무관 김희영(051-860-0525, mashy22@naver.com)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",귀하의 제안이 실시되었음을 알려드립니다.,,부산광역시교육청,2020-01-22
원전,내용,교육청 홈페이지에서 부서 및 담당자 업무공개시 부서위치 추가 제안,2020-01-07,교육/문화/체육/관광,세종특별자치시교육청,1.현재는 교육청 홈페이지에서 담당자를 찾을때 무슨 과! 담당 누구! 연락처! 업무로만 되어 있습니다  2.원하는 부서를 찾아 가기 위해서는 해당 과에 전화를 해서 위치를 물어 보아야 하는 번거로움이 있습니다  3.교육청을 처음 방문하시거나 어쩌다 방문하시는 분들은 본인이 원하는 해당과 위치를 찾기가 어렵습니다,"1.현재 홈페이지에 해당과, 담당자, 연락처로만 되어 있는 곳에 해당과에( 장소 ) 위치를 추가로 넣어 공지를 합니다 ** 예를 들어** **총무과 """"""(본청 2층)"""""" 위치추가함 이철주과장 560-4021 ○ 총무과 업무 총괄  첨부파일을 참고해 주세요",1.홈페이지 검색만으로 민원인이 원하는 해당과를 편리하게 찾을수 있습니다  2.민원인이 해당과 위치를 물어보는 민원전화를 줄일수 있습니다  3.적극적인 행정으로 민원인의 불편을 줄여줍니다,"
위치안내1.jpg
위치안내2.jpg","안녕하세요? 세종시교육청 교육협력과입니다. 세종교육발전을 위한 관심과 사랑에 감사드리며, 제안하신 “교육청 홈페이지에서 부서 및 부서 담당자 업무공개시 부서위치 추가 제안”에 대하여 답변 드리겠습니다. 귀하의 제안 요지는 우리교육청 홈페이지 업무담당자 안내 페이지에서 해당부서의 위치도 같이 안내 하는 것으로 이해됩니다. 귀하께서 제안하신“교육청 홈페이지에서 부서 및 부서 담당자 업무공개시 부서위치 추가 제안”에 대해 “실시예정”할 것을 알려드립니다. 우리교육청 홈페이지에 많은 관심을 가져주셔서 감사드리며, 귀하께서 제안해주신 내용과 취지를 충분히 공감하며, 귀하께서 제안하신 사항에 대해 소중한의견을 반영하여 올 상반기 중 우리교육청 홈페이지에 부서위치를 반영하도록 하겠습니다. 위의 내용과 관련하여 더 궁금하신 사항은 세종시교육청 교육협력과 김지영(☎044-320-1637, bluekjy@korea.kr)로 연락주시면 성실하게 답변 드리겠습니다. 다시 한 번 세종교육에 관심을 가져 주심에 감사드리며, 늘 건강과 행운이 함께 하시길 기원드립니다.",홈페이지 교육청소개- 부서별홈페이지 및 교육청안내 페이지에 부서별 층수 표시 완료하였습니다.,,세종특별자치시교육청,2020-01-10
