검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
원자력,내용,양성자 가속기 방사선 안전관리 및 방사성폐기물 관리에 대해 경주시의 감시 역할이 궁금합니다.,,"원자력안전법 제2조제5호에 따르면 ""방사성물질""이란 핵연료물질·사용후핵연료·방사성동위원소 및 원자핵분열생성물을 말하며, 동법 제2조제18호에 따른 ""방사성폐기물""은 방사성물질 또는 그에 따라 오염된 물질로서 폐기의 대상이 되는 물질을 말합니다. 양성자가속기 운영시 발생되는 고체폐기물은 극저준위로서 3년 평균 약 260L 이내이며, 방사성관리구역 내부 폐기물 보관장소에 임시 저장되어 있습니다. 더불어 양성자가속기시설은 원자력안전법 제104조(환경보전)의 방사선환경조사 및 방사선환경영향평가를 실시해야 하는 시설에 해당하지 않으나, 현재 양성자과학연구단에서는 보수적으로 환경감시기 4대를 운영하여 감시를 수행하고 있습니다. 2021-12-07",한국원자력연구원 총무팀,민원 처리에 관한 법률 / 제27조(처리결과의 통지),2021-12-07
원자력,내용,양성자 가속기 방사선 안전관리 및 방사성폐기물 관리에 대해 경주시의 감시 역할이 궁금합니다.,,"민원인으로부터 양성자가속기 주변지역의 경주시 감시 여부에 대한 국민신문고 질의가 있어 붙임내용과 같이 답변하고자 합니다. - 민원내역 - 1. 신청번호 : OOO-OOOO-OOOOOOO 2. 내 용 : 양성자 가속기 주변지역 경주시의 환경감시 여부 3. 답변방법 :국민신문고 민원 답변 란에 직접 입력. ※ 답변내용  안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 OOO-OOOO-OOOOOOO)에 대한 검토 결과를 다음과 같이 알려드립니다.  먼저 국민신문고를 통해 우리시 원자력 관련 관심에 감사드립니다. 귀하께서 질의하신 내용은 경주시 건천읍에 소재하는 양성자과학연구단이 운영 중인 양성자가속기에 대한 경주시의 감시 여부를 문의하신 걸로 판단됩니다. 다음과 같이 답변을 드리겠습니다. 현재 한국원자력연구원 양성자과학연구단에서 운영하고 양성자가속기 시설 등은 원자력 이용시설(원자력안전법 제2조)로 있습니다. 그리고 질의하신 감시라는 의미가 시설 운영 과정에서 외부 환경에 방사선 누설 여부를 확인하는 것으로 생각됩니다. 이 시설은 원자력안전법 104조(환경보전)에서 방사선환경조사 및 방사선환경영향평가를 실시해야 하는 시설에 해당하지 않으므로 주변지역에 대한 방사선 감시를 해야 하는 법적 의무는 없습니다. 또한, 사실을 확인코자 양성자과학연구단에 문의한 결과 해당시설을 법적으로 환경감시를 하지 않아도 되는 시설임에도 보수적으로 환경방사선감시기를 4대 운영하고 있다고 합니다. 앞으로 우리시에서도 시민들의 양성자가속기의 운영으로 인한 방사선에 대한 불안감 해결차원에서 해당시설의 건전성 확보를 위한 다각적인 방법 등을 적극적으로 검토하도록 하겠습니다. 또한 저의 시에서는 시민들의 방사선에 대한 불안감을 해소하기 위하여 월 2회 월성원전주변, 분기 1회 비파괴검사현장 및 주요 산업단지에 대한 방사선을 측정하고 있습니다. 답변이 도움이 되시기를 바라며 추가 문의사항이 있으면 언제든지 연락주시면 도움을 드리도록 하겠습니다.  끝. 2021-11-18",경상북도 경주시 일자리경제국 원자력정책과,"원자력안전법 / 제2조(정의)
원자력안전법 / 제104조(환경보전)",2021-11-18
원자력,내용,답변의 사실관계 오인에 따른 재민원,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.  2. 귀하의 민원내용은 “범부처 통합연구지원시스템(IRIS)의 데이터 이관 및 연계시스템 관련 문의”에 관한 것으로 첫째로, 프로젝트 관련 데이터 이관 여부, 둘째로, KRI 시스템의 향후 방향으로 파악됩니다.  3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 가. 프로젝트 관련 데이터 이관 여부 현재 IRIS에서는 ’22년 IRIS 1차 적용대상 기관인 5개 전문기관(한국연구재단, 한국산업기술평가관리원, 정보통신기획평가원, 중소기업기술정보진흥원, 국토교통과학기술진흥원)의 데이터 이관을 진행 중입니다. - (데이터이관 여부) 전문기관별로 20개 과제지원시스템을 하나의 과제지원시스템으로 통합하기 위해 통합 데이터 모델을 설계하고 각 전문기관의 과제관리 데이터 정제 및 이관 방안을 수립하여 데이터 이관을 추진 중에 있습니다. - (데이터이관 추진 일정) ’21년 5개 전문기관(한국연구재단, 한국산업기술평가관리원, 정보통신기획평가원, 중소기업기술정보진흥원, 국토교통과학기술진흥원)과 1개의 연구개발사업단(범부처전주기의료기기연구개발사업단) 데이터를 이관 중이며 ’22년 15개 전문기관* 등으로 확대하여 데이터 이관을 추진할 예정입니다. * 국립문화재연구소, 국립재난안전연구원, 국방기술품질원, 농림식품기술기획평가원, 농촌진흥청, 식품의약품안전평가원, 한국기상산업기술원, 한국보건산업진흥원, 한국산업기술진흥원, 한국에너지기술평가원, 한국원자력안전재단, 한국임업진흥원 한국콘텐츠진흥원, 한국환경산업기술원, 해양수산과학기술진흥원  나. KRI 시스템의 향후 방향 - IRIS 국가연구자정보시스템(NRI)의 국가연구자번호 발급 서비스 통합 외에 KRI, NTIS의 나머지 기능은 그대로 유지됩니다.  다. IRIS 성과 입력 관련 문의 - 향후 IRIS에서 국가연구개발사업 관련 성과 입력 및 관리를 하실 수 있습니다.장비관리(ZEUS)의 경우, IRIS와 연계되어 IRIS에서 장비입력‧관리가 가능하며 9대 성과물*의 경우, 현재 전담기관과 연계 협의 중입니다. *논문, 특허, 보고서, 기술요약정보, 화합물, 생명자원, 신품종, 소프트웨어, 표준화(신규)   4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우, 우리 원 PMS실무추진단 IRIS 콜센터(☏1877-2041) 또는 김아름 연구원(☏OOO-OOO-OOOO)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝. 2021-11-12",한국과학기술기획평가원 경영지원단 총무지원팀,기타,2021-11-12
원자력,내용,안전관리계획 수립대상 건설공사,"""안전관리계획 수립대상이 되는 건설공사""가 궁금합니다.","「건설기술 진흥법」제62조에 따라 건설사업자와 주택건설등록업자는 안전점검 및 안전관리조직 등 건설공사의 안전관리계획을 수립하도록 규정하고 있으며, 안전관리계획을 수립하여야 할 건설공사의 범위 등에 필요한 사항은 대통령령으로 정하고 있습니다.  같은 법 시행령 제98조 제1항에 따라 법 제62조제1항에 따른 안전관리계획(이하 ""안전관리계획""이라 한다)을 수립하여야 하는 건설공사는 다음과 같습니다.(원자력시설공사는 제외)  1. 「시설물의 안전 및 유지관리에 관한 특별법」 제7조제1호 및 제2호에 따른 1종시설물 및 2종시설물의 건설공사(같은 법 제2조제11호에 따른 유지관리를 위한 건설공사는 제외한다)  2. 지하 10미터 이상을 굴착하는 건설공사. 이 경우 굴착 깊이 산정 시 집수정(集水井), 엘리베이터 피트 및 정화조 등의 굴착 부분은 제외하며, 토지에 높낮이 차가 있는 경우 굴착 깊이의 산정방법은 「건축법 시행령」 제119조제2항을 따른다.  3. 폭발물을 사용하는 건설공사로서 20미터 안에 시설물이 있거나 100미터 안에 사육하는 가축이 있어 해당 건설공사로 인한 영향을 받을 것이 예상되는 건설공사  4. 10층 이상 16층 미만인 건축물의 건설공사  4의2. 다음 각 목의 리모델링 또는 해체공사 가. 10층 이상인 건축물의 리모델링 또는 해체공사 나. 「주택법」 제2조제25호다목에 따른 수직증축형 리모델링  5. 「건설기계관리법」 제3조에 따라 등록된 다음 각 목의 어느 하나에 해당하는 건설기계가 사용되는 건설공사 가. 천공기(높이가 10미터 이상인 것만 해당한다) 나. 항타 및 항발기 다. 타워크레인  5의2. 제101조의2제1항 각 호의 가설구조물을 사용하는 건설공사  6. 제1호부터 제4호까지, 제4호의2, 제5호 및 제5호의2의 건설공사 외의 건설공사로서 다음 각 목의 어느 하나에 해당하는 공사 가. 발주자가 안전관리가 특히 필요하다고 인정하는 건설공사 나. 해당 지방자치단체의 조례로 정하는 건설공사 중에서 인ㆍ허가기관의 장이 안전관리가 특히 필요하다고 인정하는 건설공사   더 궁금한 사항이 있으시면 대전지방국토관리청 건설안전과(☏042-670-3342, 최상호)로 연락 주시기 바랍니다. 성심성의껏 안내해 드리도록 하겠습니다. 2021-09-01",국토교통부 대전지방국토관리청 건설안전국 건설안전과,기타,2021-09-01
원자력,내용,통제공역에서의 비행허가,원자력시설 상공에 설정되어 있는 통제공역 중 대전지역의 통제공역(명칭 : P65B)에서 비행하려고 하는데 허가 절차가 어떻게 됩니까?,"안녕하십니까! 하늘길 항공안전을 책임지는 김포항공관리사무소입니다. 평소 항공에 관심을 가져주신 점에 대해 감사드리며, 질의하신 내용에 대하여 아래와 같이 말씀드리고자 합니다.  ■ 공역 설정배경 : 2001년 9월 11일에 미국에서 발생한 9.11테러 이후 우리나라에서도 항공테러를 방지하기 위하여 원자력시설 상공을 비행금지구역으로 설정하여 운영하고 있습니다. ■ 통제공역 관할 기관 ㅇ 원자력시설 반경 1NM(또는 2NM), 지표면으로부터 8000피트까지의 공역 : 국방부 관할 ㅇ 원자력시설 반경 2NM ~ 10NM, 지표면으로부터 18000피트까지의 공역 : 국토교통부(지방항공청)에서 관할 *1NM(Nautical Mile)은 해상마일이며, 1NM은 1,852m 입니다. ■ 운항허가 필요 : 통제공역 내에서 비행을 원할시 항공안전법 제79조 및 같은 법 시행규칙 제222조에 따라 통제공역비행허가 신청서를 제출하고, 비행허가를 받아야 합니다 ■ 관계법령 : 항공안전법 제79조(항공기의 비행제한 등), 항공안전법 시행규칙 제222조(통제공역에서의 비행허가) ■ 처리기간 : 1일(24시간) 이내 ■ 구비서류 : 항공안전법 시행규칙 별지 제84호 서식 ■ 검토사항 : 운항목적의 타당성 및 안전운항 여부, 당해 관할 기관과의 사전 협의 여부  *** 더 궁금하신 사항은 김포항공관리사무소 안전운항과(02-2660-5734)로 전화주시면 정성껏 최선을 다해 답변해드리겠습니다 *** 2021-08-31",국토교통부 서울지방항공청 김포항공관리사무소 안전운항과,기타,2021-08-31
원자력,내용,태양광 패널의 환경 유해성?,태양광 패널의 환경 유해성?,"최근 “태양광 패널에 크롬, 카드뮴 등 중금속이 많이 포함되어 있어 원자력 발전 보다 더 해롭다”는 우려가 제기되기도 합니다. 하지만 국내에 보급된 수상 태양광 패널에는 크롬, 카드뮴이 포함되어 있지 않습니다. 국내에 보급되는 태양광 패널은 대부분(92% 이상) 결정질 실리콘계(c-Si) 패널입니다. 결정질 실리콘계 패널은 유리(76%), 폴리머(10%), 알루미늄(8%), 실리콘(5%), 구리(1%) 등으로 구성됩니다. 이러한 물질들은 독성물질이 아니며, 대부분 재활용이 가능합니다. 전선 연결을 위한 극소량의 납이 포함될 수 있습니다만, 수상태양광의 경우, 2015년 7월부터는 환경부 고시로 정한 기준치(0.0001mg/L)이하의 제품만 사용하고 있습니다. 즉, 태양광 패널에 크롬, 카드뮴은 애초에 포함되어 있지 않으며, 패널이 중금속 범벅이라는 말 또한 전혀 사실이 아닙니다. 환경부는 ‘수상태양광 발전사업 환경성평가 협의 지침’을 통해 태양광 폐기물 등의 환경 영향을 엄격히 관리 중입니다. 이 지침은 수상태양광 발전사업에 관하여 입지선정, 수질 및 수생태계 영향, 시설안전성, 경관, 관리책임 등에 대한 검토사항과 기준 등을 제시하고 있습니다. 새만금개발청은 재생에너지 사업을 추진하는데 있어, 안정성이 검증된 태양광 패널 제품을 사용하고 면밀한 사후 관리를 통해 환경문제를 사전에 철저히 예방하겠습니다. 2021-08-30",새만금개발청 기획조정관 정보민원담당관,기타,2021-08-30
원자력,내용,가야를 구해 주십시오 (유네스코에 '임나'가야 등재를 말려 주시오),,1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 OOO-OOOO-OOOOOOO)에 대한 검토 결과를 다음과 같이 알려드립니다.  2. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.  가. 민원인께서 말씀주신 사항은 우리 재단 소관업무가 아님을 양해하여 주시기 바랍니다.  나. 참고로 우리 재단은 원자력 및 방사선 안전에 관한 정책과 제도 개발을 지원하고 관련 연구사업 등을 통하여 원자력·방사선 안전기반 조성을 위한 업무를 수행하고 있음을 알려드립니다. 감사합니다. 2021-08-19,한국원자력안전재단 경영기획부,기타,2021-08-19
원자력,내용,안전문화운동이란 무엇인가요?,안전문화운동이란 무엇인가요?,"■ 안전문화운동의 정의 안전문화라는 용어는 1986년 소련 체르노빌 원자력 누출사고에 따른 원자력 안전자문단(INSAG)의 보고서(Post Accident Review Meeting on the cher Accident)에서 처음 사용되었다. 국제원자력자문단은 안전문화의 의미를 “조직과 개인의 자세와 품성이 결집된 것으로 모든 개인의 헌신과 책임이 요구되는 것이다.”라고 정의했다. 국내에서는 1995년 이전까지 안전문화에 대한 인식부족과 민간주도의 비체계적인 활동에서 1995년 6월 29일 삼풍백화점 붕괴사고 이후 안전에 대한 국민의 관심이 고조되면서 정부주도로 안전관련 법령이 제정되고, 효율적인 협력체제 구축을 위한 노력 등이 시작되었다. 안전문화는 안전제일의 가치관이 충만되어 모든 활동 속에서 “안전”이 체질화되고, 또한 그 가치의 구체적 실현을 위한 행동양식과 사고방식, 태도 등의 총체적 의미를 말한다.   ■ 수영구 안전문화운동 전개 2013.10.30. 구청장 및 민간위원장을 공동대표로 한 '안전문화운동 추진 수영구협의회(안문협)' 출범을 시작으로, 기획홍보·사회안전·생활산업안전·교통안전 등 4개의 분과위원회를 설치하고 매년 분야별 과제를 선정하여 지자체 및 유관기관·민간단체가 참여하는 안전문화운동을 적극 추진하고 있음. <주요활동내용> ○ 안전문화 확산을 위한 캠페인, 안전교육 및 홍보 등 연중 추진    - 월 1회 안전점검의 날  운영(안전점검 및 안전신고 홍보 캠페인 전개 등)    - 연중 찾아가는 생활안전교실 실시    - 연 2회 재난사진전 개최  ○ 4대 분야 17개 실천과제 추진    - 연 1회 추진계획 수립 및 부서·분야별 실천과제 연중 지속추진 2021-08-12",부산광역시 수영구 안전도시국 안전관리과,"재난 및 안전관리 기본법 / 제66조의4(안전문화 진흥을 위한 시책의 추진)
재난 및 안전관리 기본법 시행령 / 제73조의5(안전문화활동에 대한 총괄ㆍ조정)",2021-08-12
원자력,내용,적토미 볍씨,"적토미,녹토미 볍씨를 구할수 있는 방법을 알려주세요.  내년에 한번 심어보려고 합니다.","적토미, 녹토미는 제품명인것 같고, 벼 품종은 적색쌀은 농촌진흥청 국립식량과학원에서 개발한 '적진주벼, 홍진주벼' 등이 있습니다.   녹색쌀 품종은 원자력연구소에서 육성한 '녹원찰벼'가 있습니다.   이들 품종은 특수 미로 정부보급종은 생산되지 않고, 농촌진흥청 국립식량과학원에서 분양 받거나 독농가에서 생산한 종자를 구입 하는 방법이 있습니다.   농촌진흥청에서 개발한 적진주벼, 홍진주벼는 12월발 분양 가능량을 예시하면 시군농업기술센터를 통해 신청하여 분양을 받을 수 있습니다. 녹원찰벼는 육성기관인 원자력연구소로 문의하여 구입하시기 바랍니다. 안녕하십니까? 농촌진흥청입니다.  ○ 토양 잔류성 : 농약은 등록 당시부터 토양에서의 분해속도와 이동성 등을 종합적으로 평가하고 있습니다.  ○ 국내에서는 토양 중 반감기(토양에 사용할 당시의 농도가 반으로 분해되는데 걸리는 시간)가 180일을 초과하는 농약은 등록 사용을 제한하고 있으며, 국내 사용하는 농약의 토양 중 반감기는 98%이상이 120일 미만입니다.  ○ 토양 중 잔류기간이 긴 농약(유기수은계등 중금속 함유 농약, 유기염 소계 농약 등)에 대해서는 사용을 1979년 이전에 모두 금지시킨바 있고, 후작물로의 전이가 우려되는 “엔도설판”은 2011년부터 생산이 금지 되는 등, 잔류농약에 대한 관리체계를 강화하고 있습니다.  ○ 수중 잔류성 : 국내에서는 논농사의 비중이 큰 점을 고려하여 벼 재배용 농약과 어류에 대한 독성이 높은 농약에 대해서는 국내 실정에 맞는 수중 잔류 시험을 요구하여 물 중 반감기가 7일 이하거나, 7일 후 물중 농도가 잉어에 대한 독성 수치보다 낮은 경우에만 등록을 허락하고 있으며,   ○ 수서 생물에 피해를 일으킬 우려가 있거나 공공수역의 수질을 오 염시켜 그 물을 이용하는 사람과 가축에 피해를 줄 우려가 있는 농약은 “수질오염성 농약”으로 정하여 사용을 금지하고 있으며, 사용 중인 농약에 대해서 등록단계에서 미처 파악하지 못했을 수도 있는 음용수의 오염과 환경 생물에 대한 위해 기능성을 차단하기 위하여 수계중의 농약잔류수준을 지속적으로 분석 감사하고 있습니다.  ○ 이처럼 농약의 안전성 확보를 위한 농약잔류성의 규제를 엄격히 시행하고 농약의 안전 사용기준에 대한 교육도 매년 실시하는 등 토양 및 수질오염에 대한관리는 더욱 강화하고 있으나, 귀하께서 언급하신 농약의 살포로 인한 토양 및 수질오염과 부작용을 최소화하고 피해를 예방하기 위한 친환경 농업에 대한 국민의 공감대 형성과 이에 대한 연구가 지속되도록 하는 노력이 더욱더  필요할 것으로 생각됩니다.   ○ 농약에 대한 상세한 정보는 농촌진흥청 국립농업과학원 농약정보서비스 (pis.rda.go.kr)를 통해 검색할 수 있음을 안내해 드립니다.   농업기술상담은 전국어디서나 ☎1544-8572 농촌진흥청 고객지원담당관실    2021-05-24",농촌진흥청 기획조정관 고객지원담당관,민원사무처리에 관한 법률 / 제14조 (복합민원의 처리),2021-05-24
원자력,내용,전략물자별 수출허가기관,전략물자별 수출허가기관이 어디인지요?,"안녕하십니까? 귀하께서 질의하신 내용에 대한 답변은 다음과 같습니다. 전략물자의 수출허가 기관은 전략물자수출입고시 제5조에 따라 이중용도품목(전략물자수출입고시 별표2 제1부 ~ 제9부)은 산업통산자원부장관, 원자력전용품목(전략물자수출입고시 별표2 제10부)은 원자력안전위원회 위원장, 군용물자품목(전략물자수출입고시 별표3) 및 이중용도품목을 수입국 정부가 군사목적으로 사용할 경우는 방위사업청장이 수출허가 합니다.   추가로 궁금하신 사항은 방위사업청 기술심사과(02-2079-6833)로 문의하시면 친절하게 안내 드리겠습니다. 감사합니다. 2021-05-24",방위사업청 국방기술보호국 기술심사과,대외무역법 시행령 / 제33조 (전략물자의 수출허가 또는 상황허가의 신청 등),2021-05-24
