,검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
0,기후 변화,제목,2021-08-03,종료,2,기후 변화에 대응하기 위해 준비할 것들,2021.08.03,2,2,"지구의 평균 온도가 상승하면서
폭우, 폭염 등 이상기후 현상이 연이어 발생하는 등
기후 위기에 직면한 상황입니다.
 
기후 변화와 이상 기후 현상에 대응하기 위해
대전 서구에서는 어떤 대책을 준비해야 할까요?",2021-08-03~2021-08-16,환경>기후·기상,,#이상기후 #기후변화 #지구온난화 #환경문제,
1,기후 변화,제목,2019-07-25,종료,2,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.08.20,4,2,"청주시의 기후 변화 적응 및 대응을 위한 정책 방향에 대해 여러 의견을 제시해주셨는데, 시민들의 참여를 높이고 체감할 수 있는 기후변화정책에는 어떠한 것들이 필요할까요? 많은 분들의 다양한 의견을 듣겠습니다.",2019-08-20~2020-03-03,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
4,기후 변화,내용,2021-12-02,종료,0,(농촌진흥청) 농업환경과 먹거리안전 분야 기술개발을 위한 의견수렴,2021.12.02,0,0,"❍ 기후 변화는 식량안보 수준의 양·질적 악화를 가중시키고, 자연 자원 부족은 자원 확보를 위한 경쟁은 심화될 것으로 전망됩니다.
- 가뭄·홍수·열대폭풍우·폭염·산불과 같은 기후변화는 식량안보 수준을 양적·질적으로 악화시킬 것으로 예측
- 토지와 수자원 등의 자연 자원 부족으로 자원 확보를 위한 부문 간 경쟁 심화 및 음식물 쓰레기와 식품손실 발생 지속 전망
* 現 연간 13억 톤의 음식물 쓰레기와 식품 손실 발생
* 소매 단계에서 발생하는 음식물 쓰레기와 달리 식품 손실은 유통과정(예: 운송, 보관)에서 기술･지식･훈련부족 등으로 인해 발생
 
❍ 이에 농촌진흥청에서는 농업환경 변화 예측·대응과 안전 농식품 생산·보급 기술개발 분야 연구개발을 준비중에 있습니다.
- 농업 기후·환경변화에 따른 예측·대응 기술을 통한 그린 뉴딜 지원
- 농업부문 탄소중립 이행실적의 과학적 검증·평가 체계구축
- 비의도적 위해 예측·저감 기술 고도화를 통한 먹거리 안전 확보
 
❍ 급변하는 기후변화에 따른 농업환경의 변화를 예측 및 대응하고 농식품 안전 생산 및 보급에 기여할 수 있는 국민여러분의 의견을 듣고자 하오니 많은 참여 부탁드립니다.
 ",2021-12-02~2021-12-16,농림·해양·산림>농업·농촌,전라북도>전주시,#농업환경 #먹거리안전,
5,기후 변화,내용,2021-11-02,종료,0,농업환경과 먹거리안전 분야 기술개발을 위한 의견수렴,2021.11.02,0,0,"❍ 기후 변화는 식량안보 수준의 양·질적 악화를 가중시키고, 자연 자원 부족은 자원 확보를 위한 경쟁은 심화될 것으로 전망됩니다.
  - 가뭄·홍수·열대폭풍우·폭염·산불과 같은 기후변화는 식량안보 수준을 양적·질적으로 악화시킬 것으로 예측
  - 토지와 수자원 등의 자연 자원 부족으로 자원 확보를 위한 부문 간 경쟁 심화 및 음식물 쓰레기와 식품손실 발생 지속 전망
   * 現 연간 13억 톤의 음식물 쓰레기와 식품 손실 발생
   * 소매 단계에서 발생하는 음식물 쓰레기와 달리 식품 손실은 유통과정(예: 운송, 보관)에서 기술･지식･훈련부족 등으로 인해 발생
❍ 이에 농촌진흥청에서는 농업환경 변화 예측·대응과 안전 농식품 생산·보급 기술개발 분야 연구개발을 준비중에 있습니다.
 - 농업 기후·환경변화에 따른 예측·대응 기술을 통한 그린 뉴딜 지원
 - 농업부문 탄소중립 이행실적의 과학적 검증·평가 체계구축
 - 비의도적 위해 예측·저감 기술 고도화를 통한 먹거리 안전 확보
❍ 급변하는 기후변화에 따른 농업환경의 변화를 예측 및 대응하고 농식품 안전 생산 및 보급에 기여할 수 있는 국민여러분의 의견을 듣고자 하오니 많은 참여 부탁드립니다.
   ",2021-11-02~2021-11-16,농림·해양·산림>농업·농촌,전라북도>전주시,##기후변화 ##먹거리안전,
6,기후 변화,내용,2021-07-27,종료,9,[서울시 용산구] 폭염 대비 스마트 그늘막 설치·운영,2021.08.16,9,9,"■ 사업목적
   사물인터넷(IoT) 기술을 접목하여 온도와 바람 등 기후 변화에 따라 자동 개폐되는 스마트 그늘막을 설치하여 구민의 편의증진 및 사람 중심의 스마트 서비스 구현에 힘쓰고자 함
■ 사업개요
  ○ 사업기간 : 2021. 1월 ~ 2021. 9월
  ○ 사업규모 : 8개소 내외 설치
  ○ 사업위치 : 설치 대상지 현장 검토 및 관계 기관(부서) 협의 후 위치 선정
                (※ 코로나로 침체된 이태원로 및 횡단보도 우선 설치)
  ○ 사업내용 : 기후변화에 따라 자동개폐 가능한 스마트 그늘막 설치
    - 설치방법 : 신규 또는 기존 파라솔 그늘막을 스마트 그늘막으로 교체
      ․기존 그늘막은 그늘 필요지역에 이설 설치
 <스마트 그늘막>
○ 일출 후 일정기온 이상이 되면 자동으로 펼쳐짐
○ 풍속이 7m/s 이상 2초간 지속되면 자동으로 접힘
○ 더이상 풍속이 감지되지 않으면, 10분간 접힘 유지 후 자동으로 펼쳐짐
■ 추진계획
  ○ 2020. 9월     : 사업 방침 수립
  ○ 2021. 1~3월  : 설치 대상지 검토 및 관계 기관(부서) 협의
  ○ 2021. 4월     : 스마트 그늘막 설치
  ○ 2021. 5~9월  : 스마트 그늘막 운영
====================================
많은 의견 등록 바랍니다.",2021-08-16~2021-08-18,일반공공행정>자치행정,,#용산구,
9,기후 변화,내용,2021-04-02,종료,11,(수정)'조금 불편한 삶을 위한 한 가지 다짐' 이벤트,2021.04.02,4,5,"제51주년 지구의 날을 맞아 연제구에서는 아래와 같은 이벤트를 진행합니다~~♬
기후 변화에 대응하는 다짐 한 가지의 인증사진을
#탄소_배출_줄이기_연제구와_함께
해시태그를 붙여 인스타그램 or 페이스북에 업로드하시면 추첨을 통해
편의점 1만원 상품권을 드립니다(당초 동백전에서 변경)
이벤트에 참여하신 분은 참여완료 투표 혹은 댓글 부탁드립니다
많은 참여 바랍니다~~
https://blog.naver.com/yeonjegu/222299035514
□ 응모 기간: 2021. 3. 26. (금) ~ 4. 11. (일)
□ 응모 방법: 기후 변화에 대응하는 다짐 한 가지의 인증사진을 #탄소_배출_줄이기_연제구와_함께 해시태그를 붙여 인스타그램이나 페이스북에 업로드
□ 당첨 상품 및 인원: 편의점 1만원 상품권 40명
□ 당첨자 발표: 2021. 4. 15. (목) - 인스타그램, 페이스북
□ 당첨자 연락처 확인: 2021. 4. 19. (월) 한
– 페이스북 메신저 또는 인스타그램 DM
※ 연락처 확인이 되지 않을 경우 당첨이 취소될 수 있습니다.
※ 사은품 지급을 위한 추가 정보 요청(이름/전화번호)
□ 상품 증정: 2021. 4. 23. (금) 한
□ 당첨자의 인증 사진은 추후 유튜브 영상으로 편집 후 공개될 수 있습니다.
□ 이벤트 응모 시 제공 동의한 개인정보는 이벤트 당첨자 대상 사은품 지급 목적 외에 일체 사용되지 않습니다.
 ",2021-04-02~2021-04-11,환경>기후·기상,부산광역시,#기후위기 #탄소중립 #탄소배출줄이기 #연제구와함께,
10,기후 변화,내용,2020-10-12,종료,2,"기후 위기의 시대에 농업은 어떤 역할을 할 수 있으며, 식량위기에 대처할 방안은 무엇일까요?",2020.11.09,0,2,"(시작)
2020년 우리나라의 여름 장마는 무척 길었고, 그 결과는 각종 과일 채소 가격의 폭등으로 나타났습니다.
전 세계적으로 농업분야에 있어 기후변화는 이미 재난의 일종으로 규정되어가고 있습니다. 기후 변화가 가져올 농촌과 농업에 대한 피해는 실로 막대합니다. 예측할 수 없는 홍수, 가뭄, 태풍으로 인한 피해는 물론 빨라지는 생육환경 변화로 인해 농업인들이 겪는 피해는 상상조차 하기 힘듭니다. 한편으로는 기후변화를 유발하는 온실가스 배출의 가장 큰 원인이 축산업이라는 연구결과도 있습니다.
앞으로 기후 위기의 시기에 농업계의 역할은 어떤 것일지, 위기에 어떻게 대처해 나가야 할지 함께 생각해봤으면 합니다.
1. 비닐을 친환경 재료로 만드는 일, 비료 농약을 줄이는 일 등 농업계는 기후 변화에 대해 노력하고 있습니다. 기후 위기에 대해 농업계가 더 열심히 해야 할 일, 할 수 있는 일은 무엇일까요.
2. 기후 변화를 당장 막아내기 힘들다면 기후 변화에 따라 곧 다가올지 모르는 식량부족 문제를 해결하기 위한 좋은 방안은 어떤 것이 있을까요.
(발전)
여러 분들이 좋은 의견 주셨습니다.
1. 농업분야에서 기후 위기에 대응하기 위한 방법으로는
  - 농민 숫자(특히 소농)가 늘어야 한다.
  - 도농 직거래 등 농산물 유통구조를 개선해야 한다.
  - 농민의 기본소득을 보장해야 한다.
  - 생태 농업(저탄소 재생농업, 유기농업, 친환경 농업)을 적극적으로 지원해야 한다.
  - 축산업을 축소하고, 양분총량제를 도입하여 축분 사용을 축소해야 한다.
  - 도시농업을 활성화 해야 한다. 
2. 식량부족 위기를 해결하기 위한 방안으로는
 - 스마트팜, 실내농장, 식물공장 등 기후 변화를 극복할 수 있는 기술에 투자해야한다.
 - 기후변화에 적합한 재배작목을 선택하거나 작물을 개선해야 한다.
 - 지역 농부시장을 활성화애햐 한다.
그렇다면 이러한 과제들을 달성하기 위해서는 어떤 노력들이 필요할지 의논해보았으면 합니다.
예를 들면 생태 농업을 지원하거나 기본소득을 보장하기 위해서는 지원받을 수 있는 분들의 범위를 설정하거나 지원 방법, 예산, 법령 등에 대한 설정이 필요합니다. 그리고
축산업을 축소하기 위해서는 농업구조 변화나 식생활 변화가 동반되어야 될거라고 생각됩니다.
또한 스마트팜, 실내농장, 식물공장 등 농업 기술 발전을 위해서도 이와 같은 노력이 필요합니다.
여러분들이 생각하는 것들은 어떤 것인가요?",2020-11-09~2020-11-09,농림·해양·산림>기타,,,
13,기후 변화,내용,2020-02-10,종료,34,"날씨의 기억, 국민의 기록! [기상기후사진 공모전] 안내 및 설문",2020.02.10,3,5,"제37회 기상기후사진 공모요강
  기상청은 매년 세계 기상의 날(3월 23일)을 맞아 국민참여를 통해 기상현상을 기록하고 기상과학에 대한 이해를 높이기 위해 기상기후사진 공모와 전시회를 개최하고 있습니다.
여러분들이 일상생활에서 느낄 수 있는 아름답고 신비한 기상현상을 함께 나누고자 합니다.
여러분의 사진이 기상기후의 역사가 됩니다.
「제37회 기상기후사진 공모전」은 기상기후를 사랑하는 여러분의 도전을 기다립니다.
1. 공모개요
○ 공 모 명 : 제37회 기상기후사진 공모전
○ 공모부문 : 일반사진 / 타임랩스
○ 공모주제 : 날씨의 기억, 국민의 기록!
- 비, 눈, 번개, 구름, 무지개 등 하늘에서 일어나는 현상
- 가뭄, 홍수, 대설, 태풍, 지진 등 땅에서 일어나는 자연재해 현상
- 기후변화로 인간에게 남겨진 자연현상
- 기상, 기후와 관련된 인간의 노력을 담은 순간포착 사진
 
○ 공모대상 : 대한민국 국민 누구나
○ 주 최 : 기상청
 
2. 공모일정
○ 공모기간 : 2020. 01. 29.(수) - 02. 27.(목)
○ 심 사 : 2020년 3월 초
○ 수상자 사전 연락 : 2020. 03. 10.(화) - 03. 16.(월)
※ 정해진 기간 내 연락이 안될 시 수상포기로 간주함
○ 당선작발표 : 2020. 03. 17.(화) 14:00 공모전 홈페이지 발표
○ 시상식 : 2020. 03. 23.(월) 세계 기상의 날 기념식
○ 전시 : 2020년 4-5월 중
※ 주최 측 사정에 따라 세부일정은 변경될 수 있으며, 변경 시 공모전 홈페이지를 통해 공지 예정
 
 
 
3. 응모방법
○ 접수방법 : 공모전 홈페이지 파일 업로드 www.kmaphoto.co.kr(단, 타임랩스의 경우 용량이 큰 파일 접수시 유튜브 업로드 후 URL주소 첨부)
○ 출품규격
  구 분 내 용
공통 ◦ 부문별 1인당 최대 5작품
◦ 디지털카메라 또는 이와 동등 이상 성능의 카메라로 촬영
사진 ◦ 해상도 2200×1500 pixel 이상, 파일크기 10MB이내의 JPG 파일
◦ 편집이나 합성을 하지 않은 작품
타임랩스 ◦ 해상도 1280X720 pixel 이상, 30초~5분 내외의 파일
◦ 파일형태 : avi, wmv, mp4
※ 기상․기후 관련 사진 중 최근 3년 이내(2017년 1월 1일 이후) 촬영한 국내․외 미 발표작을 대상으로함
※ 규격미달 작품과 사진촬영정보(Exif)를 삭제한 작품은 심사대상에서 제외될 수 있음
※ 컴퓨터 그래픽이나 이미지 합성․조작․변형한 작품, 표절하였거나 표절로 인정되는 작품
(단, 단순보정은 허용), 타인 및 법인 등의 저작권이 매도되었거나 진행 중인 작품, 자연 환경을 훼손하거나 인공적인 기상현상을 발생시키면서 촬영한 작품은 출품을 제한함
 
4. 시상내용
<총 38점>
  구 분 훈 격 작품 수 상 금
일반사진 대상 환경부장관상 1점 500만원
금상 기상청장상 1점 200만원
은상 1점 100만원
동상 2점 각 50만원
입선 상장 없음 30점 각 20만원
타임랩스 특별상 기상청장상 1점 100만원
입선 상장 없음 2점 각 50만원
계   38점 1,700만원
※ 제세공과금은 본인 부담
 
 
 
 
5. 심사기준
○ 일반사진
- 특이하고 신비한 기상현상, 기상재해에 대한 경각심을 높이는 작품
- 작품성과 학술적 가치가 있으며 기상과학에 대한 홍보 효과가 있는 작품
○ 타임랩스
- 기상기후 변화를 잘 나타낼 수 있는 작품을 일반사진의 심사기준과 함께 심사
 
6. 응모 시 유의사항
  ㅇ 응모신청서(연락처 등) 미작성 및 기입 오류 등으로 연락이 안되는 응모작품은 심사에서 제외됨
ㅇ 응모한도를 초과한 응모작품은 시간 순 1인당 5점 이후 응모 작품부터 심사에서 제외됨
ㅇ 사진에 인물, 건축물, 개인·법인소유지 등이 포함되었을 경우 응모자는 초상권 등 저작권과 관련하여 발생할 수 있는 문제들을 해결한 후 응모하여야 하며, 향후 분쟁이 발생할 경우 민·형사상의 모든 법적 책임은 출품자(저작권자)에게 있음
ㅇ 응모 형식과 규격에 맞지 않는 작품, 다른 공모전에서 입상한 작품 및 표절·복제 등으로 타인의
저작재산권 등을 침해한 경우 심사에서 제외하며, 수상 후에도 이 사실이 밝혀질 경우 수상을
취소하고 상장 및 상금 등은 일체 회수함
ㅇ 본 심사 대상으로 선정된 작품의 출품자는 주관사로부터 본 심사에 필요하여 원본파일 제출을 요구받았을 때, 원본파일을 제출해야 하며, 제출하지 않을시 본 심사 대상에서 제외됨
ㅇ 모든 수상자는 사전연락 기간(2020년 3월 10일 화요일~3월 16일 월요일) 까지 원본 데이터 제출
- 제출한 원본 데이터가 응모작과 일치하지 않거나 기한 내에 제출하지 않은 경우 또는 기재된
연락처가 불분명하여 연락이 되지 않는 경우 수상에서 제외함
   
7. 저작권 관련 유의사항
※ 제45조 저작재산권의 양도, 제46조 저작물의 이용허락에 대한 저작권법 따른 근거
  ㅇ 공모전 입상작에 대한 모든 권리(저작권 일체 및 2차 저작물 또는 편집저작물의 작성권 등)는 공익목적의 대국민 기상업무 홍보에 한하여 기상청에 귀속
ㅇ 기상청은 최종 입상된 작품의 모든 저작재산권에 대한 작품활용동의서를 통해 향후 홍보와 관련된 2차 저작물 또는 편집제작물로 제작, 복제 및 배포할 수 있음
 
8. 문 의
ㅇ 공모전 운영사무국(☎ 070-8850-2788) 또는 공모전 홈페이지 Q&A 게시판
ㅇ 인스타그램 아이디 kma_photo_contest_
 ",2020-02-10~2020-02-28,환경>기후·기상,,#기상기후 #날씨 #환경 #미세먼지 #기상청 #공모전 #사진 #사진공모전 #기상기후사진공모전 #태풍 #기후현상 #기후변화 #지구온난화 #환경보호 #에코 #기상 #기후,
14,기후 변화,내용,2019-09-26,종료,32,국민이 함께하고 싶은 나무는?,2019.10.18,5,7,"o 국립산림품종관리센터는 산림청의 ‘우량종자 생산을 위한 종자공급원의
  관리 및 확대’ 방침에 따라「채종원 조성·관리 추진계획(’17∼’21)」을 수립했습니다.
o 채종원이란 ? 산림의 가치 증진을 위하여 유전적으로 우수한 형질을 지닌
  ‘수형목’을 복제(접목묘)하여 조성한 산림용 종자 공급원입니다.
  <채종원 조성과정 및 개량효과>
o  ’30년 이후 공급되는 산림용 종자의 90%이상이 채종원산 종자가 될 수 있도록
  채종원 2,500ha 조성을 목표로 신규 채종원 조성과 노령 채종원의 갱신·폐기 
  업무 등을 수행하고 있습니다.
 * 채종원 조성목표 :  (‘16) 785ha → (‘21) 1,035ha → (‘26) 1,535ha → (‘30) 2,500ha
 * 종자 공급율 목표 :  (‘16) 33% → (‘21) 48% → (‘26) 70% → (‘30) 90%
  
o 센터에서는 현재 1)경제성 및 시장요구에 부합하는 ‘전략수종인 소나무, 낙엽송
  채종원’, 2)기후변화에 대응한 ‘가시나무류 난대수종 채종원’, 3)남북산림협력용 
  종자확보를 위한 ‘잎갈나무 채종원’ 등을 ’21년까지 총 250ha목표로 연차별 50ha씩
  신규조성 계획하고 있습니다.
 <채종원 연차별 조성계획>
o 채종원 조성확대 사업 4년차인 ’20년에는「채종원 조성관리 사업 2단계 추진계획」
  수립에 대한 논의가 이루어져야 하며, 약 20년 후의 미래 조림수요 예측 및 기후 변화
  양상, 목재시장 수요·공급양상 등을 면밀하게 검토하여 신규 채종원 조성수종이
  선정되어야 합니다.
o 이에, 국민들의 의견은 어떤지 수렴하기 위해서 국민생각함 토론의 장을 열었습니다.
   많은 참여와 관심 부탁드립니다.
 
 ",2019-10-18~2019-10-31,농림·해양·산림>산림·산촌,충청북도>충주시,#나무 #국민 #보다나은산림청 #함께하는 #국립산림품종관리센터 #정부혁신 #산림청 #채종원 #의견수렴,
15,기후 변화,내용,2019-10-18,종료,18,멸종위기 구상나무를 유전다양성으로 살려요!,2019.10.18,4,18,"구상나무는 지리산, 한라산, 덕유산 등 한반도의 남부지역 해발고 1,000m 이상에서 주로 자라는 우리나라 특산수종입니다. 외국에서는 구상나무를 개량하여 크리스마스 트리로 많이 이용하고 있으며, 최근 우리나라에서는 구상나무의 잎에서 추출한 정유에 피부 미백과 주름 개선에 효과가 있다는 연구 결과가 발표되어 앞으로 상업적 이용가치가 높은 나무입니다.
하지만 현재 구상나무는 멸종의 위협에 처해 있습니다. 제한 된 분포지역과 기후 변화로 인한 멸종의 위협으로 인해 IUCN(International Union for Conservation of Nature; 국제자연보전연맹) 멸종위기종으로 등재 되었습니다. 지리산 반야봉 일대 구상나무 조사지역에서는 3년간 고사율이 최대 32%로 높게 나타났습니다. 생존의 갈림길에 처해있는 우리나라의 고유종인 구상나무의 보존이 시급한 상황입니다.
국립산림과학원에서는 우리나라 특산수종인 구상나무를 보존하기 위해 구상나무의 대표적 자생지인 지리산, 한라산, 덕유산 3집단과 몇 개체만 살아남아 있는 잔존집단인 금원산, 영축산, 가야산 집단의 유전다양성 분석과 집단의 근연관계 분석을 수행하고 있습니다. 생물은 유전적으로 다양한 개체가 함께 자랄 때 급격한 환경변화에서 살아남을 가능성이 큽니다. 그래서 사멸의 위험이 가장 높은 잔존집단과 유전적 근연관계가 가장 가까운 집단의 종자를 이용해 유전다양성을 높여 주면, 잔존집단이 환경변화에 대응 할 수 있는 기회를 제공하여 구상나무 스스로 변화에 적응 할 수 있는 가능성을 높여주는 연구를 수행중입니다.
이상과 같은 연구내용에 국민여러분은 어떻게 생각하시는지 의견을 듣고 싶습니다. 우리나라 특산수종인 구상나무를 보존하기 위해 국민 여러분은 어떤 의견을 갖고 계신지, 유전다양성을 이용해 보존하는 방법에는 어떻게 생각하시는지 의견을 남겨 주시기 바랍니다.
 ",2019-10-18~2019-11-15,농림·해양·산림>산림·산촌,,#멸종위기 #유전다양성 #보존 #보전 #구상나무 #복원,
