검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
기후변화,제목,2022-04-22,종료,0,기후변화주간 다짐 캠페인에 참여해주세요,2022.04.22,0,0,"서울시는 지구의 날을 기점으로 일주일간 기후변화주간 탄소중립 생할실천을 유도, 확산하기 위해
‘지구야, ______로 약속할게!’ 다짐 캠페인을 추진하고자 합니다.
서울은 감탄해 인스타그램( https://www.instagram.com/seoul_gamtan/ )에서 진행되며,
다짐캠페인 게시글에 지구를 위해 친환경행동 실천을 약속하는 댓글로 참여하실 수 있습니다.
(예시) 지구야, 개인컵 사용 약속할게! / 지구야, 1회용품 줄이기로 약속할게! 등등
지구를 위해 많은 참여 부탁드립니다.
 
 ",2022-04-22~2022-04-28,환경>자연환경,서울특별시,#기후 #지구,
기후변화,제목,2022-04-20,종료,1,[원주지방환경청] 지구의 날(기후변화주간) 인증사진 공모 이벤트,2022.04.20,0,0,"안녕하세요? 원주지방환경청에서는 2022년 4월 22일 지구의 날을 맞아 운영되는 기후변화주간동안
기후변화와 탄소중립을 알리고, 국민들과 함께 나누기 위한 실천사진 인증 공모 이벤트를 진행합니다.
실천 안내
      : 소등행사 4/22 저녁 8시, 채식식단, 잔반없는 날, 불필요한 이메일지우기 등 인증
사진 응모는 https://naver.me/FIp455rx 온라인 폼으로,
탄소중립 실천을 위한 의견 등은 국민생각함을 통해 남겨주세요.
감사합니다.
※ 이 이벤트는 원주지방환경청 페이스북, 블로그에서도 보실 수 있습니다.
    https://blog.naver.com/wonju__mev/222706720775",2022-04-20~2022-04-28,환경>기후·기상,,#원주지방환경청 #지구의날 #기후변화주간 #이벤트 #탄소중립 #녹색식단의날 #소등행사 #인증사진공모,
기후변화,제목,2022-03-22,종료,62,[청주기상지청] 지역교통방송 협업 기후변화 홍보에 대한 의견수렴,2022.03.22,5,0,"여러분이 알고 싶은 기후변화 주제를 직접 선택해 주세요!
청주기상지청에서는 대국민 기후변화 이해확산의 일환으로 지역 라디오방송국과 협업하여 기후변화에 대한 캠페인과 함께 퀴즈 이벤트를 진행할 예정입니다.
이와 관련하여 국민 여러분이 궁금해하시는 기후변화 주제를 파악하여 홍보 프로그램 운영에 활용하려고 합니다.
소중한 의견을 부탁드리며, 소중한 시간 내주셔서 고맙습니다.
 ",2022-03-23~2022-03-29,환경>기후·기상,충청북도>청주시,#기후변화 #홍보 #탄소중립,
기후변화,제목,2022-01-28,종료,5,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 설문 조사",2022.03.18,0,5,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 
설문조가 결과를 정리하였습니다. 
주요 개선 방향으로 
대국민 설문조사(’22.2.) 결과를 반영하여, 국민체감도 높은 영향정보에 우선순위를 두어 관계부처·유관기관 협력, 전문가 자문을 통한 정보 수집·분석 및 제공 예정입니다. 
 - 사회·경제·문화는 주로 일상생활과 관련된 국민체감도가 높은 부문으로 우선순위를 두어, 국내외 자료조사, 용역사업 연계 등을 통해 추진
 - 환경생태, 방재, 해양수산, 농업축산, 보건, 산업에너지 부문은 관계부처 및 유관기관 협력을 통해 부문별 영향정보 서비스 확대
  < 설문 조사 결과 >
○ 목적: 새로운 기후변화 시나리오 발표(’21.12.)와 연계, 미래(2050년/2100년)에 나타날 변화에 관한 국민관심사 조사를 통한 기후변화 영향정보 발굴
○ 기간/방법: ’22.1.28.~2.13. / 기상청홈페이지, 기후정보포털, 국민생각함
○ 참여자: 총 757명
○ 분석방법: 답변 키워드를 중심으로 8개 대부문, 72개 소분야로 분류
○ 주요 결과(붙임)
- 8개 부문별 관심도: 기상기후 25%, 사회경제문화 20%로 높게 나타남
※ 기상기후(25%)>사회경제문화(20%)>환경생태(15%)>방재(12%)>해양수산(9%)>농업축산(7%)>보건(6%)>산업에너지(5%)
 
-------------------------------------<설문 조사시, 안내문>---------------------------------------
기후변화로 인한 영향이 먼미래, 먼나라의 이야기가 아닌
우리나라, 우리 일상생활에서 느낄 수 있게 되었습니다.
 
특히, 사계절이 뚜렷한 우리나라의 계절길이에 변화가 생겼는데요.
지난 109년간 관측자료로 분석한 결과, 여름은 길어지고 겨울은 짧아지고 있습니다.
미래에도 이러한 경향은 계속되어, 현재 추세대로 온실가스를 배출한다면,
21세기 후반에는 1년의 거의 절반이 여름이 되고, 겨울은 두 달 정도 될 것이라고 전망됩니다.
 
이 외에도, 기상청에서는 앞으로 폭염이나 열대야, 한파나 집중호우와 같은
우리가 생활하기 힘든 극한기후현상들이 얼마나 자주, 더욱 강하게 나타날지에 관한 정보도
기후정보포털(www.climate.go.kr)을 통해 제공하고 있습니다.
 
조금 더 나아가, 여러분이 앞으로 기후변화로 인해 어떤 현상들이 나타날지,
우리의 일상생활이 어떻게 바뀔지 궁금하신 점이 있으실텐데요.
(예를 들면, 내가 사는 곳의 재난·재해, 먹고 입는 것, 캠핑·꽃구경·등산·축제와
같은 여행이나 취미생활, 그리고 직업과 관련된 것들의 변화 등)
 
과연 지금으로부터 30년 후인, 2050년 그리고 우리의 후세들이 살아갈
2100년에는 기후변화가 우리의 생활에 미치는 영향과 관련하여
어떤 변화들이 나타날지 궁금하신 점을 자유롭게 기술해 주세요.
 
아래의 여러 예시들을 참고해 보시면서, 
앞으로 우리의 미래가 어떻게 바뀔지 상상도 해보시고, 궁금한 점도 알려주시기 바랍니다.
여러분이 주신 궁금증을 토대로,
기상청에서 기후변화 관련 정보를 제공하고자 하오니 많은 참여 부탁드립니다.
 
소중한 답변을 남겨주신 분께는 추첨을 통해 소정의 선물을 드리도록 하겠습니다.
 
◈ (예시) 2050년, 2100년에는 어떤 변화가 나타날까요? ◈
- 옛날에는 한강에서 썰매를 탈 수 있었는데 요즘은 한강이 얼지 않아서 썰매를 탈 수 없어요.
  앞으로 한강에서 썰매를 탈 수 있을까요?
- 바닷물 높이가 계속 올라가고 있다고 하는데,
  2100년이 되면 한강 근처에 있는 인천, 김포, 부천 등에서 침수범람으로 피해를 입지 않을까요?
- 앞으로 집중호우로 비가 많이 내리면 댐이나 저수지 주변에 수위가 변하는 등
  어떤 변화가 있을까요?
- 기온이 높아지면 아열대기후에서 나타나는 새로운 질병이 생기지 않을까요?
  현재 우리가 겪고 있는 질병이 나타나는 지역은 어떻게 달라질까요?
- 기후변화로 대기오염이 심해지면 천식과 아토피 등 질병이 많이 발생하지 않을까요?
- 지구온난화로 기온이 높아지면
  우리나라 산과 바다에 있는 동식물도 큰 변화를 겪을 수 있을텐데,
  2100년에 우리나라 사람들의 식탁에 올라 올 음식은 어떻게 바뀔까요?
- 기후변화로 우리의 근무환경도 변화가 있을 것 같은데,
  기온이 오르고 열스트레스를 받으면 야외 노동자가 줄고, 근무시간도 바뀌지 않을까요?
- 겨울철 레저 활동으로 스키를 자주 타러 가는데 스키 탈 수 있는 날이 얼마나 줄어들까요?
  그리고 스키 탈 수 있는 지역도 바뀔까요?
- 여름 휴가철 해수욕장 이용을 많이 하는데, 바닷물 높이가 계속 올라가면
  해수욕장이나 갯벌이 줄어들고, 바닷가 주변 관광시설에 변화가 있지 않을까요?
- 우리나라도 서핑 인구가 해마다 늘고 있는 추세인데
  우리나라에서 서핑을 즐기기에 적합한 바닷가가 늘어날까요?",2022-03-18~2022-04-01,환경>기후·기상 (주제토론>정책/제도연구),,#기후변화 #영향정보,
기후변화,제목,2022-02-17,종료,0,기상청 기후과학국 성과지표 발굴을 위한 국민 의견 수렴(2차) (기후변화감시자료 제공),2022.03.03,0,0,"안녕하십니까.
기상청 기후과학국 성과지표 발굴을 위한 국민 의견 수렴결과, 성과지표(안)에 대해 총 29명의 국민이 설문에 응해주셨으며,
설문 결과는 다음과 같습니다.
  ◆ 성과지표(안)
 * 지표명: 기후변화감시자료 대국민 실시간 제공률(%)
 * 측정방법: 당해연도 실시간 제공 건수/최종 목표 건수(30종) × 100
[질문 1] 위 지표가 기후과학국의 성과를 대표하는 지표 중 하나로서 적절하다고 생각하십니까?
  1. 그렇다: 18명(62.1%)    2. 보통이다: 9명(31%)     3. 그렇지 않다: 2명(6.9%)
[질문 2] 위 성과지표가 성과지표 명칭과 측정방법이 일치한다고 생각하십니까?
  1. 그렇다: 19명(65.5%)    2. 보통이다: 9명(31%)     3. 그렇지 않다: 1명(3.4%)
[질문 3] 매년 순차적으로 확대 제공되는 실시간 자료의 관측 요소 및 제공 시기는 적절하다고 생각하십니까?
  1. 그렇다: 17명(58.6%)    2. 보통이다: 11명(37.9%)  3. 그렇지 않다: 1명(3.4%)
[질문 4] 기후변화감시요소 중, 실시간 정보로 가장 필요한 요소는 무엇이라고 생각하십니까?(중복응답가능)
  1. 이산화탄소: 18명(42.9%)  2. 메탄: 8명(19%)  3. 자외선: 8명(19%)  4. 오존: 8명(19%) 5. 기타: 없음
[질문 5] 기후변화감시자료의 실시간 제공 확대는 향후 기후변화감시자료의 활용성 증대에 기여할 것이라고 기대하십니까?
   1. 그렇다: 24명(82.8%)    2. 보통이다: 4명(13.8%)   3. 그렇지 않다: 1명(3.4%)
[질문 6] 이 외에 기타 의견이 있으시면 자유롭게 작성 부탁드립니다.
  - 기후정보포털에서 제공되는 정보 중 주요 정보는 네이버나 다음과 같은 포털에도 같이 제공되면 좋겠음
  - 성과지표로 잘 설정되어 국민에게 도움이 되었으면 함
  - 기후변화감시자료를 실시간으로 볼수 있다면 활용도가 매우 높을 것으로 생각됨
  - 기후변화 대응에 기여할 것임
  - 성과지표로 잘 설정되어 국민에게 도움이 되었으면 좋겠음
설문결과에 대해 추가 의견이나, 더 좋은 생각이 있으시면 자유롭게 의견주시기 바랍니다.
감사합니다.
 ",2022-03-03~2022-03-11,환경>기후·기상,,#기후변화감시실시간정보,
기후변화,제목,2022-02-17,종료,32,기상청 기후과학국 성과지표 발굴을 위한 국민 의견 수렴(기후변화감시자료 제공),2022.02.17,0,1,"안녕하십니까.
기상청은 「정부업무평가 기본법」에 근거, 매년 성과관리시행계획을 수립하여 자체평가를 수행하고 있습니다.
기상청 기후과학국(기후정책과)에서는, ‘기후․기후변화 정보 확대․제공으로 기후위기 대응 정책 지원 강화’를 위해 고품질 기후관측자료의 생산‧관리를 체계화하여 기후변화감시자료의 활용성을 높이는 데에 노력하고 있습니다.
기상청은 세계기상기구(WMO)가 권고하는 기후변화감시요소 중, 온실가스, 반응가스, 에어로졸 등 총 6개 분야 37종의 요소를 관측하고 있으며,
관측된 자료는 품질관리를 거쳐 공표하며, 이 자료는 국가 기후위기대응 관련 정책수립 및 기후변화 연구 등에 활용되고 있습니다.
분야 온실가스 반응가스 에어로졸 성층권오존/
자외선 대기복사 총대기침적
요소 이산화탄소, 메탄, 아산화질소 등 일산화탄소, 지표오존, 아산화황, 질소산화물 등 PM10, 크기별수농도, 응결핵수농도 등 성층권오존전량, 자외선 A/B 등 직달일사, 산란일사, 지구 상/하향 복사 등 산성도, 전기전도도 등
현재까지는 그해 관측된 자료는 실시간이 아니라 다음해 6월이 되어야 확인·제공이 가능했으나, 이러한 자료를 시의적절하게 국민들이 활용하고
기후위기에 발빠르게 대응할 수 있도록 기후정보포털(www.climate.go.kr)에 실시간으로 제공하는 것을 매년 확대 추진하고자 하며, 이를 성과지표와 연계·발굴하기 위하여 대국민 의견을 수렴하고자 합니다. 
지표에 대한 설문에 많은 참여와 의견 부탁드립니다.  (참여기간 : 2.18.(금)~2.25.(금) / 8일간)
==============================================================================================
◆ 성과지표(안)
 * 지표명: 기후변화감시자료 대국민 실시간 제공률(%)
 * 측정방법: 기후변화감시자료 대국민 실시간 제공률(%) = 당해연도 실시간 제공 건수/최종 목표 건수(30종) × 100
 * 연도별 기후변화감시자료 대국민 실시간 제공 목표
구분 '21년
(실적) '22년 '23년 '24년 '25년 '26년
제공
자료 이산화탄소 메탄,
이산화황,
자외선,
지표오존,
PM10,
응결핵수농도 크기별수농도, 직달일사,
태양상향,
태양하향,
산란일사,
일산화탄소,
아산화질소 미세입자크기별수농도,
광산란계수,
광흡수계수,
총대기침적 3종
(산성도, 전기전도도, 강수이온성분),
질소산화물 에어로졸광학깊이,
지구상향,
지구하향,
순복사
성층권오존(오존전량) 육불화황,
염화불화탄소-11
염화불화탄소-12
염화불화탄소-113
목표치 1종 6종(누적 7종) 7종(누적 14종) 7종(누적 21종) 5종(누적 26종) 4종(누적 30종)
23.3% 46.7% 70% 86.7% 100%
 ",2022-02-18~2022-02-25,환경>기후·기상,서울특별시,#기후변화감시 #관측자료 #실시간,기후환경 관측 모니터링 조사 확대 필요합니다
기후변화,제목,2022-02-14,종료,1,문화재 분야 기후변화 대응 종합계획 수립 연구에 대한 국민 의견 수렴,2022.02.14,0,1,"문화재청에서는 '문화재 분야 기후변화 대응 종합계획 수립 연구'를 수행하고 있습니다.
본 연구는 아래 내용을 포함하여 진행되며, 향후 지속가능한 문화재 보존 관리를 위한 대응 종합계획 수립을 하고자 추진하는 연구입니다.
1. 문화재 분야 기후변화의 대응 현황 분석
  ㅇ 전 지구적 및 우리나라 기후변화 현황과 전망
  ㅇ 문화재 분야 기후변화 영향 분석
    - 문화재 분야와 기후변화의 정책 환경, 상관관계 규명
    - 문화재 유형·재질별(유형, 건조물, 석조, 자연(동·식물, 지질) 등) 기후변화 요인과 영향 분석(피해현황 포함)
    - 지역별 기후변화 현황 및 문화재 분포 특성
  ㅇ 그간 문화재청 기후변화 대응 관련 업무(연구, 자체과제, 사업), 조직, 예산 현황 분석
2. 국내·외 사례분석 및 시사점 도출
  ㅇ 기후변화 대응 국내·외 동향 및 사례 분석(적용가능 시사점 도출)
    - 국내 기후변화 정부종합대책 및 부처별 대응 정책 사례분석
      · 부처별 계획, 부처 역량(업무, 조직, 예산 등) 및 관련 법률 현황 등
    - 국제사회 기후변화 대응정책 및 사례 분석
      · 국제기구 및 주요국가 문화재 관련 기후변화 대응 사례 등
3. 문화재 분야 기후변화 대응 종합계획(안) 수립
   ㅇ 문화재 분야 기후변화 대응 정책 목표 및 추진 전략 도출
   ㅇ 문화재 유형별 세부 대응(적응 및 완화) 계획
     - 문화재 유형별 적응 전략 및 계획
     - 문화재 유형별 완화 전략 및 계획
   ㅇ 문화재 분야 기후변화 대응 기반 및 체계 구축
     - 연구개발(고유연구 및 출연 연구) 과제 개발
     - 기후변화 대응 전문 인력양성 계획
     - 기후변화 대응을 위한 법적 기반 및 재원 확보 계획
     - 기후변화 대응 역량 강화 및 관리체계
   ㅇ 문화재 분야 기후변화 대응을 위한 협력 강화
     - 국가와 지방자치단체의 협력
     - 국제기구 및 국제사회와의 협력
     - 전문가, 유관기관, 민간과의 협력
   ㅇ 문화재 분야 기후변화 대응을 위한 교육·홍보에 관한 사항
   ㅇ 계획 수립을 위한 로드맵(5개년) 제시
   ㅇ 그 밖에 문화재 분야 기후변화 대응에 관한 사항 등
위 연구와 관련하여 국민 여러분의 다양한 의견 및 추가로 반영할 내용 등에 대한 소중한 의견 부탁드립니다.
감사합니다.",2022-02-14~2022-02-28,문화·체육·관광>문화재 (주제토론>정책/제도연구),,#문화재 #기후변화 #적응 #완화,우리나라가 아열대 기후가 되니까 문화재를 습기에서 보호 하는 방법에 대해서 연구해야 하지 않을까요
기후변화,제목,2022-01-28,종료,607,"[설문조사] 기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?",2022.01.28,27,39,"기후변화로 인한 영향이 먼미래, 먼나라의 이야기가 아닌
우리나라, 우리 일상생활에서 느낄 수 있게 되었습니다.
 
특히, 사계절이 뚜렷한 우리나라의 계절길이에 변화가 생겼는데요.
지난 109년간 관측자료로 분석한 결과, 여름은 길어지고 겨울은 짧아지고 있습니다.
미래에도 이러한 경향은 계속되어, 현재 추세대로 온실가스를 배출한다면,
21세기 후반에는 1년의 거의 절반이 여름이 되고, 겨울은 두 달 정도 될 것이라고 전망됩니다.
 
이 외에도, 기상청에서는 앞으로 폭염이나 열대야, 한파나 집중호우와 같은
우리가 생활하기 힘든 극한기후현상들이 얼마나 자주, 더욱 강하게 나타날지에 관한 정보도
기후정보포털(www.climate.go.kr)을 통해 제공하고 있습니다.
 
조금 더 나아가, 여러분이 앞으로 기후변화로 인해 어떤 현상들이 나타날지,
우리의 일상생활이 어떻게 바뀔지 궁금하신 점이 있으실텐데요.
(예를 들면, 내가 사는 곳의 재난·재해, 먹고 입는 것, 캠핑·꽃구경·등산·축제와
같은 여행이나 취미생활, 그리고 직업과 관련된 것들의 변화 등)
 
과연 지금으로부터 30년 후인, 2050년 그리고 우리의 후세들이 살아갈
2100년에는 기후변화가 우리의 생활에 미치는 영향과 관련하여
어떤 변화들이 나타날지 궁금하신 점을 자유롭게 기술해 주세요.
 
아래의 여러 예시들을 참고해 보시면서, 
앞으로 우리의 미래가 어떻게 바뀔지 상상도 해보시고, 궁금한 점도 알려주시기 바랍니다.
여러분이 주신 궁금증을 토대로,
기상청에서 기후변화 관련 정보를 제공하고자 하오니 많은 참여 부탁드립니다.
 
소중한 답변을 남겨주신 분께는 추첨을 통해 소정의 선물을 드리도록 하겠습니다.
 
◈ (예시) 2050년, 2100년에는 어떤 변화가 나타날까요? ◈
- 옛날에는 한강에서 썰매를 탈 수 있었는데 요즘은 한강이 얼지 않아서 썰매를 탈 수 없어요.
  앞으로 한강에서 썰매를 탈 수 있을까요?
- 바닷물 높이가 계속 올라가고 있다고 하는데,
  2100년이 되면 한강 근처에 있는 인천, 김포, 부천 등에서 침수범람으로 피해를 입지 않을까요?
- 앞으로 집중호우로 비가 많이 내리면 댐이나 저수지 주변에 수위가 변하는 등
  어떤 변화가 있을까요?
- 기온이 높아지면 아열대기후에서 나타나는 새로운 질병이 생기지 않을까요?
  현재 우리가 겪고 있는 질병이 나타나는 지역은 어떻게 달라질까요?
- 기후변화로 대기오염이 심해지면 천식과 아토피 등 질병이 많이 발생하지 않을까요?
- 지구온난화로 기온이 높아지면
  우리나라 산과 바다에 있는 동식물도 큰 변화를 겪을 수 있을텐데,
  2100년에 우리나라 사람들의 식탁에 올라 올 음식은 어떻게 바뀔까요?
- 기후변화로 우리의 근무환경도 변화가 있을 것 같은데,
  기온이 오르고 열스트레스를 받으면 야외 노동자가 줄고, 근무시간도 바뀌지 않을까요?
- 겨울철 레저 활동으로 스키를 자주 타러 가는데 스키 탈 수 있는 날이 얼마나 줄어들까요?
  그리고 스키 탈 수 있는 지역도 바뀔까요?
- 여름 휴가철 해수욕장 이용을 많이 하는데, 바닷물 높이가 계속 올라가면
  해수욕장이나 갯벌이 줄어들고, 바닷가 주변 관광시설에 변화가 있지 않을까요?
- 우리나라도 서핑 인구가 해마다 늘고 있는 추세인데
  우리나라에서 서핑을 즐기기에 적합한 바닷가가 늘어날까요?",2022-01-28~2022-02-13,환경>기후·기상,,#기상청기후변화영향정보,
기후변화,제목,2021-11-26,종료,6,전세계적인 기후변화와 우리나라 기후를 고려해서 산불대응을 위한 최적의 산불진화헬기 도입을 위한 의견을 제시해주세요,2021.11.26,1,1,"우리 산림항공본부는 헬기를 이용해 산불을 진화하는 국내 유일의 기관입니다.
산림항공본부에서 보유하고 있는 헬기는 5개 기종 총 47대 입니다.
대한민국 산림을 산불재난으로 부터 지키는 우리 산림항공본부의 헬기들의 역활이 점점 중요해지고 있습니다.
전세계적으로 기후변화 문제로 대형재난들을 많이 겪고 있습니다. 또한 우리나라 기후의 특성상 영동지역은 양간지풍에의한 대기가 건조해지고 강풍으로 인한 대형산불이 많이 발생했습니다.
이러한 대형재난들 중 특히 산불재난을 막을 수 있는 최적의 산불진화헬기 도입을 위해 다양한 의견을 수렴하려고 합니다.
다양한 의견을 제시하여 주시면 감사하겠습니다.",2021-11-26~2021-12-10,농림·해양·산림>산림·산촌 (국민참여단>생각멘토단),강원도>원주시,##산림항공본부 ##산불진화헬기 ##산불 ##헬기,"안녕하세요 산불진화에 불철주야 고생하시는 산림항공본부 직원여러분의 수고에 감사드립니다. 지형의 특성상 양간지풍지역의 강풍으로 강원도를 비롯한 동해안 일대에 대형산불이 발생되고 있습니다. 산불이 최소화 되도록 국민모두가 산불예방, 조심에 관심을 가져야 할때입니다. 감사합니다."
기후변화,제목,2021-08-18,종료,6,농식품 기후변화대응센터 준비된 해남품으로 유치를 희망하다,2021.08.18,3,5,"농식품 기후변화대응센터 준비된 해남품으로 유치를 희망합니다.
기후와 밀접한 농업분야의 기후변화 대응 컨트롤타워 기능 강화를 위해 농식품 기후변화대응센터가 해남군에 조성되어야 하는 이유 등 군민의 다양한 의견을 수렴하고자 합니다.",2021-08-18~2021-08-19,농림·해양·산림>농업·농촌,전라남도>해남군,#해남군,
