검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
원자력,제목,2022-03-29,종료,1,한국원자력환경공단 시민참여혁신단 모집,2022.03.29,0,1,"한국원자력환경공단에서는 '국민 삶의 질 제고'를 목표로 국민과 함께 혁신을 추진하기 위해
시민참여혁신단을 운영합니다. 관심있는 국민 여러분의 많은 참여 부탁드립니다.
▶ 모집기간: 3월 28일(월) ~ 4월 8일(금)
▶ 신청방법: 시민참여혁신단 신청서 작성 후 공단 담당자 이메일(wisdom@korad.or.kr)  제출
▶ 문의처: 한국원자력환경공단 디지털혁신팀(054-750-4062)
▶ 기타사항: 하단 공고문 참조",2022-03-29~2022-04-08,환경>폐기물,,#혁신 #혁신경영 #디지털전환 #4차산업혁명 #시민참여,"계획 수립과 과제발굴, 개선사항도출 그리고 아이디어 제안, 모니터링 및 성과평가...   ※사회를 변화시키고자 마음있는 사람들을 모아 변화하지아니할 수 있는 시민참여혁신단일까요??  옛날 부터 국민생각함에 댓글 달았던 글귀가 있는데요. ""해당 사안에 대해 의견을 어필하면 변할 수있겠느냐""라는 의미로 댓글을 달았는데요.  귀하는 변화할 자신이 있으십니까??. 매일같이 토론을 해도 변하지 않을 사람은 변하지 않더군요."
원자력,제목,2021-06-10,종료,307,원자력안전위원회의 민원제도 관련 개선·보완이 필요한 사항을 국민 여러분께서 선정해 주세요!,2021.06.10,16,30,"원자력안전위원회에서는 여러분의 의견을 수렴하여 민원서비스 및 민원제도를
개선하고자 합니다.
원자력안전위원회 소관 민원뿐만 아니라 평소 타 부처에 제기하는
일반적인 민원사항과 관련하여  불편한 점이나 개선되어야 할 점이 있다면
관련 의견을  댓글로 남겨 주시고 아래 설문에 참여해 주시기 바랍니다.
모아진 국민 의견은 민원 관련 정책의 수립·반영, 민원제도 개선 등에 적극
활용토록 하겠습니다.
국민 여러분의 소중한 관심과 많은 참여 부탁드립니다.
○ (설문기간) '21. 6. 11.(금)~7. 2.(금) / 3주간
○ (경품이벤트) 우수의견으로 선정된 5명에 대하여 커피교환권(1만원) 지급
   ※ 경품지급을 위해 개인정보(이름, 연락처, 이메일 등)을 수집하고 있습니다.
       수집한 개인정보는 목적 외에는 사용하지 않습니다.
 ",2021-06-10~2021-07-02,일반공공행정>일반행정,,#원자력안전위원회 #원안위 #민원제도 #경품이벤트,"#잦은 민원 사항은 적극적 sns 홍보 등으로 향후 또다시 민원이 제기되는 것을 방지하면 좋겠습니다 #민원=기관에 대한 불만 제기로만 되면 기관에 대한 부정적 이미지 고착과 직원들의 사기 저하가 우려됩니다. 적극행정 등에서 우수직원 칭찬이나 적극행정을 칭찬하는 메뉴도 있으면 기관 이미지 제고와 직원 사기 증진에도 좋을 거라 생각합니다 #민원 서식을 통일감있게 규격화하는 것은 어떨지요
1. 제가 원자력안전위 홈페이지에서(모바일) 시험삼아 살펴봤는데 민원참여ㅡ>민원신청 에서 국민신문고 문의라고 빨간색 글씨로 된 1600ㅡ8172 밑에 남색으로 된 민원참여버튼을 눌러뵜습니다. 개인정 수집 및 이용안내 이후로 진행이 안됩니다. 일시적 오류인지 원래 그런 건지 확인해보시면 좋겠습니다. 2. 메뉴가 너무 믾아서 한눈에 안들어옵니다. 일반인 입장에서 부패신고와 청탁금지법 신고가 무슨 차이인지 모르겠고, 정책참여와 국민제안도 무슨 차이인지 잘 모를 것 같습니다. 통합하거나 상위/하위클래스를 정하면 메뉴간소화가 되지 않을까요? 부패신고로 들어가면 거기서 부패유형별로 나뉠때 청탁금지법 위반이 나타나는 식으로요
그간의 민원데이터를 잘 분석하여 FAQ서비스 내용을 좀더 세분화하고 상세하게 다루어 주신다면 민원제기 없이 해소될 수 있는 부분도 상당하리라 봅니다. 아울러 제기된 민원에 대해 보다 구체적이고 상세한 설명을 제공해 준다면 추가로 민원 제기하게 되는 불편함도 사라질 듯 합니다.
안전에 대해서 '투명성'을 확고히 해주시길 바랍니다. 원자력발전소는 손상되었을 경우 시민의 안전과 재산에 막대한 영향을 끼칩니다. 그만큼 안전에 대해서 명확한 '투명성'이 반드시 필요하다고 생각합니다.
원자력안전의 투명성을 확보하기 위해, 공청회를 바탕으로 한 원자력 안전의식을 제고해야 해요.
원자력안전위원회의 민원응대와 관련하여 반복적이고 획일적인 답변보다는 요점에 정확히 초점을 맞춘 답변이 제공되었으면 합니다. 또한 민원제기 전 확인할 수 있는 FAQ 관련 내용을 더욱 확대해서 질의 전에 궁금증 및 불편함이 해소되는 비율을 높여야 한다고도 생각합니다. 이점의 경우에는 FAQ 항목 다각화 후, 여러 SNS 플랫폼을 활용하여 업데이트 된 내용을 게시하면, 그 홍보효과가 더욱 클 것이라고 생각합니다.
원자력안전위원회는 SNS로 활발하게 소통하고 있는 기관으로 알고 있어요. 이러한 SNS소통장점을 민원처리에도 잘 활용해보면 좋겠습니다. 원안위 민원전용밴드나 카페 또는 민원전용 카톡 창구를 개설해서 생활 속 불편사례들을 간편하게 신고하고 위원회 민원 해당 담당자는 처리상황 및 결과를 즉시 회신하고 그 과정을 모바일로 수시로 확일할 수 있다면 투명하고 신속하며 민원인의 불편도 크게 해소되지 않을까 싶습니다. 그동안 민원처리과정에서 답변이 없어 불편하거나 유선상 답변이 부족했던 부분도 해소되구요. 민원사례 중 법률부분이나 쉽게 답변이 어려운부분도 그 해결과정이나 상황을 국민들이 납득할 수 있도록 국민신문고를 통해 게시하고 전용 SNS민원인에게 곧바로 열람할 수 있고 확인할 수 있도록 책임있는 ONE-STOP민원처리 시스템이 갖추어지면 좋겠습니다. 원자력안전이 국민의 생명과 안전을 다루는 만큼 민감할 수 있는 민원처리에 투명성과 신속성 그리고 책임있는 답변이 중요하리라고 봅니다.
민원) 단순한 질의 민원이 아닌 정책 관련 문의를 할 경우 그 답변이 매우 늦은 것을 확인할 수 있었고, 민원 처리 기한 연장을 하겠다는 안내도 없이 그냥 진행되는 경우가 많았었습니다. 최소한 민원 처리기한내 끝내기 힘들면 처리기한 연장 통보를 해주셔야 할 것이며, 답변도 충실히 해주시면 좋을 것 같습니다. 나아가 민원에 대해 전화로만 답변하고 그냥 유선상 답변하셨다고 하는 경우도 있는데, 이 경우도 국민신문고 등을 통해 답변을 충실히 하는 것을 원칙으로 하면 좋을 것 같습니다. 국민제안) 원자력안전위원회에 국민제안을 예전에 몇 번 넣어봤는데 답변이 법정 처리기한을 넘기고 1달 넘겨서 간단하게 온적이 한 두 번이 아닙니다. 이 또한 국민신문고를 통한 것이므로 민원의 일부인데 답변이 늦은 것과 간단한 답변을 하기 보다는 고객에 맞춘 충실한 답변을 해주시면 좋을 것 같습니다.
중요한 시설 및 추진사항에 대하여는 CCTV 등 실시간 방영을 통해 공정성을 확보할 수 있는 방안이 있었으면 좋겠습니다.
(온라인) 각종 sns(트위터, 페이스북, 유투브)를 통해 원자력 발전 관련 정보 제공, 인포그랙픽, 뉴스레터, 카드뉴스 등 다양한 방식을 통해 접점 확보 (오프라인) 민원접수 대면, 비대면 창구 다원화와 국민 소통강화를 위해 찾아가는 서비스 제공 (수요기관) 그동안의 문제점을 정밀 분석하여 개선 보완사항 마련 및 타기관 벤치마킹을 통해 불필요한 절차는 제거하고 국민입장에서 생각하는 체계 마련
원자력발전에 대해 국민들이 궁금해하고 불안해 하는 사항을 홈페이지, 뉴스레터, 카드뉴스 등 다양한 방식으로 전달하였으면 좋겠습니다.
민원접수 창구의 다원화가 필요한 것 같습니다. 다양한 경로를 통해 민원을 접수할 수 있고, 그만큼 더 신속하게 문제점이 해결되었으면 합니다.
원자력안전위원회의 민원제도 관련 개선·보완이 이루어져 국민과의 소통이 더욱 투명해졌으면 좋겠습니다 코로나 시대에 더더욱 발전하는 원안위가 되었으면 합니다 항상 화이팅입니다
민간에 투명하게 공개할 데이터와 그렇지 않아야 할 기밀 데이터 (국가 보안을 위해서) 구분을 명확하게 해서, 공개해야 할 데이터는 과감하게 공개하는 것이 좋겠습니다.
민원을 최소화시키려면 정보에 대해 투명하고 정확하게 공개되어야 한다고 생각해요. 그리고 문제가 발생했을 때, 전후상황을 빠르게 파악하여 국민들에게 빠르게 제공해주면 좋겠습니다.
민원에 대한 답변중 가끔 전화로 답변을 하시는 경우가 있으시던데 민원인도 직장인이라 전화 답변 받기가 힘든 상황이 많습니다 전화 답변은 지양해 주시면 좋겠습니다
원안위에서 조사한 데이터 요청한적이 있었는데, 담당자께서 외부에 공개는 하지 말아 달라고 한 경험이 있습니다 민간에 투명한 데이터 공개 부탁 드립니다~
투명한공개는 개선방안이아니라 국민의안전과 직결된만큼 당연한일이라 생각합니다. 민원의 개선방안은 똑같은 답변을 복사하여 붙이는답변이아닌 문제의제기함을 국민의 눈높이의 맞추어 자세한 설명의답변이 필요하다 생각합니다.또한 미세한사고들을 관리주의해주시길바랍니다.원자력방출사건도 사과가아닌 예방과 관리를 주의해주십시오.
국민의 안전을 위해 원자력 안전위원회가 노력해주시는 부분에 우선 감사드립니다. 생활방사선안전관리법에서 규정하고 있는 여러가지 내용이 있는데 일부 현실적이지 않고 형식적이고 불필요한 행정철차가 다수 있어 제도 전반에 대한 개선이 필요합니다. 특히 일부 화합물의 경우 화학물질관리법 등으로 충분히 관리되고 있으므로 정부 행정부처간 협의를 통해 제도 보완이 필요합니다. 서류작성 신고 등에 소요되는 시간과 노력을 간소화하면 현장의 실질적인 안전관리 쪽으로 더 많은 시간과 노력을 기울수 있다는 측면을 고려해주시기 바랍니다. 감사드립니다.
라돈침대 민원처리의 국민고통처리안을 빠른시일안에 요청드립니다
대전의 모 원자력 기관에 시험 의뢰한적 있는데 담당자님께서 매우 친절하셨던 기억이 있습니다!!
아무래도 원자력이라 하면 안전성에 대한 부분이 가장 크겠죠~ 국민들이 신뢰할 만한 수준의 투명한 자료라면 좋겠네요
원자력 안전과 관련된 모든 정보와 데이터를 민간에게 공개해서 같이 검증한다면 국민들의 신뢰가 더 높아질 것 같네요
안전한 원자력을 위해 노력하심에 감사합니다
원자력 안전위원회의 건강한 활동을 기대합니다 !
원자력안전위원회의 민원제도 관련 개선·보완이 필요한 사항을 국민 여러분께서 선정해 주세요!설문완료했습니다.
원자력안전위원회 활동을 응원합니다.
논밭의 태양광 발전시설 때문에 죽겠습니다...
원자력안전위원회 민원제도를 국민들이 쉽고 빠르게 제기 할 수 있도록 앱을 개발해주시고 빠른 답변을 해주세요.
우리나라에 원자력의 중요성과 안전성에 대해 많은 홍보를 부탁드립니다."
원자력,제목,2021-05-21,종료,36,한국수력원자력 농어촌 경제활성화 국민 아이디어 공모,2021.05.21,3,1,,2021-05-21~2021-06-20,경제·산업·통상>기타,,#한수원 #농촌 #어촌 #경제 #일자리 #소득증대 #한국수력원자력 #공모전 #발전소 #원자력 #수력 #양수 #고리원전 #새울원전 #월성원전 #한빛원전 #한울원전 #화천수력 #춘천수력 #의암수력 #청평수력 #팔당수력 #괴산수력 #보성강수력 #양양양수 #산청양수 #삼랑진양수 #청송양수 #무주양수 #청평양수 #예천양수,농촌의 일자리 창출을 위해 농촌에도 살기 좋고 여러 여가 활동을 잘 할 수 있는 시설들이 많아야 합니다.
원자력,제목,2021-03-23,종료,52,2021 한국수력원자력 경영혁신 국민 아이디어 공모전,2021.03.23,5,0,"한국수력원자력(주)에서는 국민과 함께하는 경영혁신 달성을 위해 국민 아이디어 공모전을 시행합니다.
우리회사 '경영혁신'에 관심있는 국민은 누구나 참여가 가능하오니, 많은 관심과 참여부탁드립니다.
1. 공모대상: 전 국민 누구나(한국수력원자력 직원 제외)
2. 공모분야
 ① 혁신
   -  한수원이 혁신하기 위한 모든 것
 ② 협업
   - 기관 또는 민간 협업을 통한 정부혁신을 위한 모든 것
 ③ 시민참여
   - 시민의 주도적 참여와 의견 반영이 필요한 과제와 기대효과
   - 획기적인 국민참여 확대를 통한 사회문제 해결
3. 응모방법: 국민생각함 홈페이지에서 '아이디어 제안서(붙임1 참조)' 제출
    ※ 댓글작성은 참여로 인정되지 않으니 반드시 '참여하기'를 통해 제안서(pdf 양식) 제출 필요.
4. 시상내역: 대상(1건) 300만원 , 우수상(2건) 200만원, 장려상(4건) 50만원
    ※ 결과발표 : 2021.07.30.(금), 한국수력원자력(주) 홈페이지
5. 문의사항은 한국수력원자력(주) 기획처 국정과제추진부(054-704-4135, 4131)로 문의 바랍니다.
감사합니다. ",2021-03-24~2021-04-20,일반공공행정>기타,,#경영혁신 #혁신 #혁신성장 #한국수력원자력 #한수원 #2021공모 #공모전 #공기업 #공공기관,
원자력,제목,2020-11-20,종료,0,후쿠시마 원자력 발전소의 냉각수 대체 수단,2020.11.20,0,0,"체르노빌 원자력 발전소는 4월 26일에 폭발사고가 발생하였습니다. 이후 폭발사고를 연료봉과 원자력건물의 파손되어서 헬리콥터를 동원하여서 붕소와 납 그리고 진흙과 흙으로 쏟아부어서 6개월 만에 즉 11월에 콘크리트 벽으로 마감을 하여 원자력 발전소를 안전하게 폐기하였습니다.
그렇다면 후쿠시마 원자력 발전소의 연료봉을 두르고 있는 냉각재인 물을 더이상 공급하지 않고 흙과 진흙과 붕소와 납을 헬리콥터를 이용해서 쏟아부으면 화재를 막을 수 있었던 흙과 진흙인데  석영질 입자(용융점1,100도)와 장석질 입자(용융점1,700도)가 용융되면 덩어리가 되면 암석이 녹아서 마그마가 된 후 냉각되어 화성암이 된다면 아무래도 핵연료봉의 2000도에서 3000도의 온도를 견디지 못하고 녹을 것이다. 그러나 대기중으로 계속해서 수천톤의 흙과 진흙을 뿌리면 녹아서 마그마가 되고 나서 다시 냉각될 것이다. 그때 콘크리트벽으로 마감하면 참 좋을 것 같습니다.
네이버 지식in 조박사님의 답변글을 인용한 부분도 있습니다.
석영질 입자(용융점1,100도)와 장석질 입자(용융점1,700도)가 용융되어 덩어리가 되면 암석이 녹아서 마그마가 된 후 냉각되어 화성암이 되는 것과 같다.
감사합니다.",2020-11-20~2021-01-19,통신·과학>원자력기술,충청남도>서천군,,
원자력,제목,2020-11-02,종료,183,2020년 한국수력원자력(주)이 함께하는 인권단편시 공모전,2020.11.02,4,1,"KHNP 인권주간을 맞이하여 일상생활 속 인권에 대한 생각을 공감하고 이해하는 시간을 갖기 위해 한수원에서는
국민과 함께하는 2020년 인권단편시 공모전을 시행합니다.
일상생활 속 '인권'에 관심있는 국민은 누구나 참여가 가능하오니, 많은 관심과 참여부탁드립니다.
1. 공모대상: 대한민국 국민 누구나
2. 공모주제: ① 학교  ② 취업  ③ 직장  ④ 가정 에서의 인권
3. 응모방법(아래 2가지 방법 중 택 1)
    가. 국민생각함 홈페이지에서 '공모양식(붙임1 참조)' 제출
         ※ 댓글작성은 참여로 인정되지 않으니 반드시 '참여하기'를 통해 제안서(pdf 양식) 제출 필요
    나. 이메일 접수(수신: mgyang0226@khnp.co.kr) '공모양식(붙임1 참조)' 제출 
4. 출품규격/출품수: 최대 50자 이내 / 공모주제별 1인 1작, 최대 2작까지 가능  
5. 시상내역: 최우수상(1건) 50만원 , 우수상(2건) 30만원, 장려상(5건) 10만원
    ※ 결과발표 : 2020.11.23.(월), 한국수력원자력(주) 홈페이지
6. 문의사항은 한국수력원자력(주) 기획처 혁신성장부(054-704-4132, 4135)로 문의 바랍니다.
감사합니다. ",2020-11-02~2020-11-12,일반공공행정>국민권익·인권,,#한수원 #공모 #공모전 #인권 #단편시 #단편시공모 #인권단편시 #학교 #직장 #취업 #가정 #한국수력원자력,2020년 한국수력원자력(주)이 함께하는 인권단편시 공모전 매우 좋은 취지입니다.
원자력,제목,2020-06-10,종료,17,한국원자력환경공단 혁신&사회적 가치 대국민 아이디어 공모,2020.06.10,3,0,"한국원자력환경공단에서는 국민 여러분의 아이디어를 수렴하여 공단 혁신에 적극 반영하고 국민이 체감하고 공감할 수 있는 실질적인 사회적 가치 성과 창출을 위해 대국민 혁신&사회적 가치 아이디어 공모전을 시행합니다.
한국원자력환경공단의 혁신에 관심있는 국민은 누구나 참여가 가능하오니, 많은 관심과 참여부탁드립니다.
공모와 관련된 자세한 내용은 한국원자력환경공단 대국민 아이디어 공모전 안내문(붙임자료)를 참고하시기 바라며, 기타 문의 사항이 있으시면 사회적가치전략실실(054-750-4057)으로 문의주시기 바랍니다.
감사합니다.
♦ 유의사항
  - 제출된 제안서 및 관련서류는 반환하지 않음
  - 표절 등 부정한 방법에 의한 수상일 경우 수상을 취소하고 상금 환수 조치
  - 동일인이 복수 응모한 경우, 심사결과 최상위 1건만 수상
  - 동인한 내용의 제안이 접수될 경우 먼저 접수한 제안만 심사
  - 포상에 대한 제세공과금은 수상자 부담
  - 제안 제외 대상
    1. 다른 사람이 취득한 특허권, 실용신안권, 디자인권 또는 저작권에 속하는 것
    2. 공단에서 이미 채택했던 제안과 내용이 동일한 것
    3. 공단에서 이미 시행 중인 사항이거나 기본 구상이 이와 유사한 것
    4. 일반 통념상 적용하기 어렵다고 판단 되는 것
    5. 단순한 주의환기, 진정, 비판 또는 건의이거나 불만의 표시에 불과한 것
    6. 특정 개인, 단체, 기업 등의 수익사업과 그 홍보에 관한 것",2020-06-10~2020-06-26,경제·산업·통상>에너지및자원개발,,#혁신 #사회적가치 #원자력 #방사성폐기물 #사용후핵연료 #한국원자력환경공단 #환경 #안전,
원자력,제목,2020-05-18,종료,59,2020 한국수력원자력 경영혁신 국민 아이디어 공모전,2020.05.18,13,5,"한국수력원자력(주)에서는 국민과 함께하는 경영혁신 달성을 위해 국민 아이디어 공모전을 시행합니다.
우리회사 '경영혁신'에 관심있는 국민은 누구나 참여가 가능하오니, 많은 관심과 참여부탁드립니다.
1. 공모대상: 전 국민 누구나(한국수력원자력 직원 제외)
2. 공모분야
 ① 규제개혁 및 혁신 
   - 조달계약 등 불합리한 법령 내 규정·관행 개선 방안
   - 정부 공정경제 정책 확산을 위한 제도개선 아이디어 등 
 ② 업무혁신 아이디어
   - 행정절차상 관행적·불필요·중복 업무 프로세스 개선방안
   - 국민이 체감할 수 있는 적극행정 추진 방안
   - 디지털 기반 ICT 기술·프로세스를 활용한 업무 서비스 개선사항 등
 ③ 사회적 가치 실현 및 혁신성장 
   - 안전·환경·사회적 가치, 4차 산업 및 혁신성장 지원과 관련된 제안
   - 지역사회 연계형 일자리 창출 및 지역경제 활성화 아이디어 등
 ④ 동반성장 및 R&D 제도개선
   - R&D, Test-Bed 등 국산화 개발 및 지원제도 개선 방안
   - 중소기업 등 동반성장 지원제도 개선 및 성과창출 방안 등
3. 응모방법: 국민생각함 홈페이지에서 '아이디어 제안서(붙임1 참조)' 제출
    ※ 댓글작성은 참여로 인정되지 않으니 반드시 '참여하기'를 통해 제안서(pdf 양식) 제출 필요.
4. 시상내역: 대상(1건) 300만원 , 우수상(2건) 200만원, 장려상(4건) 50만원
    ※ 결과발표 : 2020.07.31.(금), 한국수력원자력(주) 홈페이지
5. 문의사항은 한국수력원자력(주) 기획처 혁신성장부(054-704-4135, 4131)로 문의 바랍니다.
감사합니다. ",2020-05-18~2020-06-05,일반공공행정>기타,,#혁신 #한국수력원자력 #공모전 #공모 #혁신성장 #한수원 #아이디어 #경영혁신,"좋은 아이디어가 많이 접수되길 기원합니다. 공모 아이디어에 대한 온라인 심사도 국민생각함을 통해 진행해주시면 좋겠습니다.
공모신청 했습니다. 좋은 결과를 기대해 봅니다. ㅎㅎ
2020 한국수력원자력 경영혁신 아이디어 공모전......................
상금이 크네요~~~^^ 참신한 아이디어를 많이 가진 대학생 등 청년층에게도 홍보가 많이되면 좋겠습니다~~!!
2020 한국수력원자력 경영혁신 국민 아이디어 공모전 매우 좋은 취지의 발상입니다."
원자력,제목,2020-04-14,종료,1,한국원자력환경공단 제2기 시민참여혁신단 모집 안내,2020.04.14,1,1," 한국원자력환경공단에서는 국민의 의견을 수렴하여, 국민이 직접 참여하는 혁신을 추진하기 위해 KORAD 제2기 시민참여혁신단을 모집합니다.
 관심있는 국민 여러분의 많은 참여 부탁드립니다.
 ► 모집기간 : 4.14(화) ~ 4.28(화)
 ► 신청방법 : 시민참여혁신단 신청서 작성 후  공단 담당자 이메일(rkdeoqha@korad.or.kr)제출
    * 국민생각함으로 참여시 시민참여혁신단 신청서를 작성하여 제출하여야 하며 단순 댓글작성은 인정되지 않음
 ► 문의처 : 한국원자력환경공단 사회적가치전략실(054-750-4057)
    
 ",2020-04-14~2020-05-06,일반공공행정>일반행정,경상북도>경주시,##시민참여혁신단 ##참여 ##한국원자력환경공단 ##원자력,한국원자력환경공단 제2기 시민참여혁신단 모집 안내 매우 좋은 발상의 취지입니다.
원자력,제목,2020-02-10,종료,5,원자력 일자리 창출 아이디어 공모전,2020.02.10,5,5," 한국수력원자력, 한국전력기술, 한국원자력환경공단, 경북창조경제혁신센터가 원자력 산업계에 새로운 활력을 불어넣고,
일자리 창출에 대한 국민적 공감대를 확산시키기 위해 아래와 같이 「원자력 일자리 창출 아이디어 공모전」을 개최합니다.
여러분들의 많은 관심과 참여를 부탁드립니다.
                       
1. 접수 기간: 2020. 2. 10. ~ 2. 25. 18:00(e-mail 접수시간 기준)
2. 공모 주제
  ① 원자력 일자리 창출 평가 및 개선 아이디어
  ② OIP 사업추진 슬로건
3. 공모 자격: 대한민국 국민이면 누구나
4. 응모방법: 참가신청서 등 작성 후 이메일 제출(접수처 : no4951@ccei.kr)
   * '댓글 작성'은 응모로 인정되지 않음
  ** 참가신청서 및 개인정보 수집ㆍ이용ㆍ제공동의서 작성(서명 포함) 후 PDF로 변환하여 제출
5. 결과 발표: 3월 중
6. 시상 내용
  ○ 원자력 일자리 창출 평가 및 개선 아이디어: 최우수 100만원, 우수 50만원, 장려 30만원, 참여상 1만원
  ○ OIP 사업추진 슬로건: 최우수 50만원, 우수 20만원, 참여상 1만원
7. 문의
  ○ 접수 관련: 경북창조경제혁신센터 허브운영팀 담당자 (054-470-2624/2626)
  ○ 공모 주제: 한국수력원자력 상생협력처 담당자 (054-704-4317)
                  한국전력기술 혁신성장실 담당자 (054-421-6495)
                  한국원자력환경공단 사회적가치전략실 담당자 (054-750-4055)",2020-02-10~2020-02-25,경제·산업·통상>에너지및자원개발,,#공모전 #사업슬로건 #아이디어 #원자력 #일자리창출 #전기,"일자리 창출 관련 좋은 의견들이 있으면 좋겠네요
좋은 제안들이 많이 접수되어 잘 추진되었으면 하는 바랍입니다
원전이 바다가에 있으므로 해안가 페기물 수거로 인력활용해 보는것은 어떨지?
원자력 일자리 창출 아이디어 공모전 매우 좋은 취지의 발상입니다.
좋와요!"
