검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
원전,제목,2021-08-12,종료,12,119신고앱 민원전화(110)버튼(안) 디자인 의견을 주십시오.,2021.08.12,2,1,"소방청에서는 119신고앱의 민원전화(110) 버튼(안) 의견을 수렴하여
신고앱 디자인에 반영하고자 합니다.
6가지 시안에서 선택하여 주시면 감사하겠습니다.",2021-08-12~2021-08-26,공공질서 및 안전>소방·구조활동,,#119 #신고앱 #소방,119신고앱 민원전화(110)버튼(안) 디자인 의견에 참여합니다.
원전,제목,2021-07-22,종료,14,친절한 민원전화 응대 방법,2021.07.22,2,14,"우리청은 전화친절도 향상을 위하여 많은 노력을 하고있습니다.
좀더 나은 서비스를 제공하기위해 전화친절도 향상을 위한 의견을 구합니다.
전화 친절도 향상을 위한 의견이 있거나 이런건 개선했으면 좋겠다하시는 점을 자유롭게 적어주시기 바랍니다.
감사합니다.",2021-07-22~2021-08-05,교육>교육행정,충청남도>당진시,#전화친절도,"항상 민원인의 입장에서 친절하게 응대하고 배려하는 것이 가장 중요하다고 생각합니다.
담당자가 출장갈때는 착신으로 전환해 놓으면 보다 빠른 민원처리가 해결 될거라 생각됩니다.
담당자가 부재 중일 때 민원 내용을 간단히 메모해 두었다가 담당자가 돌아오면 바로 민원인에게 전화 주셨으면 좋겠습니다.
불특정 다수에게 오는 전화의 특성상 발화자의 이야기에 집중해서 경청하는 것이 중요하다고 생각합니다.
항상 민원인입장에서 생각해주셔서 감사합니다. 앞으로도 더 열심히 부탁드려요.
민원인의 이야기에 대해 집중해서 경청하는 것이 중요하다고 생각합니다. 말해주는 것보다 들어주는 것이 상대방에게는 더 감동으로 다가오기 때문입니다. 그리고 잘 들어야 민원의 내용을 정확히 파악할 수 있고 업무처리를 수월하게 할 수 있다고 생각합니다.
민원인은 물론 민원의 해결이 목적이지만, 그보다 자신의 고충에 대한 공감을 바란다고 생각합니다. 상대에 대한 공감이야말로 첫번째로 실천 해야할 것이 아닐까요? 충남교육청, 잘하고 있습니다!
자신의 전화뿐 아니라 팀이나 과에서 울리는 전화를 빠르게 받는 것이 중요하다고 생각합니다. 부재중인 직원의 출장, 휴가 정보를 될수 있으면 구체적으로 민원인에게 전달하고 전화메모를 받아놓는 것도 좋겠습니다.
- 차분한 목소리로 자신의 소속과 성명을 밝히는 단계부터 중요하다고 생각합니다. - 민원인이 충분히 이야기를 한 후 응대합니다.
친절은 늘 따라 다니는 우리의 얼굴입니다. 현장에서 정확. 신속. 목소리 톤으로 전해지는 메시지 전화라고 해서 상대의 공감을 함께 하지 않는다면 민원인은 실망부터 합니다. 교육, 평가만이 아닌 실전에서 확실한 응대만이 평상시에 빛을 발할 것입니다.
-출장 시 전화기 착신전환 생활화 -전화민원 처리대행을 지정( 3인1조 등) 담당자가 없을경우 대행 맡은사람이 책임지고 전화응대
민원인의 말을 끊지 않도록 전화 종료 전에 민원인이 전화를 끊었나 꼭 확인하는게 좋지 않을까요
직원들 간 2인 1조 민원인과 직원으로 서로 전화를 주기적으로 하는 실질적인 내용이 필요하다고 생각합니다.
민원응대 및 민원전화 응대 방법 등을 이론과 실질적인 내용으로 교육이 필요하다고 생각합니다."
원전,제목,2021-07-20,종료,27,친절한 민원전화 응대 방법 의견 부탁드립니다.,2021.07.20,0,15,친절한 민원전화 응대 방법 의견 부탁드립니다.,2021-07-20~2021-08-03,교육>기타,충청남도,#친절 #민원실 #서비스,"역지사지로 상대방의 입장에서 생각해보며 친절한 태도로 요청하는 내용에 알맞는 답을 해줘야 한다고 생각합니다.
서로를 존중하면서 대화해야된다
상냥하고 편안한 자세로 전화를 받고, 민원인의 요구사항에 정확히 대답해 주는 것이 중요하다고 생각합니다.
응대하고 나서 수화기 내려놓을 때 조심하기 전화 내려놓는 소리 때문에 민원인의 기분이 상할 수도 있으니까요!
민원의 요지를 잘 파악하고 친절한 자세로 전화를 응대해야 한다고 생각합니다.
전화벨이 3번 울리기 전에 받고 민원인의 말을 중간에 끊지 않고 경청한다.
상대방의 입장에 서서 상대방이 원하는 것이 무엇인지 잘 파악하여 가급적 좋은 결과가 도출될 수 있게 해준다
전화를 돌리지않고 담당자와 직접연결 되였으면 합니다.
소속과 이름을 정확하게 밝힌다.
가족에게 대화하듯이 항상 친절하게 응대합니다.
담당자 연결 과정을 여러번 거치지 않도록 해야 합니다.
두번말하지 않도록 처음 전화받으신 분이 내용 파악 후 전화연결될 처리담당자에게 설명 후 연결해주셨으면 합니다.
한 번 들은 내용을 정리하고 회신 할 내용을 정확히 파악하여 신속한 업무처리가 가능하도록 돕는다.
문의한 내용을 잘 캐치하고, 맥락을 잘 이해해서 답변을 한다~
전화벨 두번 이하에서 받는다/ 고령자일 때는 목소리 톤을 높인다/ 마지막 상담 종료 전"" 상담에서 불편한 점은 없었습니까?"" 꼭 물어보고 종료한다."
원전,제목,2021-05-23,종료,8,원전폐쇄 찬반 동의서,2021.05.23,1,0,"안녕하십니까. 요즘 전기차가 유행이지요? 그러기 위해선 원자력 발전소가 필요 합니다. 아무리 전기차가 더 싸다고 해도, 발전소가 없으면 결국엔 기름값이 되버립니다. 지금 몇원 입니까? 1579원 입니다. 
지금 우리가 전기를 저렴하게 이용할수 있는것은 원자력발전소 덕분입니다. 여러분의 생각을 적어주십시오.",2021-05-23~2021-07-22,지역개발>산업단지,부산광역시>기장군,#법 #문재인 #원전,
원전,제목,2020-12-24,종료,1,옛 덕수궁 선원전의 복원에 대해 어떻게 생각하시나요?,2020.12.24,1,1,1920년대 일제에 의해 훼철된 덕수궁 선원전의 복원사업 추진에 대해 어떻게 생각하시나요?,2020-12-24~2020-12-28,문화·체육·관광>문화재,서울특별시>중구,,덕수궁 석원전 복원은 환영합니다
원전,제목,2020-11-10,종료,0,산림복원전문가 자격제도 신설에 대해 어떻게 생각하십니까?(설문조사),2020.11.10,2,0,"□ 사업개요
 
ㅇ 주제 : 산림복원전문가 자격제도 신설에 대해 어떻게 생각하십니까?
 
ㅇ 목적 : 「산림자원의 조성 및 관리에 관한 법률」 제42조의10에 따른 산림복원 전문인력 양성을 위한 체계적인 제도 개선의 필요성과 국가전문자격제도 도입의 필요성을 검토하여 신규 일자리 창출 방안 모색
□ 생각의 탄생 결과(총28건): 찬성 26, 중립 0, 반대 2
<의견 정리하기>
 
□ 1차로 정책 제안에 참여하여 주신 많은 분들게 감사드립니다. 대부분의 참여자들께서 산림복원전문가 자격제도 신설에 대해서 공감을 해주셨지만, 기존 관련 자격과의 관계 정립에 있어서는 신중히 효율적인 방안을 검토할 것을 요구하였습니다.
 
□ 또한, 명확한 업무영역을 보장될 수 있도록 산림복원전문가의 특수성과 독립성을 확보하여야 하고, 기존 종사자들과도 충분한 소통으로 공감대를 형성해야 한다고 의견을 모으셨습니다.
 
□ 이에 산림복원전문가 자격제도 신설에 대해 일반 국민들의 의식이 어떠한지, 도입방향 등을 투표를 통해 추가의견을 들어보도록 하겠습니다. 아울러, 좀 더 구체적인 아이디어가 있으시면 다양한 의견으로 참여해 주시면 정책 추진에 큰 도움이 될 것입니다.",2020-11-25~2020-11-27,농림·해양·산림>산림·산촌,,,
원전,제목,2020-10-19,종료,25,산림복원전문가 자격제도 신설에 대해 어떻게 생각하십니까?,2020.11.10,2,2,"1. 현황 및 문제점
ㅇ 산림복원의 필요성 대두 : 국내외적으로 산림복원 패러다임이 확산추세로 우리나라의 산림은 반세기 동안 38만ha가 훼손되어 , 훼손된 산림을 체계적으로 복원, 보호하고 사후관리하여 한반도 산림생태계 및 생물다양성 유지, 증진에 기여할 필요가 있음
ㅇ 산림자원의 조성 및 관리에 관한 법률(이하 산림자원법) 개정 시행('19년 7월) 및 '산림복원 기본계획        ('20~'29) 수립에 따라 산림복원 사업규모 확대
  - 산림복원의 정의 : 자연적, 인위적으로 훼손된 산림생 생태계 및 생물다양성이 원래의 상태에 가깝게 유지, 증진될 수 있도록 그 구조와 기능을 회복시키는 것
ㅇ 산림복원사업 타당성평가 기준, 산림복원지 사후 모니터링 기준, 산림복원용 자생식물 및 자연재료의 공급 등에 관한 고시 등 세부지침 규정
    * 산림자원법 제42조의 10 산림복원 전문인력 양성
    * 산림복원 추진현황 : ('06~'19) 누계 546ha, 연평균 39ha -> ('20) 96ha
ㅇ 법령 시행 및 산림복원사업 확대 대비 일선 현장에서는 산림토목사업을 담당하는 산림공학기술자가 구별없이 시공하고 있어 시공방침, 복원재료 등에서 산림복원의 기본원칙을 반영한 시공이 미흡
ㅇ 이에 산림복원이 법제화된 현 시점에서 단계별로 산림복원전문가 양성을 위한 기틀을 마련하고 앞으로 방향을 정립해 나가고자 함
2. 주요 토론 내용
ㅇ '산림복원전문가' 국가전문자격제도의 필요성, 당위성 제기 및 토론
  - 산림복원전문가의 활동범위 및 전망
  - 자생식물, 자연재료 등 산림복원전문가의 독창적인 전문분야 확보 방안
ㅇ 자격제도 도입 시 기존 관련 자격과 관계정립을 통한 활용 방안
  - 산림복원분야와 관련된 산림, 생태, 환경, 생물, 토목 등 여러 분야와 업무 영역의 범위를 고려한 효율적인 방안
ㅇ 산림복원전문가 양성의 유형 및 기준
  - 양성교육 대상의 범위(관련 자격자, 해당업무 경력자, 신규자)
  - 양성교육 대상별 교육의 범위
  - 양성기관 지정 및 자격제도 운영 방안, 자격의 등급화 여부 등
3. 생각의 탄생 결과(총28건): 찬성 26, 중립 0, 반대 2
<의견 정리하기>
ㅇ  1차로 정책 제안에 참여하여 주신 많은 분들게 감사드립니다. 대부분의 참여자들께서 산림복원전문가 자격제도 신설에 대해서 공감을 해주셨지만, 기존 관련 자격과의 관계 정립에 있어서는 신중히 효율적인 방안을 검토할 것을 요구하였습니다.
 
ㅇ  또한, 명확한 업무영역을 보장될 수 있도록 산림복원전문가의 특수성과 독립성을 확보하여야 하고, 기존 종사자들과도 충분한 소통으로 공감대를 형성해야 한다고 의견을 모으셨습니다.
 
ㅇ 이에 산림복원전문가 자격제도 신설에 대해 일반 국민들의 의식이 어떠한지, 도입방향 등을 투표를 통해 추가의견을 들어보도록 하겠습니다. 아울러, 좀 더 구체적인 아이디어가 있으시면 다양한 의견으로 참여해 주시면 정책 추진에 큰 도움이 될 것입니다. 
 ",2020-11-11~2020-11-24,농림·해양·산림>산림·산촌,,,"참여 완료했습니다!
산림복원전문가 자격제도 신설에 대해 어떻게 생각하십니까?. 매우 긍정적인 방안입니다."
원전,제목,2020-10-19,종료,28,산림복원전문가 자격제도 신설에 대해 어떻게 생각하십니까?,2020.10.19,1,28,"1. 현황 및 문제점
ㅇ 산림복원의 필요성 대두 : 국내외적으로 산림복원 패러다임이 확산추세로 우리나라의 산림은 반세기 동안 38만ha가 훼손되어 , 훼손된 산림을 체계적으로 복원, 보호하고 사후관리하여 한반도 산림생태계 및 생물다양성 유지, 증진에 기여할 필요가 있음
ㅇ 산림자원의 조성 및 관리에 관한 법률(이하 산림자원법) 개정 시행('19년 7월) 및 '산림복원 기본계획        ('20~'29) 수립에 따라 산림복원 사업규모 확대
  - 산림복원의 정의 : 자연적, 인위적으로 훼손된 산림생 생태계 및 생물다양성이 원래의 상태에 가깝게 유지, 증진될 수 있도록 그 구조와 기능을 회복시키는 것
ㅇ 산림복원사업 타당성평가 기준, 산림복원지 사후 모니터링 기준, 산림복원용 자생식물 및 자연재료의 공급 등에 관한 고시 등 세부지침 규정
    * 산림자원법 제42조의 10 산림복원 전문인력 양성
    * 산림복원 추진현황 : ('06~'19) 누계 546ha, 연평균 39ha -> ('20) 96ha
ㅇ 법령 시행 및 산림복원사업 확대 대비 일선 현장에서는 산림토목사업을 담당하는 산림공학기술자가 구별없이 시공하고 있어 시공방침, 복원재료 등에서 산림복원의 기본원칙을 반영한 시공이 미흡
ㅇ 이에 산림복원이 법제화된 현 시점에서 단계별로 산림복원전문가 양성을 위한 기틀을 마련하고 앞으로 방향을 정립해 나가고자 함
2. 주요 토론 내용
ㅇ '산림복원전문가' 국가전문자격제도의 필요성, 당위성 제기 및 토론
  - 산림복원전문가의 활동범위 및 전망
  - 자생식물, 자연재료 등 산림복원전문가의 독창적인 전문분야 확보 방안
ㅇ 자격제도 도입 시 기존 관련 자격과 관계정립을 통한 활용 방안
  - 산림복원분야와 관련된 산림, 생태, 환경, 생물, 토목 등 여러 분야와 업무 영역의 범위를 고려한 효율적인 방안
ㅇ 산림복원전문가 양성의 유형 및 기준
  - 양성교육 대상의 범위(관련 자격자, 해당업무 경력자, 신규자)
  - 양성교육 대상별 교육의 범위
  - 양성기관 지정 및 자격제도 운영 방안, 자격의 등급화 여부 등
 ",2020-10-19~2020-11-06,농림·해양·산림>산림·산촌,,,"산림복원은 훼손된 산림생태계를 원래의 상태로 되돌리는 과정으로 산림복원전문가의 참여가 절대로 필요합니다. 설계, 시공, 준공 처럼 단순한 시공방법이 아니라 준비, 계획, 설계, 복원, 모니터링, 보완 등 다양하고 복잡한 과정이 긴 시간동안 이루어지므로 전문가에 의한 산림복원이 되어야 합니다. 또한 산림생태계 전반을 다루어야 하는 복잡하고 전문적인 지식이 필요한만큼 자격 부여를 위한 충실한 교육이 따라야 할 것입니다. 이러한 교육이 이론으로만 그치는 것이 아니라 현장에서 바로 적용할수 있는 현장접목교육으로 복원전문가가 양성되어야 하고 이를 위한 충분한 예산의 지원이 확보되어야 한다고 생각합니다. 금번 산림복원전문가 자격제도 신설에 적극 찬성합니다.
산림복원이라고 말은 하지만 실제적으로는 사방사업쪽의 산림복구와 개념의 차이는 가지고 있으나 실상은 사업 공법에서는 차이를 가지고 있지 않은 경우가 대부분이라 전문적인 지식을 가진 인력을 양성하는것은 좋은 방향이라고 생각합니다
훼손된 유형이 제각기 다르며, 그에 따른 복구방법도 달리 적용되어야 한다고 생각합니다. 현재는 산림복원전문가가 없어 대부분이 일반적인 사방사업이 이루어지고 있어 산림복원과 일반적인 사방에 대한 차이가 없어보입니다. 따라서 전문가 육성이 시급하지 않을까 생각합니다.
본문 내용에도 나와있다시피 현재 산림복원은 전문가라고 볼 수 없는 공학기술자에 의해 설계와 시공이 이뤄지고 있습니다. 복구 단계까지는 산림공학기술자들이 할 수 있지만 복원은 더 세부적인 부분까지 신경써야하는 만큼 전문인력을 양성하여 활용하는 것이 더 바람직하다 생각합니다.
다양한 형태로 훼손되어 있는 환경을 복구가 아닌 복원에 개념까지 이끌어내는데에는 많은 종합적 지식이 필요하다고 생각합니다. 따라서, 산림복원전문가 자격제도 신설을 통해 그 틀을 마련하는 것은 좋다고 생각합니다. 하지만 국가자격제도가 만들어짐에 따라, 그 분야에 몰두하고 생계를 집중하는 사람들이 발생하는만큼 완성도 있게 제도가 마련되어야 한다고 생각이 듭니다.
나무의사의 경우에도 필요성이 충분하고 의도는 좋았지만 난이도 조절의 어려움과 첫 자격시험에 많이 난간을 직접 겪어 보았습니다. 산림복원전문가 자격제도의 신설도 조금 더 신중히 고려하여 주시기 바랍니다.
전체적인 산림복원을 위해서 전문 분야 확보에 대해 찬성은 합니다. 하지만 전체적인 산림에 대한 이해 및 자생 복원 및 인공 복원 여러업무를 포괄하는 기술자를 확보하는 커리큘럼을 구체화하기에는 조금은 어려울 걸로 예상이 됩니다.. 또한 ㅇ 자격제도 도입 시 기존 관련 자격과 관계정립을 통한 활용 방안 - 산림복원분야와 관련된 산림, 생태, 환경, 생물, 토목 등 여러 분야와 업무 영역의 범위를 고려한 효율적인 방안 이 방안은 제일 효율적이고 안정적인 방법이긴 하지만 예산, 근무 환경, 전체적인 의견 충돌로 인해서 어려움도 많을거라고 생각이 듭니다.
우리나라 산림은 반세기에 걸쳐 조기 녹화 및 황폐화 복구 시기를 거쳤습니다. 산림관리에 있어서 양적확장 보다는 질적확장을 고려해야하는 시기가 도래하였습니다. 산림복원은 자연친화, 재료선택, 식생고려 등 질적으로 고급 기술을 포함하고 있습니다. 그렇기 때문에 법제화된 틀에서 산림복원전문가 양성은 필수이고 산림복원전문가들의 업무영위도 보장되어야 할 것으로 생각됩니다.
자격제도를 뒷받침할 수 있는 세부지침을 수립하고 취득기준을 마련하는 등 체계적인 절차가 이루어져야 취지에 맞는 자격제도가 이루어 질 수 있다고 생각합니다.
산림복원은 단순한 사업에서 끝나는 것이 아니라 지속적인 모니터링 및 연구가 필요하기 때문에 전문가 자격제도는 필요하다고 생각합니다.
산림복원을 체계적이고 과학적으로 관리 및 복원할 수 있도록 산림복원 자격제도 운영에 적극 찬성합니다.
산림복원 전문가 양성을 위해서 꼭 필요한 자격증입니다. 산림기사 자격으로 2주간 전문교육 후 취득하는 산림공학기술자와는 명확히 구분되어 독립영역으로 발전할 필요성이 있습니다.
무분별하게 훼손되는 산림을 가꾸고 보전하는데 산림복원전문가 자격제도를 활성화하여된다고 생각됩니다.
ㅇ 산림복원사업 타당성평가 기준, 산림복원지 사후 모니터링 기준, 산림복원용 자생식물 및 자연재료의 공급 등에 관한 고시 등 세부지침 규정 * 산림자원법 제42조의 10 산림복원 전문인력 양성 * 산림복원 추진현황 : ('06~'19) 누계 546ha, 연평균 39ha -> ('20) 96ha 이것만 보더라도 타당성평가 단계부터 전문가의 의견이 반영되어야 합니다. 전문가 양성 또한 체계적으로 이루어져야 하구요.
산림복원은 법과 제도가 만들어졌습니다. 산림과 관련된 기술자 및 자격증 소지자 등 산림과 관련 업을 가지신 분들은 많습니다. 산림복원사업은 기존 사방, 조림, 임도 등의 산림관련 공학기술과 떨어질수는 없지만, 차별이 필요합니다. 산림복원전문자격제도에 찬성합니다. 다만, 이 취지와 목적을 이루기 위해 아래 내용들이 해결되지 않는다면 성공적이지 못할 것입니다. - 전문인력양성을 위한 학계-협회-단체-기업-기관-연구-정부 등의 연계체계 마련이 시급하다고 생각하구요. - 기존 산림기술자분들과의 충분한 공감과 소통이 우선시 되고 협의가 되어야 한다고 생각합니다. - 산림업과 환경관련업의 미묘한 것이 있지만, 저는 개인적으로 '자연생태복원기사, 기술사' 등의 분야도 아우러서 폭넓게 인적 다양성을 높이는 방법도 좋겠다는 생각이고, 이런부분들은 다양한 전문가가 모여 논의가 필요합니다. 우리나라 국토는 하나이고, 우리 모두 같은 국민이자 우리가 주인입니다. 서로간의 배려와 상생협력을 통해 공생하는 모습을 보고싶습니다. 그 가운데에서 산림청의 역할이 정말 중요하리라 보구요. 모두가 너무 고생많으십니다. 잘 부탁드립니다. 화이팅!!
산림의 복구와 복원의 개념을 명확히할 필요가 있으며, 보다 더 생태적이고 자연친화적인 방향성에 대하여 국민과 기술자들의 공감대가 이루어져야 한다고 생각되며, 전문적인 자격의 발급에는 그에 대한 전문가들의 소신과 기술력, 관리기관의 적극적인 지원과 세심한 관리 등 이 이루어져야 할 것입니다. 산림복구사업과 산림복원사업의 방향성과 업무의 구분을 어떻게 해 나아갈 것이냐 하는 것들의 정립도 필요할 것으로 보입니다.
산림복구와 산림복원이라는 개념이 구체화되고 그에따라 전문가도 자격도 명확해야 할 것 같네요. 산림복원전문가 자격제도는 현장에서도 적용되어야 하고 꼭 필요하다고 생각합니다
산림공학기술자가 충분히 종합적으로 할수있는것인데 그것을 무슨기준으로 미흡했다고 하는지 모르겠으면 무슨 분야마다 자격증제도만 우후죽순으로 만들어서 인력낭비 시간낭비만 초래하는것으로 보여짐. 복원전문가 전에 산림훼손시 무조건 이정도 수준까지 복원 복구를 해야한다는 규정을 법제화하면 해결될 일임. 현 실정의 시공상태가 미흡한게아니고 그냥 대충 나무 몇개심어놓고 허가서류 들이밀어도 승인을 내주게 문제임
산림복원 전문가 양성을 위해서 꼭 필요한 자격증입니다. 산림기사 자격으로 2주간 전문교육 후 취득하는 산림공학기술자와는 명확히 구분되어 독립영역으로 발전할 필요성이 있습니다.
산림복원은 일반적인 산림녹화의 개념으로 접근하면 안된다고 생각합니다. 해당 지역의 기후 및 특성에 맞게 생태학적으로 복원이 필요하며, 산림분야 이외의 타 분야의 전문성이 같이 필요합니다. 따라서 산림복원전문가 자격제도 반드시 필요하며, 자격제도 신설시 다양한 분야의 전문가가 참여할 수 있도록 하여야 합니다.
산림복원은 다양한 분야가 융복합되어야 하고, 10년간 사후모니터링을 실시하여 환류시스템을 통해 목표했던 결과를 얻을 수 있도록 하는 장기적인 사업이므로 특화된 자격제도가 신설되어야 한다고 생각합니다. 아울러 대학에서도 커리큘럼이 신설되어 전문가를 양성할 수 있는 기회가 되었으면 합니다.
산지라는 특성을 이해할수있는 인력의 양성이 필요한 시점임니다
산림복원전문가 자격제도는 꼭 필요하다고 생각됩니다. 타 전문 자격제도와 구분되어 보다 질적이고 양적으로 발전되길 바랍니다.
해당 자격의 필요성이 충분히 공감됩니다.하지만 기존의 유사한 자격과의 형평성과 업무 영역을 잘 조절하여 산림복원전문가는 말처럼 산림복원영역에 전문가가 될수있도록 전문 교육분야와 필요지식을 전문적으로 평가할수 있어야 겠습니다.더불어 고등교육기관과의협약 체결로 관련 전문 교육기관 확보도 필요할듯합니다.
산림복원전문가 자격제도는 곡 필요한 정책이라 판단되나, 현실적인 면에서는 업무영역이 불분명하고 우리나라 자격증 제도가 실효성 확보면에서는 부족하다고 여겨짐 법과 제도가 잘 이루어져 그야말로 완벽하게산림복원이 되였으면 좋겠슴
산림복원전문가 국가전문자격제도는 꼭 필요합니다. 잘 추진되길 바랍니다.
산림관련 모든분야는 우리인간의 자연생태를 효율적으로상생할 수있는 디딤돌이자 동식물의 공간이기도 합니다. 산림복원전문가 국가전문자격제도 찬성합니다. 각분야별(산림,생태, 환경, 생물, 토목 등)로 접근하는것도 중요하지만 진정 자격으로 끝나지않고 끊임없이 이어 지도록 대학에 특성학과를 신설하여 전문인력을 양성하여 일자리 창출에도 기여하고 내실있는 국가자격시험이 되었으면합니다.
산림복원 전문 자격제도는 좋은 생각입니다 그러나산림 복원 전문가를 양성으로 많은 인원을 배출하는데는 문제가 있으므로 신중을 기하여야합니다"
원전,제목,2020-05-29,종료,3,민원전화 응대 개선과 관련하여 국민들의 의견을 수렴합니다.,2020.05.29,0,3,"충청남도 정책제안 홈페이지 '만사형통충남'을 통해서 채택된 제안의 실현방안에 대한 국민들의 의견을 수렴합니다.
 
(제안 내용)
 
민원 전화시 불편함이 많습니다. 특히 복지담당자에 전화하면 통화중 상태로 통화가 어려울 때가 있습니다.
 
취약계층인 기초생활수급자, 장애인, 노약자분들은 직접 방문이 어렵기 때문에 전화통화가 되지 않으면 답답합을 느낍니다.
 
이에 공무원의 전화 응대방식의 개선이 필요합니다.
 
이에 대한 부서의견은 다음과 같습니다.
 
(자치행정과)
 
- 민원인 친절응대 향상을 위한 전화 친절도 조사 실시 (상반기 ‘20. 4. 1.~5. 31. /
하반기 ’20. 8. 1.~9. 30.)
 
- 조사 결과에 따라 전화응대 서비스 전문가를 초빙하여 하위 5개부서 반기별 CS친절교육 실시 예정
 
- 충남 120콜센터 상담사 만족도 조사 연2회 실시하여 민원응대 전화 만족도를 제고해 나갈 계획임
 
채택된 제안의 실행을 위하여 국민들의 의견을 수렴하고자 하니 많은 의견 부탁드립니다.
 ",2020-05-29~2020-06-12,일반공공행정>일반행정,충청남도,,"전화 뺑뺑이 돌리는거 정말 힘들어요... 그리고 정말 불친절하게 받는 사람도 있어요. 뭐좀 물어보려 전화했는데 내가 죄지은느낌이 들때가 있어요.
민원인 전화는 형식상 있고 민원 전화를 아에 통화중 상태로 만들어 발신이 통화중으로 인식 할수 있도록 민원 전화 를 아에 차단하는 경우가 많습니다
충남도의 적극행정에 감탄하고 가네요..!! 전화 친절도 조사와 교육, 만족도 조사까지 국민의 제안을 행정개선에 반영하기 위한 많은 고민과 노력에 박수를 보냅니다..!!!"
원전,제목,2019-12-26,종료,6,덕수궁 선원전 영역을 알고 계신가요??,2019.12.26,3,2,"덕수궁 선원전 영역은 1901년경 역대 왕들의 어진, 신주, 신위 등을 모시기 위해 조성된 곳입니다.
대한제국의 정통성 부여하기 위해 당시에 만들어졌는데, 1920년 경 일제에 의해 훼손, 철거되었습니다.
지금은 그 터만 서울시 중구 정동 1-8번지 일대에 남아 있습니다.
 ",2019-12-26~2020-01-02,문화·체육·관광>문화재,서울특별시>중구,#덕수궁 #선원전,"덕수궁 선원전 영역을 알고 계신가요?. 모르고 있내요?.
모르고 있었던 역사의 슬픔이네요..... 고증을 통해 재건은 어렵나요??"
