분류,검색키워드,검색범위,카테고리,단계,제목,글쓴이,등록일,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,결과,댓글작성자,댓글작성일,댓글내용
정책/제도연구,기후변화,제목,대화,종료,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 설문 조사",기상청,2022.03.18,0,5,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 
설문조가 결과를 정리하였습니다. 
주요 개선 방향으로 
대국민 설문조사(’22.2.) 결과를 반영하여, 국민체감도 높은 영향정보에 우선순위를 두어 관계부처·유관기관 협력, 전문가 자문을 통한 정보 수집·분석 및 제공 예정입니다. 
 - 사회·경제·문화는 주로 일상생활과 관련된 국민체감도가 높은 부문으로 우선순위를 두어, 국내외 자료조사, 용역사업 연계 등을 통해 추진
 - 환경생태, 방재, 해양수산, 농업축산, 보건, 산업에너지 부문은 관계부처 및 유관기관 협력을 통해 부문별 영향정보 서비스 확대
  < 설문 조사 결과 >
○ 목적: 새로운 기후변화 시나리오 발표(’21.12.)와 연계, 미래(2050년/2100년)에 나타날 변화에 관한 국민관심사 조사를 통한 기후변화 영향정보 발굴
○ 기간/방법: ’22.1.28.~2.13. / 기상청홈페이지, 기후정보포털, 국민생각함
○ 참여자: 총 757명
○ 분석방법: 답변 키워드를 중심으로 8개 대부문, 72개 소분야로 분류
○ 주요 결과(붙임)
- 8개 부문별 관심도: 기상기후 25%, 사회경제문화 20%로 높게 나타남
※ 기상기후(25%)>사회경제문화(20%)>환경생태(15%)>방재(12%)>해양수산(9%)>농업축산(7%)>보건(6%)>산업에너지(5%)
 
-------------------------------------<설문 조사시, 안내문>---------------------------------------
기후변화로 인한 영향이 먼미래, 먼나라의 이야기가 아닌
우리나라, 우리 일상생활에서 느낄 수 있게 되었습니다.
 
특히, 사계절이 뚜렷한 우리나라의 계절길이에 변화가 생겼는데요.
지난 109년간 관측자료로 분석한 결과, 여름은 길어지고 겨울은 짧아지고 있습니다.
미래에도 이러한 경향은 계속되어, 현재 추세대로 온실가스를 배출한다면,
21세기 후반에는 1년의 거의 절반이 여름이 되고, 겨울은 두 달 정도 될 것이라고 전망됩니다.
 
이 외에도, 기상청에서는 앞으로 폭염이나 열대야, 한파나 집중호우와 같은
우리가 생활하기 힘든 극한기후현상들이 얼마나 자주, 더욱 강하게 나타날지에 관한 정보도
기후정보포털(www.climate.go.kr)을 통해 제공하고 있습니다.
 
조금 더 나아가, 여러분이 앞으로 기후변화로 인해 어떤 현상들이 나타날지,
우리의 일상생활이 어떻게 바뀔지 궁금하신 점이 있으실텐데요.
(예를 들면, 내가 사는 곳의 재난·재해, 먹고 입는 것, 캠핑·꽃구경·등산·축제와
같은 여행이나 취미생활, 그리고 직업과 관련된 것들의 변화 등)
 
과연 지금으로부터 30년 후인, 2050년 그리고 우리의 후세들이 살아갈
2100년에는 기후변화가 우리의 생활에 미치는 영향과 관련하여
어떤 변화들이 나타날지 궁금하신 점을 자유롭게 기술해 주세요.
 
아래의 여러 예시들을 참고해 보시면서, 
앞으로 우리의 미래가 어떻게 바뀔지 상상도 해보시고, 궁금한 점도 알려주시기 바랍니다.
여러분이 주신 궁금증을 토대로,
기상청에서 기후변화 관련 정보를 제공하고자 하오니 많은 참여 부탁드립니다.
 
소중한 답변을 남겨주신 분께는 추첨을 통해 소정의 선물을 드리도록 하겠습니다.
 
◈ (예시) 2050년, 2100년에는 어떤 변화가 나타날까요? ◈
- 옛날에는 한강에서 썰매를 탈 수 있었는데 요즘은 한강이 얼지 않아서 썰매를 탈 수 없어요.
  앞으로 한강에서 썰매를 탈 수 있을까요?
- 바닷물 높이가 계속 올라가고 있다고 하는데,
  2100년이 되면 한강 근처에 있는 인천, 김포, 부천 등에서 침수범람으로 피해를 입지 않을까요?
- 앞으로 집중호우로 비가 많이 내리면 댐이나 저수지 주변에 수위가 변하는 등
  어떤 변화가 있을까요?
- 기온이 높아지면 아열대기후에서 나타나는 새로운 질병이 생기지 않을까요?
  현재 우리가 겪고 있는 질병이 나타나는 지역은 어떻게 달라질까요?
- 기후변화로 대기오염이 심해지면 천식과 아토피 등 질병이 많이 발생하지 않을까요?
- 지구온난화로 기온이 높아지면
  우리나라 산과 바다에 있는 동식물도 큰 변화를 겪을 수 있을텐데,
  2100년에 우리나라 사람들의 식탁에 올라 올 음식은 어떻게 바뀔까요?
- 기후변화로 우리의 근무환경도 변화가 있을 것 같은데,
  기온이 오르고 열스트레스를 받으면 야외 노동자가 줄고, 근무시간도 바뀌지 않을까요?
- 겨울철 레저 활동으로 스키를 자주 타러 가는데 스키 탈 수 있는 날이 얼마나 줄어들까요?
  그리고 스키 탈 수 있는 지역도 바뀔까요?
- 여름 휴가철 해수욕장 이용을 많이 하는데, 바닷물 높이가 계속 올라가면
  해수욕장이나 갯벌이 줄어들고, 바닷가 주변 관광시설에 변화가 있지 않을까요?
- 우리나라도 서핑 인구가 해마다 늘고 있는 추세인데
  우리나라에서 서핑을 즐기기에 적합한 바닷가가 늘어날까요?",2022-03-18~2022-04-01,환경>기후·기상 (주제토론>정책/제도연구),,#기후변화 #영향정보,,주**,2022-03-23 12:44,기후변화를 막기위한 노력이 시행되지 않는다면 2100년에는 지구에 사는 사람 10명 중 9명이 식량부족으로인해 배를 굶주리며 살아야할것이라는 예측이 나오는데 정말 미래의 현실로 다가올까요?
,,,,,,,,,,,,,,,,Ashin,2022-03-22 01:27,강원도의 해수욕장의 모래가 많이 소실되었던데 시간이 더 지나면 동해바다의 해수욕장은 사라질까요?
,,,,,,,,,,,,,,,,남경식,2022-03-19 21:04,"지구온난화에 대한 대안과 인식 그리고 실천이 없기에...  그에 따른 기술력도 부족하고, 소통도 부족한 것이 아쉽지 않으신가요??"
,,,,,,,,,,,,,,,,김윤희님,2022-03-18 23:45,"2,100년에는 대한민국이 더이상 4계절 국가가 아닐까요? 그렇다면 여름과 겨울만이 존재하게 될까요?"
,,,,,,,,,,,,,,,,김윤희님,2022-03-18 23:44,인천시 송도에서 활동하고 있는데 간척을 통해 만들어진 이곳에서 2100년에도 사람들이 거주할 수 있을까요?
정책/제도연구,기후변화,제목,대화,종료,문화재 분야 기후변화 대응 종합계획 수립 연구에 대한 국민 의견 수렴,문화재청,2022.02.14,0,1,"문화재청에서는 '문화재 분야 기후변화 대응 종합계획 수립 연구'를 수행하고 있습니다.
본 연구는 아래 내용을 포함하여 진행되며, 향후 지속가능한 문화재 보존 관리를 위한 대응 종합계획 수립을 하고자 추진하는 연구입니다.
1. 문화재 분야 기후변화의 대응 현황 분석
  ㅇ 전 지구적 및 우리나라 기후변화 현황과 전망
  ㅇ 문화재 분야 기후변화 영향 분석
    - 문화재 분야와 기후변화의 정책 환경, 상관관계 규명
    - 문화재 유형·재질별(유형, 건조물, 석조, 자연(동·식물, 지질) 등) 기후변화 요인과 영향 분석(피해현황 포함)
    - 지역별 기후변화 현황 및 문화재 분포 특성
  ㅇ 그간 문화재청 기후변화 대응 관련 업무(연구, 자체과제, 사업), 조직, 예산 현황 분석
2. 국내·외 사례분석 및 시사점 도출
  ㅇ 기후변화 대응 국내·외 동향 및 사례 분석(적용가능 시사점 도출)
    - 국내 기후변화 정부종합대책 및 부처별 대응 정책 사례분석
      · 부처별 계획, 부처 역량(업무, 조직, 예산 등) 및 관련 법률 현황 등
    - 국제사회 기후변화 대응정책 및 사례 분석
      · 국제기구 및 주요국가 문화재 관련 기후변화 대응 사례 등
3. 문화재 분야 기후변화 대응 종합계획(안) 수립
   ㅇ 문화재 분야 기후변화 대응 정책 목표 및 추진 전략 도출
   ㅇ 문화재 유형별 세부 대응(적응 및 완화) 계획
     - 문화재 유형별 적응 전략 및 계획
     - 문화재 유형별 완화 전략 및 계획
   ㅇ 문화재 분야 기후변화 대응 기반 및 체계 구축
     - 연구개발(고유연구 및 출연 연구) 과제 개발
     - 기후변화 대응 전문 인력양성 계획
     - 기후변화 대응을 위한 법적 기반 및 재원 확보 계획
     - 기후변화 대응 역량 강화 및 관리체계
   ㅇ 문화재 분야 기후변화 대응을 위한 협력 강화
     - 국가와 지방자치단체의 협력
     - 국제기구 및 국제사회와의 협력
     - 전문가, 유관기관, 민간과의 협력
   ㅇ 문화재 분야 기후변화 대응을 위한 교육·홍보에 관한 사항
   ㅇ 계획 수립을 위한 로드맵(5개년) 제시
   ㅇ 그 밖에 문화재 분야 기후변화 대응에 관한 사항 등
위 연구와 관련하여 국민 여러분의 다양한 의견 및 추가로 반영할 내용 등에 대한 소중한 의견 부탁드립니다.
감사합니다.",2022-02-14~2022-02-28,문화·체육·관광>문화재 (주제토론>정책/제도연구),,#문화재 #기후변화 #적응 #완화,,눈빛5,2022-02-19 12:06,우리나라가 아열대 기후가 되니까 문화재를 습기에서 보호 하는 방법에 대해서 연구해야 하지 않을까요
정책/제도연구,기후변화,내용,대화,종료,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 설문 조사",기상청,2022.03.18,0,5,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 
설문조가 결과를 정리하였습니다. 
주요 개선 방향으로 
대국민 설문조사(’22.2.) 결과를 반영하여, 국민체감도 높은 영향정보에 우선순위를 두어 관계부처·유관기관 협력, 전문가 자문을 통한 정보 수집·분석 및 제공 예정입니다. 
 - 사회·경제·문화는 주로 일상생활과 관련된 국민체감도가 높은 부문으로 우선순위를 두어, 국내외 자료조사, 용역사업 연계 등을 통해 추진
 - 환경생태, 방재, 해양수산, 농업축산, 보건, 산업에너지 부문은 관계부처 및 유관기관 협력을 통해 부문별 영향정보 서비스 확대
  < 설문 조사 결과 >
○ 목적: 새로운 기후변화 시나리오 발표(’21.12.)와 연계, 미래(2050년/2100년)에 나타날 변화에 관한 국민관심사 조사를 통한 기후변화 영향정보 발굴
○ 기간/방법: ’22.1.28.~2.13. / 기상청홈페이지, 기후정보포털, 국민생각함
○ 참여자: 총 757명
○ 분석방법: 답변 키워드를 중심으로 8개 대부문, 72개 소분야로 분류
○ 주요 결과(붙임)
- 8개 부문별 관심도: 기상기후 25%, 사회경제문화 20%로 높게 나타남
※ 기상기후(25%)>사회경제문화(20%)>환경생태(15%)>방재(12%)>해양수산(9%)>농업축산(7%)>보건(6%)>산업에너지(5%)
 
-------------------------------------<설문 조사시, 안내문>---------------------------------------
기후변화로 인한 영향이 먼미래, 먼나라의 이야기가 아닌
우리나라, 우리 일상생활에서 느낄 수 있게 되었습니다.
 
특히, 사계절이 뚜렷한 우리나라의 계절길이에 변화가 생겼는데요.
지난 109년간 관측자료로 분석한 결과, 여름은 길어지고 겨울은 짧아지고 있습니다.
미래에도 이러한 경향은 계속되어, 현재 추세대로 온실가스를 배출한다면,
21세기 후반에는 1년의 거의 절반이 여름이 되고, 겨울은 두 달 정도 될 것이라고 전망됩니다.
 
이 외에도, 기상청에서는 앞으로 폭염이나 열대야, 한파나 집중호우와 같은
우리가 생활하기 힘든 극한기후현상들이 얼마나 자주, 더욱 강하게 나타날지에 관한 정보도
기후정보포털(www.climate.go.kr)을 통해 제공하고 있습니다.
 
조금 더 나아가, 여러분이 앞으로 기후변화로 인해 어떤 현상들이 나타날지,
우리의 일상생활이 어떻게 바뀔지 궁금하신 점이 있으실텐데요.
(예를 들면, 내가 사는 곳의 재난·재해, 먹고 입는 것, 캠핑·꽃구경·등산·축제와
같은 여행이나 취미생활, 그리고 직업과 관련된 것들의 변화 등)
 
과연 지금으로부터 30년 후인, 2050년 그리고 우리의 후세들이 살아갈
2100년에는 기후변화가 우리의 생활에 미치는 영향과 관련하여
어떤 변화들이 나타날지 궁금하신 점을 자유롭게 기술해 주세요.
 
아래의 여러 예시들을 참고해 보시면서, 
앞으로 우리의 미래가 어떻게 바뀔지 상상도 해보시고, 궁금한 점도 알려주시기 바랍니다.
여러분이 주신 궁금증을 토대로,
기상청에서 기후변화 관련 정보를 제공하고자 하오니 많은 참여 부탁드립니다.
 
소중한 답변을 남겨주신 분께는 추첨을 통해 소정의 선물을 드리도록 하겠습니다.
 
◈ (예시) 2050년, 2100년에는 어떤 변화가 나타날까요? ◈
- 옛날에는 한강에서 썰매를 탈 수 있었는데 요즘은 한강이 얼지 않아서 썰매를 탈 수 없어요.
  앞으로 한강에서 썰매를 탈 수 있을까요?
- 바닷물 높이가 계속 올라가고 있다고 하는데,
  2100년이 되면 한강 근처에 있는 인천, 김포, 부천 등에서 침수범람으로 피해를 입지 않을까요?
- 앞으로 집중호우로 비가 많이 내리면 댐이나 저수지 주변에 수위가 변하는 등
  어떤 변화가 있을까요?
- 기온이 높아지면 아열대기후에서 나타나는 새로운 질병이 생기지 않을까요?
  현재 우리가 겪고 있는 질병이 나타나는 지역은 어떻게 달라질까요?
- 기후변화로 대기오염이 심해지면 천식과 아토피 등 질병이 많이 발생하지 않을까요?
- 지구온난화로 기온이 높아지면
  우리나라 산과 바다에 있는 동식물도 큰 변화를 겪을 수 있을텐데,
  2100년에 우리나라 사람들의 식탁에 올라 올 음식은 어떻게 바뀔까요?
- 기후변화로 우리의 근무환경도 변화가 있을 것 같은데,
  기온이 오르고 열스트레스를 받으면 야외 노동자가 줄고, 근무시간도 바뀌지 않을까요?
- 겨울철 레저 활동으로 스키를 자주 타러 가는데 스키 탈 수 있는 날이 얼마나 줄어들까요?
  그리고 스키 탈 수 있는 지역도 바뀔까요?
- 여름 휴가철 해수욕장 이용을 많이 하는데, 바닷물 높이가 계속 올라가면
  해수욕장이나 갯벌이 줄어들고, 바닷가 주변 관광시설에 변화가 있지 않을까요?
- 우리나라도 서핑 인구가 해마다 늘고 있는 추세인데
  우리나라에서 서핑을 즐기기에 적합한 바닷가가 늘어날까요?",2022-03-18~2022-04-01,환경>기후·기상 (주제토론>정책/제도연구),,#기후변화 #영향정보,,주**,2022-03-23 12:44,기후변화를 막기위한 노력이 시행되지 않는다면 2100년에는 지구에 사는 사람 10명 중 9명이 식량부족으로인해 배를 굶주리며 살아야할것이라는 예측이 나오는데 정말 미래의 현실로 다가올까요?
,,,,,,,,,,,,,,,,Ashin,2022-03-22 01:27,강원도의 해수욕장의 모래가 많이 소실되었던데 시간이 더 지나면 동해바다의 해수욕장은 사라질까요?
,,,,,,,,,,,,,,,,남경식,2022-03-19 21:04,"지구온난화에 대한 대안과 인식 그리고 실천이 없기에...  그에 따른 기술력도 부족하고, 소통도 부족한 것이 아쉽지 않으신가요??"
,,,,,,,,,,,,,,,,김윤희님,2022-03-18 23:45,"2,100년에는 대한민국이 더이상 4계절 국가가 아닐까요? 그렇다면 여름과 겨울만이 존재하게 될까요?"
