,검색키워드,제목,추천,비추천,작성일,작성자,본문내용,댓글입력일,댓글내용,추천/반대
0,검색키워드,제목,추천,비추천,작성일,작성자,본문내용,댓글입력일,댓글내용,추천/반대
1,기후 변화,* ( 보충판 ) 앞으로 닥쳐 올 급격한 기후 변화가 몰고 올 혹한에 대비하여...,1,2,2021-10-29 07:45:05,naver - ***,"* 앞으로 닥쳐 올 급격한 기후 변화가 몰고 올 혹한에 대비하여...
앞으로 닥쳐 올, 급격한 지구촌 기후 변화가 몰고 올 혹한에 대비하여, 거대 투자자들은 원자 에너지 연료 개발에 집중적으로 투자해야 할 것이다. 핵 에너지 연구소를 다량 설치하여 집중적인 연구에 들어가야만 할 것이다. 언제나 소 잃고 외양간 고치는 식이 되지 않아야 할 것이다. 핵은 무기 만드는데만 쓸 것이 아니고, 생활에 필요한 상용화가 되도록 해야 할 것이다.",2021-10-29 17:40:22,오세훈OUT전격사퇴축하콘서트낙하산인사,0/0
2,,,,,,,,2021-10-29 09:07:47,"* 곧, 에너지 대란을 맞게 될 것이다.",0/0
4,기후 변화,농촌도빈부격차매우심화.우려목소리최고조.이제함께공생공존하며국민으로살아갈수있는방안과대책을세워주세요.제발,2,1,2021-09-07 10:35:03,naver - ***,"농촌도 빈부격차의 차별화로 매우 심각한 우려의 목소리에 귀을 귀울여주십시오. 바쁘시지만 2022년도 부터라도 해소을 하여주세요. 간절한 마음으로 대변합니다. 서민층. 빈곤층사람들이 눈물로 호소하고 절규하며 사람으로 함께 살수 있는 기회을 부여해주시면 정말 감사하겠습니다. 귀농귀촌하여 조금 농사을 짓고 있는데 소농과 대농사을 짓고 있는 층의 빈부격차가 너무도 심화하여 하염없는 눈물만 흘리면서 소농과 대농사간의 빈부격차을 조금만이라도 줄일수 있는 묘책은 없을까 해서 두손모아 호소합니다. “절실합니다. 소농사 눈물 닦아주세요”. 우리 모두가 “대한민국국민의 사람”입니다. 빈익빈 부익부의 격차해소을 위해 도와주세요. “서민층의 간절한 목소리”입니다.
정부나 각 지자체에서도 조금은 알고 계시리라 믿습니다 만 매 해년마다 농촌의 빈부격차는 위험성에 도달하여 대한민국국민으로서 함께 살아 갈수 있는 방법과 대안은 없는지 서민의 한사람으로서가 아닌 서민층의 많은 사람들이 이구동성으로 못 살겠다는 말과 서민층의 한계 능선이 없다보니 늘 걱정과 부정으로 변하는 모습에 국민으로서 걱정과 부정을 모아모아 표현함을 용서해 주십시오. 귀농귀촌하여 빈부의 격차는 인정합니다 만 소농은 모든 것을 기계등 임대하여 농사을 짓다보면 결과는 항상 마이너스인생으로 전락하고. 희망과 미래지향적 판단이 흐려 질때가 많아짐니다. 대농사을 짓는 사람은 농기계을 구입해서 직접 농사을 짓고 소농사짓는 사람은 대농사기계을 부탁해서 로타리등등을 부탁하면 한번에 최소15만원에서20만원을 요구합니다(약3-400평대 한함). 소농사는 최소 년3-4회정도는 기계을 사용해 줘야합니다. 그 외 들어가는 비용은 말습을 안 드려도 상상은 하시리라 믿습니다. 따라서 소농사의 서민층은 늘 바보처럼 울고만 있을 뿐이고 하늘만 쳐다 볼뿐입니다. 어쩌다 서민으로 이렇게 보이지 않은 벽을 두고 살아야 하나 하는 생각들을 많이도 가지고 살고 있담니다. 농촌이지만 대농사을 짓고 계시는 분들은 집에 차량이 2-5대정도 가지고 계시더군요. 대농사짓는 분들은 현대 에쿠스대형. 체어맨. 외제차량(억대가격)등으로 동네을 휘젓고 계심니다. 서민층은 그저 부러울 뿐이고 구경 삼매경에 고개만 숙여짐니다. 대한민국국가의 자본시장원리에 순응할 따름입니다. 대한민국국민으로서 함께 살아 갈수 있는 방법과 대안은 없을까요. 정부차원에서 서민층을 위한 자구책으로 마련해 주신 공익직불금제도 진심으로 감사드림니다. 농촌에서의 빈부격차 심화도 이제는 한계에 도달한 것 같은 생각입니다. 대농사을 짓는(벼농사 직불금제도)분들은 더 많은 혜택을 누리고 재산도 부도 축적되어 최고의 삶을 만끽하고 계시는데 비해 소농사을 짓는 사람은 항상 그 자리에서 맴도는 다람쥐굴레에서 벗어 날수가 없습니다. 감히 부탁드리고 싶은 말습은 대농사의 직불금을 소농사짓는 국민에게 배려한다 라는 차원에서 함께 살아가자는 취지로 현제의 약2.5-3.5배의 수준으로 상향조정하여 국민 모두가 함께 살아 갈수 있도록 살펴 주십사하는 간절한 마음으로 서민층을 대변한 국민의 목소리에 귀을 귀울여 주십시오. 농촌의 소농과 대농사의 비율이 소농75%.대농사 약25% 안됨으로 조사한 것을 보았습니다. 정부관계자님 정말 고생이 너무도 많으십니다. 각 지자체에서도 고생이 너무도 많으십니다. 요즘 코로나. 찜통더위. 기후변화 등등으로 불철주야 국민들 삶을 위해 고군분투하시고 계시는 분들께 고개숙여 감사인사 드림니다. 부동산급등. 모든 물가 고공행진속 서민층 삶은 그야말로 숨쉬기조차 힘들어 가는 세상으로 변해가고 있는 모습입니다. 서민층. 빈곤층 삶을 위한 농촌 실정을 말습드렸는데 개인의 이기주의로 생각을 안해 주셨으면 합니다. 현제의 현실 그 자체을 말습드렸고 국민이 함께 살아 갈수 있께끔 실질적으로 체감하며 감사한 마음으로 대한민국을 사랑 할수 있는 바탕위 토대을 만들어 주시길 국민분들이 간절히 부탁드림니다. 정부관계자님. 각 지자체장님. 농촌 서민층. 빈곤층에게도 삶의 기본과 국민으로 따뜻하게 보살펴 주시길 눈물로 호소하며 절규하며 함께 살아 갈수 있께끔 도와주세요. 더 힘들게 하시어 죄송합니다. 이 글 끝까지 잃어주시어 감사드리며 우리는 정부을 믿고 열심히 더 노력하며 목숨이 붙어 있는한 최선을 다하겠습니다. 대한민국은 할수 있습니다. 서민층.빈곤층도 할수 있음을 믿고 희망과 용기을 내겠습니다. 감사합니다.
농촌도 서민층과빈곤층은 더 열악하고 빈부격차가 너무도 심화되어 갈등요인으로 작용하여 정부차원에서 처방전이 절실히 필요합니다. 해소을 촉구합니다. 국민으로 인정해 주십시오. 눈물로 호소하며 절규합니다. 한 맺힌 서민층.빈곤층 단체협의회 일동. 대한민국 국민으로 사람으로 함께 살아요.제발 도와주십시오.",,,
5,기후 변화,"* 흉년이 들이기 쉽고, 각종 전염병이 창궐하기 쉬운 날씨다.",3,0,2021-05-03 11:54:01,facebook - ***,"* 흉년이 들이기 쉽고, 각종 전염병이 창궐하기 쉬운 날씨다.
날씨가 오월에 접어들면서 부터는 어린이 날이 절기상, 여름이 시작되는 입하인데도 왜 이리 날씨가 밤저녁으로
썰렁한가 싶었는데, 예보를 보니, 강원도 지역에 삼십 몇년만에 5월에 폭설이 내렸다고 한다. 그 영향으로 날씨
가 그렇게 썰렁했나 싶다. 기후변화가 이렇게 심하면, 흉년이 들이기 쉽고, 각종 전염병이 창궐하기 쉬운 날씨다.",,,
6,기후 변화,코로나19로 미뤄진 시급한 현안들 추진하고 대책이 필요합니다.,4,0,2020-09-28 23:37:36,naver - ***,"1. 쓰레기에 대한 대책 필요합니다. 어느 부서에 기관에 맡길
문제가 아니라 앞으로의 대응 플라스틱 사용 제제등 국민,
전문가 기관들이 노력해야 합니다. 어떻게 되겠지가 아닙니다
2. 지구 온난화 환경문제에 따른 대책을 강구해야 합니다.
기후변화로 농작물이 제대로 성장하지 못하고 말라
둑는다거나 병충해에 피해 자연재해등의 문제가 발생될 텐데
미리 대비해야 식량난이 발생 되지 않을 겁니다. 온도 상승,
급격한 한파등
3. 법제도가 60~70년대 수준이고 사회는 급속도로
변화중이어서 법의 테두리를 벗어나는 사건사고 피해자가
발생되고 있는데 법이 없어서 처벌을 못 하고 낡은 법으로
솜방망이 처벌이 많습니다. 조속한 법개정 신규 개정이
필요합니다.
4. 공무원 개혁과 경찰, 군인 개혁도 필요합니다. 정년을 없애고
일 안하고 못 하는 공무원들 내보내는 제도가 필요합니다.
현장을 나가서 발로 뛰는 사람들은 도퇴되고 기회주의자들이
잘되는 제도를 바꿔야 합니다. 상.하 평가제도 도입이
필요합니다. 굽신, 딸랑, 눈치보면서 올라간 것들이 인재를
제대로 뽑겠습니까 보상심리로 더 굽신거리는 일도 안하고 못
하고 부서원들 실적 가로채서 보고나 하는 것들이 진급잘되는
구조 바꿔야 합니다.
5. 비리 뇌물등 국회의원, 고위공무원, 공무원등 받은돈에 50배
100배 물게하고 퇴직금 국가환수조치가 필요합니다.
방사청 같은 곳 보면 수조원이 왔다갔다 하기에 업체들의
로비에 흔들릴 수 뿐이 없고 사고나면 그 전에 사표내는
사례가 많을 듯 합니다.
6. 지금 문제가 많은 시급한 일들이 코로나19로 미뤄지고
있습니다. 핑계 일 수도 있고 게으를 수도 있지만 추진이
필요합니다.
7. 전국에 뉴딜사업이 도시재생과는 다르게 업체주도하에
이루어 지고 있습니다. 담당공무원들 조사가 필요합니다.
엉뚱한 곳에 예산이 투입되고 있습니다. 시청 담당자들이
주민들과 소통한번 없이 업체에 맡기고 시 예산으로 해야할
것들을 뉴딜 사업에 포함해서 세금이 엉뚱하게 쓰이고
있습니다. 심지어 주민들 불러놓고 설명회에서 아무것도 바꿀
수 없다. 바꾸고 싶으면 머리에 띠 두르고 주먹쥐고 농성하면
바꿀 수도 있다고 거기 고위 공무원이 한 말입니다.
설명도 업체가 다 하고 공사업체만 신나서 이야기하였습니다.
800억이 도시재생과 무관하게 버려진 겁니다.
8. 위와 같은 부실한 사업이 발생되지 않도록 감시.감독이
필요하고 지자체 공무원들은 먼저 주민 의견수립등의 제도가
필요합니다. 그 지역 가로등 및 점포들이 영업끝나면 정말
어둡고 앞이 안보이는 동네인데 그런 등조차도 설치 안하면서
시장 6시면 다 영업 끝나는데 거기에 도시재생한다고 22억
들여서 조명공사 한다는게 한심한거 같습니다.
편의점 1군대 빼고 아예 영업을 안하는데 누굴보라고 그
예산을 쓰고 거기에 유지보수는 어떤 예산으로 할건지?
가로등이나 설치하는데 사람들 다니는데 불편을 주지 않을까
생각합니다. 한심한 시장과 탁상행정 공무원들 고발하고
싶네요
9. 기회주의자들이 잘 되는게 아니라 발로 뛰고 열심히 일하는
분들이 잘되게 제도를 바꿔주세요 인트라넷 공문 보내는
공무원보다 주민과 소통하고 해결하려는 공무원들이
필요합니다.
10. 미래를 위한, 환경을 위한 과학자 전문가들이 우려하는 것들
먼저 대책이 필요합니다.
정부와 방역당국 의료진분들 특히 간호사분들에게 진심으로 감사드립니다. 말도 안듣고 멋대로 사는 국민들 포기하지 않고 보살펴 주셔서 머리숙여 감사드립니다.",2021-01-27 00:54:02,동의합니다,0/0
35,기후 변화,"★경자년(庚子年), 庚子五賊 前(전) 上書(상서)",13,1,2020-09-01 21:23:32,naver - ***,"- 영남양민嶺南 良民 K아무개 배상
본디 배움이 부족하지만, 눈보라 같은 民草의 삶을 五賊이라 등용된 올리는 전(前)상서 이오니
부디 글의 문맥이 부실하더라 늘 하시듯이 , 또 탓하거나 읍박하지 마시고, 사실관계와 백성의 마음 '목민'으로 살피시고 종묘 사직의 존망을 돌아 보십시오.
다산 정약용 선생께서는 '牧民心書'에서 '수령은 무릇 자기가 베푼 것은 말도 하지 말고 덕을 주었다는 표정도 짓지
말며 다른 사람에게 이야기도 하지 말 것이다. 또한 전임자의 허물도 말하지 말 것이다'라고 말씀 하셨는데,
어찌하여 五賊께서는 조국의 경제 난經濟難 도 전임자의 탓이요, 가옥의 가격이 약 300여년전으로 환산하면
700냥 이상씩 급등한 것도 전임자 탓이요, 외교적 외톨이가 된 것도 전임자 탓이요, 4차 산업혁명의
궤도에서 벗어나는 규제 천국도 전임자 탓이요. 그렇다면 五賊이라고 등용된 자들이 전임자 보다
더 잘되게 해결 한 것은 무엇입니까?
五賊들과 한 배를 탓다고 맥아로 빚은 술을 기울리던 위정자들은 이 땅의 부녀자들을 능멸하였고,
탕평과 중용, 화해와 화합은 온대간데 없고, 위정자들의 당파 싸움을 넘어서
민초 간(지역간, 세대간, 성별간,심지어 술자리의 친구들까지)찢어 놓은 갈등을 조장한 것은
죄인의 사지와 머리를 소에 묶어서 사지를 찢는 잔인한 형벌인 거형(車衡)을 온 국민의 가슴에
벌한 것과 무엇이 다릅니까?
무릇, 조직과 국가는 크기와 관계 없이 그 안의 구성원들간의 갈등은 있을 수 있으나,
그 조직과 국가의 리더십은 갈등을 조장하거나, 편파하거나,회피할 것이 아니라
서로 상생하고 갈등이 건전하게 흘러 가도록 관리하고 견인하는 것이 리더십의 핵심 요체인데,
과연 五賊과 그들의 충성을 받는 군주는 그 소임을 다하였습니까?
아니면, 그 갈등의 중심에 있으신 겁니까? 명확하게 하교하고 설명해 주십시오.
또한 다산 선생님은 관직에 있는 자와 리더는 겸손하고 인정해야 한다고 그렇게 거듭 말씀 하셨는데,
치적治績을 알리기에 바쁘거나, 치적을 더 포장하는 자는 재등용 하시옵고,
경제난에 대하여 스스로 성찰하고 반성한 김*연 같은 학자는 물러나는 인사.
치적이 아닌 것도 둔갑 시키는 재주꾼 탁아무개가 '홍보가 무엇인가?'에 대하여 반민교사 해 주시니
양민들은 누구를 믿고 월급을 모우고 이 땅에서 버티고 사랑하고 살아가야 합니까?
군주의 치적을 과장 빌딩하고, 숭배하는 자들의 중심으로 , 관직이 구성도 탐해지는
국가의 시스템과 문화!! 이것이 민주주의의 탈을 쓴 전제군주제와 다른 것이 무엇인지?
본질적으로 무엇이 다른지? 이 놈이 무지하여 소상하게 가르쳐 주십시오.
한반도, 우리 땅에는 양조용 포도가 자라기 힘든 떼루아, 환경 입니다.
일조량이 지중해 인근에 비하여 충분하지 못하고, 사계절이 뚜렷한데다가
기후변화로 우천도 더욱 잦아지고 있기에, 포도의 당도가 양조용 포도에 미치지 못하기
때문 입니다. 또한 우리 땅은 평야 보다는 크고 작은 산맥 중심으로 숨쉬고 있고
그 산맥 기슭에서 고을이 생기고 터널이 나는 지형 입니다.
그런데, 어찌하여 그 많은 성장동력 아이디어 중 '태양광'이셨습니까? 군주와 五賊은 이땅의 지형지리를
정녕 이해 하시고 하신 겁니까?
五賊과 어울리는 무리 중 일부는 '유엔사 무족보'라고 제창하는데, 정녕 대한민국의 역사를
반쪽만 바라보시는 겁니까? 군주는 멀리보기,톺아보기를 해야 하지 않으시렵니까?
루이16세를 단두대로 보내고, 프랑스 대혁명을 이끌었던 인기 위정자 '로베스피에르'는
시민들의 인기를 더 얻고자, 우유값을 강제로 규제하였고, 그 결과 목축업자들이 도살하니
이번에는 사료값을 상한제를 했습니다.
결과적으로 우유값은 10배로 뛰었고, 인기 위정자 '로베스피에르'역시 조롱을 받으면서
단두대로 갔습니다. 왜 역사의 데칼코마니를 이해 하지 못하시고 들을려고 하지 않으시는 겁니까?
따뜻한 가슴과 차가운 머리로 국가를 성장하게 하고 실리외교를 해야 하는데,
어찌하여 보고자 하는 것만 보시는 겁니까?
중국 방문시 우리 기자단의 구타사건이 일본에서 일어 났다면 어떻게 대응하셨겠습니까?
중국은 일대일로 및 역사왜곡을 엄청나게 하고 있고, 조국의 기술 탈취도 그들이 가장 많이 하고
있습니다. LCD 글로벌 NO.1이 LG디스프레이어 였는데, 지금 중국에 강탈 당한 것은 아십니까?
미중 전쟁에서도 순망치한 인데, 왜 편파적인 시각으로 보시는 것입니까?
순망치한에서 '순'은 우리의 동맹 입니다.
성장과 복지는 균형이 있어야 합니다. 우리 조국은 잘 성장하다가 '중위권 함정과 늪'에 빠져 있습니다.
'예전 보다 좀 잘 살게 되었다'라는 착각에 사치를 하는 것과 같은 것입니다.
혁신은 온대간데 없고, 혁신기업과 혁신 인재들은 실리콘 밸리와 대륙으로 이탈 중입니다.
그런데도 복지만 생각하시고, 분배만 생각하시고, 감성에만 호소하실 겁니까?
역사에 어떻게 기억되시길 원하십니까?
따뜻한 가슴과 냉철한 머리의 리더십으로 난국을 헤쳐나가고 국민을 화통시키셔야 합니다.
따뜻한 가슴마져도 변질되고 군주가 국민과 대립하고 대결하는 형태는 이 나라에 도움이 되지 못하는
처신 입니다.
임기가 얼마 남지 않았다고 , 마음이 급하다고 , '내가 아니면 안된다. 우리가 아니면 안된다.'라는 자세로
숙의해야 할 것들을 급행열차에 태우시면, 디테일의 소홀로 그 열차는 중요 톱니바퀴, 나사가 풀린채로
출발하다가 대형사고로 이어 집니다.
그 참사에 조국의 민초들을 정녕 태우실 겁니까?",2020-09-07 20:16:04,들을 귀 있는자는 들어라,0/0
36,기후 변화,한국 기상청 예보에 대해서 사이비교회.의사들기타등등,3,0,2020-08-27 09:04:59,naver - ***,"한국 기상청 예보에 대해서 사이비교회.의사들기타등등
이번 태풍피해가 적어서 좋다고 볼수도 있지만
반대로 보면 별거아니라고 했다고 피해를 크게 볼수있다는거다.
한국 기상청 날씨예보가 너무 안맞는다.
기후변화때문이라고 핑계를 되지만
기후변화가 크기때문에 오히려 더 예보가 맞아야
피해를 줄이겠지.
다른나라 기상청중에서는 그럭저럭한 기상청도 있는데
왜 한국 기상청을 이러고 있을까?
고치지 못한다는거지.
기상청이 이상한단체라고 단정짓기는 그렇지만
문제가 있으면 고쳐야지
문제는 고쳐서 줄어야 판단하는거다.
지금 한국의 문제를 만드는 다른단체들을 보면서(기상청과 별개로 봐도)
가끔 생각하는게 옛날 독재는 경제적으로도 문제였지만
인식적으로 문제를 만들었다고 생각한다.
판단못한다는게 다른 영향도 있겠지만
왜 한국안에서만 그런 단체가 그러고 있는걸까?
다른나라 일반종교와 한국의 보수?교회는 틀리다.
다른나라도 이상한 종교도 있지만 한국에서처럼 주류종교가 그러고 있지는않지
다른나라 일반의사들과 한국의사들은 틀리지.
다른나라도 일부의사들이 판단못하지만
한국 의사들처럼 대부분이 그러고 있지는 않다.
단체가 문제가 있는데 고치지 못한다는건
인식이 저해됐다고 볼수있는거다.
지금 문제가 되고 있는
보수?교회 의사단체들
다른 나라도 어느정도 문제가 있지
문제가 없는건 아니다.
근데 문제를 크게 만드는 단체에서
고치지않는다는건 판단을 못하는 사람들이 큰소리친다는거다.
판단을 못하는 사람들이 영향력이 크면
그 단체는 집단이기주의에 빠진다.
사이비교회에서 전염병을 퍼뜨리고
의사들은 전염병이 퍼졌는데 그러고 있고
이게 상식적이지 않은거다.
의사들이 그전부터 변화를 외쳤다면
조금이라도 이해가 될수도 있겠지만
근데 변화를 외치지않았지.
이 사람들의 변화는
누구를 위한 변화일까?
어떤 단체든간에
그 나라 사람들을 위해서
일반 사람들을 위해서
변화하는쪽은 그럭저럭한거고
집단 이기주의에 빠져
자신들만 보면서
일반사람들을 파는쪽이 판단못하는거다.
정치.종교.기타등등도 마찬가지지
잘 봐야한다.
그들을 말과행동이 누구를 위해서 그러고 있는지
가끔은 하는척이라도 하는게 없는것보다는 낫다고 생각하지만
누구를 위해서 그렇게 하는지 잘 봐야한다.
이기주의도 문제를 만들지만
집단 이기주의는 문제를 크게 만든다.",2020-09-02 22:16:36,대한민국 사기청 페지하고 그놈들 주는 월급을 이재민 돕기에쓰고 기상정보는 해외서 받고 아무짝에 쓸모없는 사기청,0/0
37,기후 변화,한국의 다목적댐의 문제와 판단못하는자들의 문제 기타등등,1,0,2020-08-10 09:16:53,naver - ***,"한국의 다목적댐의 문제와 판단못하는자들의 문제 기타등등
다목적댐이라는건 두가지이상의 목적으로 만들어진 댐이다.
한국의 다목적댐은 주로 농업용수.발전.홍수조절?
한국의 다목적댐은 원래의 홍수조절 능력이 있는 댐이 아니다.
우선 한국의 다목적댐이라는건 집중호우가 내리면
홍수조절을 하는게 아니라 댐의 물을 방류하기때문에
오히려 홍수 피해을 입힌다.
판단을 못한다는건 난감한거다
섬진강댐의 문제는 다목적댐이라고
만들었는데
2011년 부터 범람위기가 있었다
그리고 그 문제의 원인이
섬진강댐은 수문이 댐의 정상부에 설치돼 있어
수위가 192.7m를 넘어야만 방류할 수 있다.
계획홍수위에서 불과 5m밖에 여유가 없다.
애초에 홍수조절을 위해서 만든댐이 아니라는거다.
다른 용도를 쓸수는 있겠지만
전라도에서 500mm이상의 집중호우가 내렸을때에는
오히려 댐의 수량을 방류를 해서 문제가 커진거다.
이 문제는 섬진감댐만의 문제도 아니다.
다른지역에서 집중호우가 많이 내릴때에는
주변의 다목적댐이 오히려 댐의물을 방류할수밖에없는
구조?로 되어있는것같다
다 확인 안해봤지만
4대강때 만든 경북에만 있는 4개의 댐들도
말이 다목적댐이지 홍수조절용댐이 아니라는거고
경북에 만약 전라도같이 500mm정도 집중호우가 내렸다면
여기도 큰피해를 받는다는거다.
근데 착각해서 문제를 만든사람들이 잘했다고 하는게
판단못하는 사람들이고
이 판단못하는 사람들때문에 일반 사람들도 피해입고
그 판단못하는 사람들까지 피해를 입는거다.
앞으로 기후변화로 인하여 홍수가 좀 많아질거다
이 문제를 고치지않으면 또 피해을 받을수있다는거다.
문제의 원인을 만든사람들을 좋다고 하면
답이 안나온다.",2020-08-10 09:43:55,"이런 게 과학적인 분석이다, 잘 읽어 봐라! 파이내셜 타임즈 기자와 이준구 교수도 수심 2m면 충분한데 6m로 팠다고 4대강 사업비난하든데 역시 대깨문들은 정치에 미쳐 기자나 교수나 전부 과학을 모르는 미개인들이라는 걸 입증하는군요. 대깨문이 되면 합리적이고 과학적인 사고가 정치에 눌려 마비되는 모양입니다. 6-2=4m 강물은 부피이므로 3제곱해야 견적나옴. 4의 3승=2의 6승=64입방미터로 물함유량이 커졌다는 의미란 건 상식임. 2m를 6m 깊이로 파냈으니 2의 3승 : 6의 3승= 8입방m :216 입방m 로 무려 208 입방m로 물 함유량이 커졌다는 걸 의미함. 이건 과학을 조금이라도 알면 상식임! 이렇게 강바닥의 모래를 수 만톤 안 퍼냈으면 240여개 강의 강물이 넘쳐 흘러 6천 700만 이재민이 발생한 중국처럼 4대강 본류가 넘쳐흘러 한국도 수 백만 이상의 수재민 났을 게 확실! 이런 미개인들이 과학을 알아야 대한민국이 선진국 됨! '강물은 흘러야 한다'는 과학을 모르는 놈들의 고정관념에 불과! '강물은 흘러야 한다.' 가 아니라 '강물은 (과학으로) 관리해야 한다'가 정답임. 그게 삼황오제부터 통치자의 덕목으로 강조해 온 치수(治水)임 강물이 제방을 넘어 마구마구 흐르니 진짜 좋냐? 홍수로 넘쳐흘러 아수라장되는 생지옥이 그렇게 좋냐구? 이 미개한 대깨문들아! 대답 좀 해봐! 이런데도 강물은 관리하는 게 아니라 흘러야 해? 너희들은 언제 인간될럐? 일본의 한 공무원은 빗물을 그냥 흘러보낼 게 아니라 저장장치를 만들어 저장시켜 가뭄 때 쓰게 해 큰 상 받았다. 2001년 부터 이렇게 물을 저장하여 관리하고 있다! 4대강에 건설한 보는 홍수 때도 유용하지만 진짜 큰 재난인 가뭄 땐 더 큰 위력을 발생한다. 몇 년 전 가뭄때은 충남 도시사 안희정이 1000억원 들여 4대강 보에 있는 물을 끌여다 썼다. 대깨문들아 너희들이 대깨문에서 탈피하는 순간 너희들 머리 속에 정치 대신 과학이 스며 든단다!",0/0
39,기후 변화,기후변화.바이러스 변이로 인한 사람의 피해 의미를 알아야한다 기타등등,2,0,2020-08-08 12:56:08,naver - ***,"기후변화.바이러스 변이로 인한 사람의 피해 의미를 알아야한다 기타등등
기후변화가 단순히 지구의 온도가 올라가거나 내려가는게 아니다.
지금 기후변화는 지구의 온도가 올라가는거지만.
바이러스 변이로 인한 피해는 원래는 그렇게 안되는거였는데
변이를 일으켜서 사람에게 피해를 주는경우인거고
우선 기후변화.바이러스등을 만든 원인은
있는데 판단못하는 사람들이 이익을 위해서가 기본적인 문제다.
이 사람들은 피해에서 상대적으로 안전한 곳에서 있고
상대적으로 없는사람들이 더 많은 피해를 보고 있는거다.
바이러스 변이로 인한 피해는 어느정도 체감?하고 있으니까
넘어가고?
기후 변화의 피해는
홍수(이것도 어느정도 체감?)
가뭄.폭염.곤충의 이상증식으로 인한 질병.식량문제
빙하에 있던 바이러스가 문제가 있는경우 기타등등
이 원인들로 인한 또다른 문제
있는데 판단못하는 사람들로 인한 피해를 막기 위해서라도
독재형태의 있는사람들의 일부를 위해 정책을 만들면 안되는거다.
있는건 나쁜게 아니지만
있는데 판단못하면 사람에게 악이다
그리고 이걸 모르는 판단못하는 사람들이
악을 돕고 있는거다.
경제 중요하지
근데 판단못하고 경제만 보고있으면
그 경제도 마이너스를 만들고
사람의 안전에 마이너스를 만들고
결국엔 전체적으로 마이너스를 만든다.
기후변화로 인한 피해는 생각보다 더 커질수있다
이 있는데 판단못하는 사람들을 막아야한다는거다.",,,
