검색키워드,제목,추천,비추천,작성일,작성자,본문내용,댓글입력일,댓글내용,추천/반대
기후변화,* ( 보충판 ) 앞으로 닥쳐 올 급격한 기후 변화가 몰고 올 혹한에 대비하여...,1,2,2021-10-29 07:45:05,naver - ***,"* 앞으로 닥쳐 올 급격한 기후 변화가 몰고 올 혹한에 대비하여...
앞으로 닥쳐 올, 급격한 지구촌 기후 변화가 몰고 올 혹한에 대비하여, 거대 투자자들은 원자 에너지 연료 개발에 집중적으로 투자해야 할 것이다. 핵 에너지 연구소를 다량 설치하여 집중적인 연구에 들어가야만 할 것이다. 언제나 소 잃고 외양간 고치는 식이 되지 않아야 할 것이다. 핵은 무기 만드는데만 쓸 것이 아니고, 생활에 필요한 상용화가 되도록 해야 할 것이다.",2021-10-29 17:40:22,오세훈OUT전격사퇴축하콘서트낙하산인사,0/0
,,,,,,,2021-10-29 09:07:47,"* 곧, 에너지 대란을 맞게 될 것이다.",0/0
,,,,,,,2021-10-29 07:46:30,"* 핵 에너지는 무기 만드는데만 쓸 것이 아니고, 생활에 필요한 상용화가 되도록 해야 할 것이다.",0/0
기후변화,농촌도빈부격차매우심화.우려목소리최고조.이제함께공생공존하며국민으로살아갈수있는방안과대책을세워주세요.제발,2,1,2021-09-07 10:35:03,naver - ***,"농촌도 빈부격차의 차별화로 매우 심각한 우려의 목소리에 귀을 귀울여주십시오. 바쁘시지만 2022년도 부터라도 해소을 하여주세요. 간절한 마음으로 대변합니다. 서민층. 빈곤층사람들이 눈물로 호소하고 절규하며 사람으로 함께 살수 있는 기회을 부여해주시면 정말 감사하겠습니다. 귀농귀촌하여 조금 농사을 짓고 있는데 소농과 대농사을 짓고 있는 층의 빈부격차가 너무도 심화하여 하염없는 눈물만 흘리면서 소농과 대농사간의 빈부격차을 조금만이라도 줄일수 있는 묘책은 없을까 해서 두손모아 호소합니다. “절실합니다. 소농사 눈물 닦아주세요”. 우리 모두가 “대한민국국민의 사람”입니다. 빈익빈 부익부의 격차해소을 위해 도와주세요. “서민층의 간절한 목소리”입니다.
정부나 각 지자체에서도 조금은 알고 계시리라 믿습니다 만 매 해년마다 농촌의 빈부격차는 위험성에 도달하여 대한민국국민으로서 함께 살아 갈수 있는 방법과 대안은 없는지 서민의 한사람으로서가 아닌 서민층의 많은 사람들이 이구동성으로 못 살겠다는 말과 서민층의 한계 능선이 없다보니 늘 걱정과 부정으로 변하는 모습에 국민으로서 걱정과 부정을 모아모아 표현함을 용서해 주십시오. 귀농귀촌하여 빈부의 격차는 인정합니다 만 소농은 모든 것을 기계등 임대하여 농사을 짓다보면 결과는 항상 마이너스인생으로 전락하고. 희망과 미래지향적 판단이 흐려 질때가 많아짐니다. 대농사을 짓는 사람은 농기계을 구입해서 직접 농사을 짓고 소농사짓는 사람은 대농사기계을 부탁해서 로타리등등을 부탁하면 한번에 최소15만원에서20만원을 요구합니다(약3-400평대 한함). 소농사는 최소 년3-4회정도는 기계을 사용해 줘야합니다. 그 외 들어가는 비용은 말습을 안 드려도 상상은 하시리라 믿습니다. 따라서 소농사의 서민층은 늘 바보처럼 울고만 있을 뿐이고 하늘만 쳐다 볼뿐입니다. 어쩌다 서민으로 이렇게 보이지 않은 벽을 두고 살아야 하나 하는 생각들을 많이도 가지고 살고 있담니다. 농촌이지만 대농사을 짓고 계시는 분들은 집에 차량이 2-5대정도 가지고 계시더군요. 대농사짓는 분들은 현대 에쿠스대형. 체어맨. 외제차량(억대가격)등으로 동네을 휘젓고 계심니다. 서민층은 그저 부러울 뿐이고 구경 삼매경에 고개만 숙여짐니다. 대한민국국가의 자본시장원리에 순응할 따름입니다. 대한민국국민으로서 함께 살아 갈수 있는 방법과 대안은 없을까요. 정부차원에서 서민층을 위한 자구책으로 마련해 주신 공익직불금제도 진심으로 감사드림니다. 농촌에서의 빈부격차 심화도 이제는 한계에 도달한 것 같은 생각입니다. 대농사을 짓는(벼농사 직불금제도)분들은 더 많은 혜택을 누리고 재산도 부도 축적되어 최고의 삶을 만끽하고 계시는데 비해 소농사을 짓는 사람은 항상 그 자리에서 맴도는 다람쥐굴레에서 벗어 날수가 없습니다. 감히 부탁드리고 싶은 말습은 대농사의 직불금을 소농사짓는 국민에게 배려한다 라는 차원에서 함께 살아가자는 취지로 현제의 약2.5-3.5배의 수준으로 상향조정하여 국민 모두가 함께 살아 갈수 있도록 살펴 주십사하는 간절한 마음으로 서민층을 대변한 국민의 목소리에 귀을 귀울여 주십시오. 농촌의 소농과 대농사의 비율이 소농75%.대농사 약25% 안됨으로 조사한 것을 보았습니다. 정부관계자님 정말 고생이 너무도 많으십니다. 각 지자체에서도 고생이 너무도 많으십니다. 요즘 코로나. 찜통더위. 기후변화 등등으로 불철주야 국민들 삶을 위해 고군분투하시고 계시는 분들께 고개숙여 감사인사 드림니다. 부동산급등. 모든 물가 고공행진속 서민층 삶은 그야말로 숨쉬기조차 힘들어 가는 세상으로 변해가고 있는 모습입니다. 서민층. 빈곤층 삶을 위한 농촌 실정을 말습드렸는데 개인의 이기주의로 생각을 안해 주셨으면 합니다. 현제의 현실 그 자체을 말습드렸고 국민이 함께 살아 갈수 있께끔 실질적으로 체감하며 감사한 마음으로 대한민국을 사랑 할수 있는 바탕위 토대을 만들어 주시길 국민분들이 간절히 부탁드림니다. 정부관계자님. 각 지자체장님. 농촌 서민층. 빈곤층에게도 삶의 기본과 국민으로 따뜻하게 보살펴 주시길 눈물로 호소하며 절규하며 함께 살아 갈수 있께끔 도와주세요. 더 힘들게 하시어 죄송합니다. 이 글 끝까지 잃어주시어 감사드리며 우리는 정부을 믿고 열심히 더 노력하며 목숨이 붙어 있는한 최선을 다하겠습니다. 대한민국은 할수 있습니다. 서민층.빈곤층도 할수 있음을 믿고 희망과 용기을 내겠습니다. 감사합니다.
농촌도 서민층과빈곤층은 더 열악하고 빈부격차가 너무도 심화되어 갈등요인으로 작용하여 정부차원에서 처방전이 절실히 필요합니다. 해소을 촉구합니다. 국민으로 인정해 주십시오. 눈물로 호소하며 절규합니다. 한 맺힌 서민층.빈곤층 단체협의회 일동. 대한민국 국민으로 사람으로 함께 살아요.제발 도와주십시오.",,,
기후변화,"* 흉년이 들이기 쉽고, 각종 전염병이 창궐하기 쉬운 날씨다.",3,0,2021-05-03 11:54:01,facebook - ***,"* 흉년이 들이기 쉽고, 각종 전염병이 창궐하기 쉬운 날씨다.
날씨가 오월에 접어들면서 부터는 어린이 날이 절기상, 여름이 시작되는 입하인데도 왜 이리 날씨가 밤저녁으로
썰렁한가 싶었는데, 예보를 보니, 강원도 지역에 삼십 몇년만에 5월에 폭설이 내렸다고 한다. 그 영향으로 날씨
가 그렇게 썰렁했나 싶다. 기후변화가 이렇게 심하면, 흉년이 들이기 쉽고, 각종 전염병이 창궐하기 쉬운 날씨다.",,,
기후변화,코로나19로 미뤄진 시급한 현안들 추진하고 대책이 필요합니다.,4,0,2020-09-28 23:37:36,naver - ***,"1. 쓰레기에 대한 대책 필요합니다. 어느 부서에 기관에 맡길
문제가 아니라 앞으로의 대응 플라스틱 사용 제제등 국민,
전문가 기관들이 노력해야 합니다. 어떻게 되겠지가 아닙니다
2. 지구 온난화 환경문제에 따른 대책을 강구해야 합니다.
기후변화로 농작물이 제대로 성장하지 못하고 말라
둑는다거나 병충해에 피해 자연재해등의 문제가 발생될 텐데
미리 대비해야 식량난이 발생 되지 않을 겁니다. 온도 상승,
급격한 한파등
3. 법제도가 60~70년대 수준이고 사회는 급속도로
변화중이어서 법의 테두리를 벗어나는 사건사고 피해자가
발생되고 있는데 법이 없어서 처벌을 못 하고 낡은 법으로
솜방망이 처벌이 많습니다. 조속한 법개정 신규 개정이
필요합니다.
4. 공무원 개혁과 경찰, 군인 개혁도 필요합니다. 정년을 없애고
일 안하고 못 하는 공무원들 내보내는 제도가 필요합니다.
현장을 나가서 발로 뛰는 사람들은 도퇴되고 기회주의자들이
잘되는 제도를 바꿔야 합니다. 상.하 평가제도 도입이
필요합니다. 굽신, 딸랑, 눈치보면서 올라간 것들이 인재를
제대로 뽑겠습니까 보상심리로 더 굽신거리는 일도 안하고 못
하고 부서원들 실적 가로채서 보고나 하는 것들이 진급잘되는
구조 바꿔야 합니다.
5. 비리 뇌물등 국회의원, 고위공무원, 공무원등 받은돈에 50배
100배 물게하고 퇴직금 국가환수조치가 필요합니다.
방사청 같은 곳 보면 수조원이 왔다갔다 하기에 업체들의
로비에 흔들릴 수 뿐이 없고 사고나면 그 전에 사표내는
사례가 많을 듯 합니다.
6. 지금 문제가 많은 시급한 일들이 코로나19로 미뤄지고
있습니다. 핑계 일 수도 있고 게으를 수도 있지만 추진이
필요합니다.
7. 전국에 뉴딜사업이 도시재생과는 다르게 업체주도하에
이루어 지고 있습니다. 담당공무원들 조사가 필요합니다.
엉뚱한 곳에 예산이 투입되고 있습니다. 시청 담당자들이
주민들과 소통한번 없이 업체에 맡기고 시 예산으로 해야할
것들을 뉴딜 사업에 포함해서 세금이 엉뚱하게 쓰이고
있습니다. 심지어 주민들 불러놓고 설명회에서 아무것도 바꿀
수 없다. 바꾸고 싶으면 머리에 띠 두르고 주먹쥐고 농성하면
바꿀 수도 있다고 거기 고위 공무원이 한 말입니다.
설명도 업체가 다 하고 공사업체만 신나서 이야기하였습니다.
800억이 도시재생과 무관하게 버려진 겁니다.
8. 위와 같은 부실한 사업이 발생되지 않도록 감시.감독이
필요하고 지자체 공무원들은 먼저 주민 의견수립등의 제도가
필요합니다. 그 지역 가로등 및 점포들이 영업끝나면 정말
어둡고 앞이 안보이는 동네인데 그런 등조차도 설치 안하면서
시장 6시면 다 영업 끝나는데 거기에 도시재생한다고 22억
들여서 조명공사 한다는게 한심한거 같습니다.
편의점 1군대 빼고 아예 영업을 안하는데 누굴보라고 그
예산을 쓰고 거기에 유지보수는 어떤 예산으로 할건지?
가로등이나 설치하는데 사람들 다니는데 불편을 주지 않을까
생각합니다. 한심한 시장과 탁상행정 공무원들 고발하고
싶네요
9. 기회주의자들이 잘 되는게 아니라 발로 뛰고 열심히 일하는
분들이 잘되게 제도를 바꿔주세요 인트라넷 공문 보내는
공무원보다 주민과 소통하고 해결하려는 공무원들이
필요합니다.
10. 미래를 위한, 환경을 위한 과학자 전문가들이 우려하는 것들
먼저 대책이 필요합니다.
정부와 방역당국 의료진분들 특히 간호사분들에게 진심으로 감사드립니다. 말도 안듣고 멋대로 사는 국민들 포기하지 않고 보살펴 주셔서 머리숙여 감사드립니다.",2021-01-27 00:54:02,동의합니다,0/0
,,,,,,,2020-12-07 23:13:37,동의합니다,0/0
,,,,,,,2020-12-07 23:13:29,동의합니다,0/0
,,,,,,,2020-11-26 10:44:53,동의합니다,0/0
,,,,,,,2020-11-26 10:44:50,동의합니다,0/0
