검색키워드,제목,추천,비추천,작성일,작성자,본문내용,댓글입력일,댓글내용,추천/반대
탈원전,,2,2,2022-04-13 13:26:32,naver - ***,"신재생에너지 해양광 해상풍력발전등으로 탈원전하고 탄소중립 하겠다는 정부 기조를
고민도 안해보고 반대를 위한 반대에 나서는 듯한 ""탈원전 폐기"" 는 국민동의 어렵고
정부가 무능하게 가만히 있어야 가능할 ""전기세 향후 5배오른다"" 로
국민 협박에 가까운 에단으로 정책 업기 합리화를 꾀하려한다",2022-04-15 02:58:06,현실가능한것을 반영해야 할것임. 할수 있는 범위내 가야할 방향 신중히 검토 필요,0/0
탈원전,탈원전 폐기도,1,1,2022-04-12 22:38:44,naver - ***,국민 동의하지 않았어,,,
탈원전,화약고 한반도에,0,0,2022-04-12 22:15:50,naver - ***,"원전 많아 가지고 있어 좋을 게 뭐 있다고 탈원전 폐기냐?
재생에너지로 깨끗하고 안전하게 살고 싶다",2022-04-12 22:36:02,경제논리만 따지고 반대를 반대를 위한 반대~~~~,0/0
탈원전,* 새 정부 출범해도 공공기관장·감사 63%는 임기 1년 이상 남아,2,1,2022-03-22 08:18:44,twitter - ***,"* 새 정부 출범해도 공공기관장·감사 63%는 임기 1년 이상 남아
기사입력 2022.03.22. 오전 6:02 기사원문 스크랩 본문듣기 설정
화나요 좋아요 좋아요 평가하기99 댓글41
요약봇
글자 크기 변경하기
인쇄하기
보내기
리더스인덱스, 350곳 조사…공기업 > 준정부기관 순으로 잔여 임기 많아
한국철도공사
[연합뉴스 자료사진·재판매 및 DB 금지]
(서울=연합뉴스) 조재영 기자 = 새 정부 출범 이후에도 350개 공공기관의 기관장과 감사의 63% 이상이 1년 이상, 45%는 2년 이상 임기가 남은 것으로 조사됐다.
기관 유형별로는 공기업 기관장의 86%, 준정부기관 기관장의 83%, 기타공공기관 기관장의 62%가 1년 이상 임기가 남아 큰 기관일수록 이 비중이 높은 것으로 나타났다.
기업분석연구소 리더스인덱스는 공공기관 경영 정보 공개시스템(알리오)을 통해 350개 공공기관의 상임 임원 임기 현황을 전수 조사한 결과 기관장 332명 중 231명(69.5%), 상임감사 105명 중 59명(56.2%)의 임기가 1년 이상 남은 것으로 분석됐다고 22일 밝혔다.
이들 기관장과 감사를 포함한 437명에다 현재 공석 중인 23명 자리를 포함해 총 460명 가운데 63%인 290명의 임기가 1년 이상 남은 것이다. 45%인 207명의 임기는 2년 남았다.
올해 안에 임기가 만료되는 공공기관장은 46명으로 13.9%(332명 대비)였고, 상임감사는 29명으로 27.6%(105명 대비)로 집계됐다.
윤석열 대통령 당선인이 임기를 시작하는 5월 10일 이전에 임기가 끝나는 기관장과 상임감사는 각각 18명, 7명으로 분석됐다.
구체적으로 보면 공기업 36개 가운데 정재훈 한국수력원자력 사장(임기 만료일 4월 4일), 채희봉 한국가스공사 사장(7월 8일), 황창화 한국지역난방공사 사장(9월 30일) 등 3명이 올해 안에 임기가 끝난다.
하지만 이 중 현 정부의 '탈원전' 정책에 앞장서 온 정재훈 사장의 경우 재연임을 추진 중이다. 한수원은 이미 이사회와 주주총회를 열어 정 사장의 1년 연임안을 처리한 상태로, 이후 산업통상자원부 장관의 제청을 거쳐 대통령이 재가하면 최종 확정된다.
박재현 한국수자원공사 사장(내년 2월 27일)과 최준욱 인천항만공사 사장(내년 3월 17일)의 임기는 1년 이내에 만료된다.
나머지 86.1%인 31개 공기업의 기관장은 1년 이상 임기가 남았고, 이 중 17개 기관장은 2년 이상 남았다.
특히 20대 대통령 선거운동이 본격적으로 시작된 작년 11월 이후 임명된 공기업 기관장도 7명에 달했다. 원경환 대한석탄공사 사장, 나희승 한국철도공사 사장, 박성현 여수광양항만공사 사장, 이종국 ㈜SR 사장, 정기환 한국마사회 회장, 윤형중 한국공항공사 사장, 양영철 제주국제자유도시개발센터 이사장 등이다.
한국마사회 본관
[한국마사회 제공. 재판매 및 DB 금지]
준정부기관 가운데는 94개 기관의 기관장 93명(한국인언론재단은 비상임 기관장) 중 77명(82.8%), 상임감사 32명 중 반 이상인 17명이 1년 이상 임기가 남은 것으로 나타났다.
준정부기관의 기관장과 상임감사 가운데 작년 11월 이후 임기를 시작한 이들은 29명(기관장 24명, 상임감사 5명)으로 파악됐다.
이 중 안호근 농업기술실용화재단 원장, 이병호 한국농어촌공사 사장, 노수현 농림식품기술기획평가원 원장, 전본희 한국콘텐츠진흥원 감사, 임찬기 한국가스안전공사 감사 등 5명은 올해 3월에 임기를 시작했고, 이 가운데 3명은 더불어민주당 수석전문위원이나 청와대 행정관 출신인 것으로 파악됐다.
기타공공기관 220개 기관 중에서는 공석이거나 기관장이 없는 기관을 제외한 200명의 기관장 가운데 61.5%인 123명과 상임감사 40명 중 23명이 1년 이상 임기가 남아 있는 것으로 집계됐다.
fusionjc@yna.co.kr
조재영(fusionjc@yna.co.kr)",2022-03-22 14:44:00,"나라 망치는 알박기.....욕심이 지나치다. 5년후 석열이가 똑같이 하면 그땐 뭐라 할건가? 내로남불당, 내로남불 정권이니....그땐 또 달라지겠지. 재인씨 곱게 물러가시오. 5년간 잘한게 없질 않습니까?",0/0
,,,,,,,2022-03-22 09:22:13,그래서 어쨌다고... 민주당 덤탱이당에서 ★발목잡기당으로 굳히기 ?,0/0
탈원전,탈원전 폐기 한다니까 슬금슬금 시민단체 나오는데,1,0,2022-03-12 00:33:02,naver - ***,"서해안 근처에 지은 중국에 시위해서 중국이 짓고있는 원전사업 중단 시키면 당신들 진의를 인정해줄게요.
아무리봐도 신재생에너지로 한탕 해먹으려는 이익집난으로 밖에 안보여",,,
탈원전,탈원전 찬성하십니까,65,11,2021-06-06 19:18:31,naver - ***,식목일에 나무를 심는 퍼포먼스로 이목을 끌었던 것 같긴 합니다만 별개로 우리나라에서 원전은 필수적입니다. 신재생 에너지에 찬양적인 반응은 어느정도 인정할 수 있지만 같이 사용하며 차차줄여가는 것이 아닌 탈원전 자체를 선동하는 것은 산업침체기를 시작하겠다는 것. 안그래도 경제가 이 모양인데 탈원전으로 아예 나라 미래를 망쳐버리겠다는 것입니다. 그럼에도 겉보기에만 좋으려 이미지 관리밖에 못되는 탈원전 정책을 펴는 것은 옳지 않다고 생각합니다.,2021-12-31 05:28:48,동의합니다,0/0
,,,,,,,2021-11-23 07:48:23,동의합니다,0/0
,,,,,,,2021-11-19 08:13:22,동의합니다,0/0
,,,,,,,2021-10-04 13:27:57,동의합니다,0/0
